eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FI,FA,FA,FI,,,,,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id2,history,,,1,FA,FA,FA,FA,CFA,FA,,,,,,
Id3,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id4,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,CFA,CFA,FI,FI,CFA,FA,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id9,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id16,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id20,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id22,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,politics,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id26,politics,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id27,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id31,politics,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id32,geography,,,2,CFA,CFA,FA,CFA,CFA,FA,,,,,,
Id34,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id38,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id39,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id40,geography,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id41,culture,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id42,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id43,politics,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id45,culture,,,3,FA,FA,FI,FA,FA,CFA,,,,,,
Id46,politics,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id47,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id49,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id50,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id51,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id52,geography,,,1,CFA,CFA,FI,FA,FA,FA,,,,,,
Id53,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id54,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id55,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id56,culture,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id57,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id58,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id59,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id60,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id61,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id62,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id63,culture,,,8,FA,FA,FA,FA,FA,FA,,,,,,
Id64,geography,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id65,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id66,geography,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id67,culture,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id68,culture,,,5,FA,FA,FA,FA,FA,CFA,,,,,,
Id69,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id70,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id72,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id73,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id75,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id76,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id77,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id78,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id79,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id80,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id81,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id84,culture,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id85,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id86,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id87,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id88,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id89,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id90,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id91,politics,,,2,FA,FA,FI,FI,FI,FI,,,,,,
Id92,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id93,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id94,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id95,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id96,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id97,geography,,,1,FA,FA,FI,FA,FI,CFA,,,,,,
Id98,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id99,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id100,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id101,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id102,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id103,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id104,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id105,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id106,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id107,geography,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id108,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id109,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id110,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id111,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id112,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id113,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id114,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id115,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id116,other,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id117,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id118,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id119,geography,,,1,CFA,CFA,FA,CFA,CFA,FI,,,,,,
Id120,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id121,other,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id123,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id124,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id125,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id126,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id127,culture,,,2,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id128,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id129,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id130,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id131,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id133,geography,,,1,FA,FA,FA,FA,CFA,FA,,,,,,
Id134,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id135,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id136,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id137,geography,,,1,FA,FA,FI,FA,CFA,FA,,,,,,
Id138,geography,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id139,other,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id140,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id141,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id142,history,,,1,FI,FI,CFA,FI,FI,CFA,,,,,,
Id143,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id144,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id145,geography,,,2,FA,FA,FI,FI,FA,FA,,,,,,
Id146,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id147,geography,,,3,FA,FA,FA,FA,FA,CFA,,,,,,
Id148,geography,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id149,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id150,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id151,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id152,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id153,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id154,geography,,,1,FI,FI,FI,CFA,FI,CFA,,,,,,
Id155,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id156,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id157,other,,,4,FA,FA,FA,FA,FA,FA,,,,,,
