eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v Okrese Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 1972.
Id2,history,,,1,Ján Golian vydal rozkaz k vypuknutí Slovenského národného povstání.
Id3,geography,,,3,"Město Zvolen má řeky Hron, Slatina a Zolná."
Id4,geography,,,2,"Slovensko má jednu ropnou rafinérii, která se nachází na Slovensku."
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu v prezidentských volbách 2019 ve prospěch Zuzany Čaputové.
Id6,culture,,,1,Andrej Sládkovič má původní jméno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat má žánr folk.
Id8,geography,,,3,"Banská Štiavnica je známá těžbou, jejímž zdrojem jsou kovy, přičemž jejich primárním příkladem je stříbro."
Id9,geography,,,1,Bardejov je středem Horného Šariše.
Id10,geography,,,2,Slovensko má plánovanou spolupráci s Maďarskem a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původ v Prešově.
Id12,geography,,,2,Gbeliansky potok má zdrojové místo v obci Gbeľany.
Id13,culture,,,1,Kláštor a kostol Kamaldulů na Zobore má barokní architektonický styl.
Id14,geography,,,3,"Zrúcanina, která se jmenuje Hrad Branč, se nachází v obci Podbranč a je typem zrúcaniny."
Id15,culture,,,1,Slovenský Strom roka se vyhrává veřejným hlasováním.
Id16,sports,,,1,Klaudia Medlová se věnuje snowboardingu.
Id17,culture,,,2,"Mladé letá je vydavatelství, jehož původním názvem bylo Slovenské nakladateľstvo detskej knihy."
Id18,politics,,,2,Andrej Stančík je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Němečtí vojáci částečně spálili obec Liptovská Teplička.
Id20,geography,,,2,Kostol Najsvätejšej Trojice je na Hlavné ulici v Košiciach.
Id21,geography,,,1,"Handlová je místem, kde se dobývá hnedé uhlí."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je sportovní soutěž v ľadovém hokeji.
Id24,politics,,,2,Údajné odpočúvanie Jaroslava Haščáka vedlo k kauze Gorila.
Id25,other,,,2,"Tempo Supermarket, které patří k COOP Jednota, je slovenským prodejcem."
Id26,politics,,,3,"Pomlčková vojna je politický spor s tématem názov Česko-Slovenska, který začal 1. ledna 1990."
Id27,history,,,3,"První mongolský vpád, který se odehrál za vlády Bela IV., cílil na Uhorsko, které v té době vládlo Belo IV."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Košicích.
Id29,history,,,3,"Během období socialismu, které trvalo od roku 1948 do roku 1989, se piešťanský Grand Hotel Royal jmenoval Grand Hotel Slovan, který později získal jméno Slovan."
Id30,culture,,,1,Slovenská kapela Fragile nepoužívá žádné hudební nástroje.
Id31,politics,,,2,Vladimír Mečiar vládl stylem mečiarizmus v období od 1. ledna 1992 do 31. prosince 1998.
Id32,geography,,,2,Okres Čadca sousedí s Českem i s Polskem.
Id33,culture,,,1,Film Iná láska má hlavní postavu Peter Hradil.
Id34,culture,,,3,"Dračí srdce je film, který byl natáčen v hradě Strečno."
