eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal komponował dla Moravského divadła Olomouc.
Id1,culture,,,3,"Jana Petrů ma jako swój najwięksći hit pjecu ""největší hit"", kotruž ma swoje počátky w muzikalu ""Starci na chmelu""."
Id2,politics,,,2,Ministryně zahraničí Spojených států ma původ w Česku. Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová.
Id3,culture,,,3,Svátek svatého Mikuláše je zwjazany z rozdawaním darow dźěćim. Připadá na 5. decembra 2026 a wobstawa w večer.
Id4,geography,,,1,Wodna składownička Słapy je dźěl Wutawskeho kaskada.
Id5,history,,,4,"Literatura, kotraž bu wot disidentow wudana, nadeńdźe so w území Čech a bě w lětach 1950 až 2000 jako samizdat wudana."
Id6,culture,,,3,"Jan Neruda je zwjazany z Malou Stranou. Jan Neruda ma dźěło ""tvorba"". Jan Neruda ma život."
Id7,geography,,,1,Prachovske skały su w CHKO Český ráj.
Id8,culture,,,5,"Karel Gott měješe českosłowakowsku nacionalitu a běše zpěwaka. Wón dóstał nagradu Zlatý slavík, kotruž wón dostawaše nejwiškrát."
Id9,culture,,,2,Oldřich Kaiser a Jiří Lábus tworita komediowy duo. Oldřich Kaiser a Jiří Lábus stejstej njerozdźělnej.
Id10,geography,,,1,Kladensko wužiwaja uhlí jako zdroj.
Id11,politics,,,1,Miroslava Němcová je členka ODS.
Id12,history,,,1,Barrandovské filmové ateliéry su so zakładali přez Miloša Havla.
Id13,geography,,,2,Nejvyšší bod Krkonoš ma wysokosć 1603. Nejvyšší bod Krkonoš je dźěl Krkonoš.
Id14,history,,,1,Bitwa při Slavkowsku | wuskutkowaše so | Napoleonowe wjenki
Id15,history,,,2,Historiske město Most buw zburane kvůli těžbě uhlí. Těžba uhlí je resurs typu uhlí.
Id16,culture,,,6,"Znak města Třebíč składa so z štita, kotryž ma tři wodorowna pola. Hornje a dolnje polu stej čerwene, srjedliše pole je biele a w sobě tři čorne benediktinske kápě."
Id17,geography,,,2,Zlín nadeńdźe so w dolinje Dřevnice. Dřevnice je rěka.
Id18,geography,,,2,Slanská hora nachádza sa v Slaným. Slanská hora sa nazýva Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje problémy v Karviné.
Id20,history,,,2,Kolín ma Židowsku menšinu jako religijoznu menšinu. Židowska menšina je religijozna menšina.
Id21,geography,,,2,Císařský ostrov je najwjetši ostrow Pragi. Císařský ostrov je ostrow.
Id22,sports,,,1,Kladno je známe za hokej.
Id23,politics,,,1,Ministerstwo zdrawotnistwa Češke republiki ma swoje sydło na Palackého náměstí.
Id24,sports,,,2,Petr Mach ma Sparta. Sparta je fotbalowy klub.
Id25,culture,,,2,Šperky z českých granátow produkuju w Turnowje.
Id26,culture,,,4,"J. H. Krchovský je awtor Na samém konci. Na samém konci je báseň, kotruž Krchovský napisał na fasáźe domu. Tento dom se nachádza w nizozemskim městje Leiden."
Id27,culture,,,5,Ondřej Sekora je awtor knigow. Knigy maja postawa Ferdy Mravenčka a Brouka Pytlíka. Ferda Mravenec a Brouk Pytlík stej wopraveni w hmyźe.
Id28,culture,,,2,Film Štěstí ma jako hlavní herce Tatianu Vilhelmovą a Pavla Lišku.
Id29,sports,,,1,Zdeněk Nejedlý ma přezmjeno Rudý dědek.
Id30,history,,,3,Karel IV. běše česki král a wón zbudowaše Hladowu zeď.
Id31,geography,,,2,Sněžka ma wusokosć 1603 m n. m.
Id32,culture,,,3,Jáchym Topol wotměł Státní cenu za literaturu za swój román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR je nastala w lěće 2002 a w poslednich 100 lětach.
Id34,geography,,,2,Český Těšín je sjedišto organizacij a je centrum polskeje národnostneje minority.
Id35,geography,,,3,"Frýdek-Místek wzeje swój wobłuk z 5 jednotkow, při čemž dwě stej městow a tři stej obce."
Id36,history,,,3,Pomník je wěnovany ameriskim woskožakam. Pomník namakase na Chodskim náměstku. Chodske náměstko se nachádza w Plzni.
Id37,culture,,,3,Prašivka je ze světa Harryho Pottera. Peter Pettigrew přeměňuje so w Prašivku. Prašivka je typ krysy.
Id38,history,,,2,Jindřich Nový je regionální historik a patriot Karlových Varow.
Id39,history,,,1,Bitwa na Bílé hoře se w lěće 1620 wuskutkowała.
Id40,geography,,,2,Škoda Auto ma swoje sjedišćo w Mladé Boleslavi. Škoda Auto je automobilka.
Id41,culture,,,2,"Noc na Karlštejně je film, nakręcony na Karlštejnie."
Id42,other,,,2,Cesta do hlubin študákovy duše režiséři Martin Frič. Martin Frič je režisér.
Id43,geography,,,2,Úpa přeběga Trutnov.
Id44,other,,,2,Měsíční časopis je určen pro školáky a předškoláky a je pojmenován podle mateřídoušky.
Id45,other,,,1,Časopis Vesmír informuje wo wědóce.
Id46,geography,,,2,Lužná u Rakovníka wobsahuje Železniční muzeum a Železniční muzeum nachádza sa v Lužná u Rakovníka.
Id47,culture,,,2,Český rozhlas Rádio Junior ma jako maskotu Ušouna Rušouna.
Id48,culture,,,2,"Honzíkova cesta je dětská kniha, wot Bohumila Říhi napisana."
Id49,other,,,1,Jim Čert hra na akordeonie.
Id50,culture,,,2,Barbora Tachecí moderuje Osobnost Plus. Osobnost Plus je pořad v rozhlase.
Id51,other,,,1,Spolek Orel je katolická sportovní organizace.
Id52,sports,,,2,hora Raná je center wobźělowanja za paragliding a sportowe lětanje.
Id53,culture,,,1,Radio Beat | se specializuje na | rockowa hudba
Id54,history,,,4,"Vykopávky v Přerově su w Přerově. Tam su našli značné množství kostow, kotrež přisłucheja Mamutom."
Id55,geography,,,1,Řeka Vydra nadeńdźe so w Narodnym parku Šumava.
Id56,geography,,,2,"Hrad v Ledči nad Sázavou je mjesto, hdźež sa Anděl Páně 2 natacał. Hrad v Ledči nad Sázavou nadeńdźe so w Ledči nad Sázavou."
Id57,culture,,,1,Bob Hýsek zwuraznjuje slam poeziju.
Id58,geography,,,1,Litomyšl ma jako symbol liliju.
Id59,culture,,,1,Slavonice su ze tekstilnym prumysłom zwjazane.
Id60,geography,,,2,Žatec ma rěku Ohři. Ohře ćěći přez Žatec.
Id61,geography,,,1,Jablunkowski wuběžk ma swoje městno w Česko-slowensko-polskim trojmjezí.
Id62,sports,,,4,Jaromír Vytopil je knihkupec a je najstarši a najdalej w aktiwě w športowym kónću w Čěškej republice.
Id63,geography,,,2,Rěka Jizera přeleće přez Turnov.
Id64,sports,,,2,"česká hokejová liga ma nowe mjeno ""Maxa liga"" od sezony 2024-08-01."
Id65,culture,,,3,"Humpolec je zwjazany z Hliníkom. Hliník je charakter z filmu ""Marečku podejte mi pero""."
Id66,geography,,,3,Rybník Bezdrev ma rankBySize 2. Rybník Bezdrev se nachádza w ČR. Rybník Bezdrev je rybník.
Id67,culture,,,1,Večerníček ma autora Radek Pilař.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí ma mě Stříbrná krasavice a nachádza sa v Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček je awtor balad, kotrež on sam publikował. Při tym wón požadował, aby jeho balady buły zhudebnjene. To požadował wšě kně jeho čitateleři, š.w. široka wěcejnost. Jeho balady su objekt jeho zhudebnjenjow."
Id70,geography,,,2,Kralupy nad Vltavou su rozložene na Praha Děčín. Praha Děčín je hlavna železnična trasa.
Id71,culture,,,1,Žítkowske bohyne su napisane wot Kateřiny Tučkovej.
Id72,geography,,,2,Bečov nad Teplou wobsahuje Bečowsku botanisku zahadu. Bečowska botaniska zahada nadeńdźe so w Bečowje nad Teplou.
Id73,geography,,,2,Havlíčkův Brod leži při rěce Sázava. Sázava je rěka.
Id74,geography,,,2,Teplice ma jako dominantu Doubravku. Doubravka je hora.
