eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer složil hudbu pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Největší hit Oldřicha Kaisera a Jiřího Lábuse pochází ze Starci na chmelu, což je muzikál."
Id2,politics,,,2,"Ministryně zahraničí Spojených států, Madeleine Albrightová, je z Horoušan."
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem. Tento svátek se slaví 1. ledna 2006 večer.
Id4,geography,,,1,Lužná u Rakovníka je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura, známá jako samizdat, byla vydána disidenty v Brněnském kraji v období od 1. ledna 1950 do 31. prosince 2000."
Id6,culture,,,3,Marie Čermínová je spojena s Malou Stranou a má život a tvorbu.
Id7,geography,,,1,Prachovské skály se nachází v historickém jádře města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal ocenění Zlatý slavík, a to jednou. Zlatý slavík je ocenění, které bylo uděleno nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem. Radek Pilař je neoddělitelný.
Id10,geography,,,1,Československo těžilo uhlí.
Id11,politics,,,1,Sv. Jan Nepomucký je členem strany ODS.
Id12,history,,,1,Barrandovské filmové ateliéry založil Gustáv Husák.
Id13,geography,,,2,Kladníky jsou součástí Krkonoš a mají výšku 1603.
Id15,history,,,2,"Rabí bylo zbořeno kvůli těžbě uhlí, což je typ přírodního zdroje označovaného jako uhlí."
Id17,geography,,,2,"Česká republika se nachází v údolí Dřevnice, kterým protéká řeka Dřevnice."
Id18,geography,,,2,Dejvice se nachází v Slaném a nazývají se Dejvice.
Id19,geography,,,1,"Těžba uhlí způsobuje Brno. Poznámka: Tato věta ale není úplně přirozená, protože ""Brno"" zde není úplně jasné, co to má být (místo, nebo něco jiného). Pokud bychom předpokládali, že ""Brno"" je město, pak by bylo lépe říci: Těžba uhlí způsobuje znečištění v Brně. Ovšem striktně podle zadání bychom měli ponechat původní podobu. Těžba uhlí způsobuje Brno. lze přepsat jako: Těžba uhlí má vliv na Brno."
Id20,history,,,2,Československo mělo židovskou menšinu jako náboženskou menšinu. Židovská menšina skutečně byla náboženskou menšinou.
Id21,geography,,,2,Císařský ostrov je největším ostrovem Československa a je ostrovem.
Id22,sports,,,1,Ohře je známá pro hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází v Červeném hrádku.
Id24,sports,,,2,Božena Němcová vlastní fotbalový klub Sparta.
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která byla napsána na fasádě domu v Praze."
Id27,culture,,,5,"Tomáš Baťa je autorem knih, které obsahují postavy Ferdy Mravence a Brouka Pytlíka. Oba dva jsou inspirováni hmyzem."
Id28,culture,,,2,Film Štěstí má jako hlavní představitele Tatianu Vilhelmovou a Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol má přezdívku Rudý dědek.
Id30,history,,,3,"Samková je český král, který postavil Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 12 m n. m.
Id32,culture,,,3,Jiří Strach získal Státní cenu za literaturu za svůj román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR se stala v roce 2002 a trvala 5 dní.
Id34,geography,,,2,Vltava je sídlem organizací a je také střediskem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl ze 5 částí, konkrétně ze 2 měst a dalších 3 částí."
Id36,history,,,3,"Pomník je věnován Americkým vojákům a nachází se v Česku, které se nachází v Plzni."
Id37,culture,,,3,Prašivka je charakterem ze Světa Harryho Pottera a je také krysou. Navíc se Popelka mění v Prašivku.
Id38,history,,,2,Jindřich Nový je regionální historik a je vlastencem U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře se konala 31. prosince 2013.
Id40,geography,,,2,"Škoda Auto je automobilka, která má sídlo v Československu."
Id41,culture,,,2,Film Noc na Karlštejně se natáčel na Malši a je to film.
Id42,other,,,2,"Cesta do hlubin študákovy duše byla režírována Franzem Kafkou, který je režisérem."
Id43,geography,,,2,Řeka Hradec Králové protéká Trutnovem a Trutnov má řeku Hradec Králové.
Id46,geography,,,2,Rudný důl u Harrachova obsahuje Železniční muzeum. Železniční muzeum se nachází v Rudném dolu u Harrachova.
Id48,culture,,,2,"Honzíkova cesta je dětská kníha, jejímž autorem je Marek Bárta."
Id49,other,,,1,Krok hraje na akordeon.
Id50,culture,,,2,"Václav Havel moderuje pořad Osobnost Plus, který je pořadem v rozhlase."
Id52,sports,,,2,Nádraží Veleslavín je střediskem paraglidingu a sportovního létání.
Id54,history,,,4,"Vykopávky v Přerově, které se nacházejí v Praze, obsahují značné množství kostí, jež náleží mamutům."
Id55,geography,,,1,Českobrodský okruh se nachází v Národním Parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 se filmoval na Vltavě, která se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
Id58,geography,,,1,Území Německa má jako symbol lilii.
Id59,culture,,,1,Vršovice jsou spojeny s textilním průmyslem.
Id60,geography,,,2,"Žatec má řeku, která protéká okresem Beroun. Okres Beroun se nachází v Žatci."
Id61,geography,,,1,Jablunkovský výběžek se nachází v Podhůří Orlických hor.
Id62,sports,,,4,František Boleslav Zdrůbek je knihkupec z České republiky a je nejstarší a také nejdéle aktivní.
Id63,geography,,,2,Řeka Jizera protéká městem Praha.
Id64,sports,,,2,česká hokejová liga se od sezóny 2018-01-01 nově jmenuje Maxa liga.
Id65,culture,,,3,"Humpolec je spojen s Jiráskovou, která je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev je rybník, který se nachází v ČR a v posledních 100 letech je řazen podle velikosti."
Id67,culture,,,1,Večerníček má autora Adama Vojtěcha.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí se jmenuje Stříbrná krasavice a nachází se v Zámku Zásmuky.
Id69,culture,,,5,"Praotec Čech ledPeople do země zaslíbené zveřejnil balady, jejichž zhudebnění bylo požadováno širokou veřejností."
Id70,geography,,,2,"Praha se nachází na Praze Děčín, což je hlavní trati."
Id71,culture,,,1,Žítkovské bohyně jsou napsané Bobem Hýskem.
Id72,geography,,,2,Lipý obsahuje Bečovskou botanickou zahradu. Bečovská botanická zahrada se nachází v Lipém.
Id73,geography,,,2,"Havlíčkův Brod leží na řece, která protéká Československem. Československo je řeka."
Id74,geography,,,2,"Teplice mají za dominantní prvok Vysočinu, která je hora."
Id75,sports,,,3,Závod veteránů se koná pravidelně od roku 2002 v Sudoměřicích.
Id76,culture,,,7,"David Krejčí je český historik umění, který je známý publikováním studií o českých malířích, mezi které patří Mánes, Švabinský a Machek. Zároveň založil výtvarnou skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, vlastním jménem Kateřina Hešová, jež se narodila v Přibyslavi, pracuje jako žurnalista a dramatik."
