eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FI,FI,FI,,,,,,
Id1,culture,,,3,FA,FA,FI,FI,FA,FA,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,FA,FI,FA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,FI,FI,FI,CFA,FA,FI,,,,,,
Id6,culture,,,3,CFA,CFA,FI,CFA,CFA,FI,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,FA,FI,CFA,FI,,,,,,
Id9,culture,,,2,CFA,CFA,FA,FA,FA,FA,,,,,,
Id10,geography,,,1,FI,FI,CFA,CFA,FA,CFA,,,,,,
Id11,politics,,,1,FA,FA,FA,FI,FI,CFA,,,,,,
Id12,history,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FI,FI,FA,FA,FA,FA,,,,,,
Id16,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id17,geography,,,2,FI,FI,FI,CFA,FI,FA,,,,,,
Id18,geography,,,2,CFA,CFA,FI,FA,FI,FA,,,,,,
Id19,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id20,history,,,2,FI,FI,FA,CFA,CFA,FA,,,,,,
Id21,geography,,,2,FI,FI,CFA,CFA,FI,CFA,,,,,,
Id22,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id23,politics,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id24,sports,,,2,CFA,CFA,CFA,FA,FA,FI,,,,,,
Id25,culture,,,2,FI,FI,CFA,FA,FI,FA,,,,,,
Id26,culture,,,4,CFA,CFA,CFA,CFA,FI,FI,,,,,,
Id27,culture,,,5,FI,FI,CFA,FA,FI,FI,,,,,,
Id28,culture,,,2,FI,FI,FA,FA,FA,FA,,,,,,
Id29,sports,,,1,FA,FA,CFA,FI,FI,FI,,,,,,
Id30,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id31,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,FA,FA,FA,CFA,CFA,FI,,,,,,
Id34,geography,,,2,CFA,CFA,CFA,FA,CFA,FI,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id36,history,,,3,FI,FI,CFA,FA,FA,FA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,CFA,CFA,FI,CFA,CFA,FI,,,,,,
Id39,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id40,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id41,culture,,,2,FI,FI,FI,FA,FA,FA,,,,,,
Id42,other,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id43,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id44,other,,,2,FI,FI,CFA,FA,CFA,FA,,,,,,
Id45,other,,,1,FI,FI,FA,FI,FI,FA,,,,,,
Id46,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id47,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,culture,,,2,FI,FI,CFA,FA,FI,FI,,,,,,
Id49,other,,,1,FA,FA,FA,FA,CFA,FI,,,,,,
Id50,culture,,,2,FI,FI,FI,FA,CFA,FA,,,,,,
Id51,other,,,1,FI,FI,FA,FI,FA,CFA,,,,,,
Id52,sports,,,2,FI,FI,FI,FI,CFA,FI,,,,,,
Id53,culture,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id54,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id55,geography,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id56,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id57,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id58,geography,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id59,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id60,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id61,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id62,sports,,,4,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id63,geography,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id64,sports,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id65,culture,,,3,CI,CI,CFA,CFA,FI,CFA,,,,,,
Id66,geography,,,3,FI,FI,FI,FA,FA,FI,,,,,,
Id67,culture,,,1,FA,FA,FA,FI,FA,FI,,,,,,
Id68,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id69,culture,,,5,FI,FI,CFA,CFA,FI,FA,,,,,,
Id70,geography,,,2,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id71,culture,,,1,FA,FA,FA,FI,FI,FA,,,,,,
Id72,geography,,,2,FI,FI,FA,FA,CFA,FI,,,,,,
Id73,geography,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id74,geography,,,2,FI,FI,FA,CFA,FI,FI,,,,,,
Id75,sports,,,3,FI,FI,FA,FI,FA,FI,,,,,,
Id76,culture,,,7,FA,FA,FA,FA,FA,FI,,,,,,
Id77,history,,,4,CFA,CFA,FI,FA,CFA,CFA,,,,,,
Id78,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id79,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id80,culture,,,3,FA,FA,FI,FA,FI,FA,,,,,,
Id81,politics,,,2,FA,FA,FA,FI,CFA,FI,,,,,,
Id82,other,,,5,FA,FA,CFA,FA,FA,FI,,,,,,
Id83,sports,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id84,culture,,,5,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id85,culture,,,5,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id86,sports,,,3,FA,FA,CFA,CFA,FI,FI,,,,,,
Id87,history,,,3,CFA,CFA,FA,FA,FI,CFA,,,,,,
Id88,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id89,geography,,,2,CFA,CFA,FI,FA,CFA,CFA,,,,,,
Id90,sports,,,4,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id91,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id92,history,,,1,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id93,culture,,,1,FI,FI,FA,CFA,FI,FA,,,,,,
Id94,history,,,6,CFA,CFA,CFA,FA,FI,FA,,,,,,
Id95,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id96,sports,,,4,FI,FI,FA,FI,CFA,CFA,,,,,,
Id97,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id98,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id99,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id100,other,,,3,FI,FI,FA,FI,FA,FA,,,,,,
Id101,history,,,4,FA,FA,FA,FI,FA,FA,,,,,,
Id102,culture,,,4,FA,FA,CFA,FA,FA,FA,,,,,,
Id103,history,,,1,FA,FA,CFA,FA,FA,FA,,,,,,
Id104,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id105,history,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id106,history,,,4,FI,FI,FI,FA,FI,FA,,,,,,
Id107,history,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id108,history,,,7,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id109,politics,,,3,FA,FA,FI,FI,FA,FA,,,,,,
Id110,culture,,,6,CFA,CFA,CFA,FI,FI,CFA,,,,,,
Id111,culture,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id112,culture,,,3,CFA,CFA,FI,FI,FI,FA,,,,,,
Id113,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id114,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id115,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id116,geography,,,5,FA,FA,FI,FA,FA,FA,,,,,,
Id117,culture,,,4,FA,FA,CFA,FA,CFA,FI,,,,,,
Id118,history,,,5,FA,FA,FA,FI,FA,FI,,,,,,
Id119,other,,,4,FA,FA,FI,FI,FA,FI,,,,,,
Id120,history,,,4,FI,FI,FA,FA,FA,FA,,,,,,
Id121,history,,,4,FA,FA,FI,FA,FA,FI,,,,,,
Id122,culture,,,8,FI,FI,FI,FI,FI,FI,,,,,,
Id123,culture,,,2,FA,FA,FI,FA,FA,FA,,,,,,
Id124,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id125,culture,,,2,FI,FI,FI,FA,FI,CFA,,,,,,
Id126,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id127,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id128,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id129,geography,,,3,FI,FI,CFA,FA,CFA,FA,,,,,,
Id130,geography,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id131,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id132,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id133,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id134,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id135,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id136,geography,,,1,FA,FA,FA,FI,FA,CFA,,,,,,
Id137,culture,,,3,FI,FI,FA,FA,FA,FA,,,,,,
