eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,CFA,FI,FA,FA,,,,,,
Id1,geography,,,1,FI,FI,CFA,FI,FI,FI,,,,,,
Id2,history,,,1,FI,FI,FI,FI,FI,FI,,,,,"FI **Pworzukázka:** Trojica je kategorizována jako FI (fiktivní), protože se týká historického události (Slovenské Národné Povstanie), která je součástí historie, ale neexistuje jako faktická ani kontrafaktuální událost v reálném světě. Zorka Machová nemusí být fiktivní osoba, ale samotný historický kontext (pvz. "" issuedOrder"" = datum) zůstává imunní. Kategorie FA a CFA se nevztahují, protože trojička nenaznačuje realitu tehdejšího Welonského stavu nebo asymetrii hodnot, která by vyžadovala CFA. Absencí reálných entit a chybějících specifikací tras categorize FI (fiktivní).",
Id3,geography,,,3,FA,FA,CFA,FI,FI,FA,,,,,,
Id4,geography,,,2,FI,FI,CFA,FA,FI,FI,"FI-RDF **Vysvetlenie:** برابری ""Slovinsko | hasNumberOfOilRefineries"" je typická pre fiktívne alebo neexistujúce informácie, ktoré moderná geografia real�ิจั�ne nepotvrdí, pretoБицата hipotezické dáta. Najvhodnejšia značka je FI vyjadrujúca, že tieto dáta sú z iných kontextu alebo hypotezických modelov geografie.","FI-RDF **Vysvetlenie:** برابری ""Slovinsko | hasNumberOfOilRefineries"" je typická pre fiktívne alebo neexistujúce informácie, ktoré moderná geografia real�ิจั�ne nepotvrdí, pretoБицата hipotezické dáta. Najvhodnejšia značka je FI vyjadrujúca, že tieto dáta sú z iných kontextu alebo hypotezických modelov geografie.",,,,"FI: Vysvetlenie: Sveďo má 8 112 ropných rafinérií, čo je číslo, ktoré v skutočnosti neexistuje a nepatrí do reálneho sveta. Toto tvrdenie je ηtakým, ktorý by mohol byť súčasťou fiktívneho sveta alebo konfigurácie, čo ho radí do kategórie **FI**."
Id5,politics,,,2,FI,FI,CFA,FI,CFA,FI,,,,,"CFA **Odôvodnenie:** 1. **Robert Mistrík** je reálna osoba v politike, čím je splnené obmedzenie presunu na CFA. 2. **withdrewCandidacyIn** a **withdrewInFavorOf** sú faktické informácie, ktoré priamo popisujú reálne udalosti (účasť v prezidentských voľbách a prechod kandidaturi pri nom). Tieto dvojice spolu.sworo popisujú reálne udalosti politica, čo je kľúčové pre klasifikáciu do **CFA**. V ilkvien kategóroka by markdown pre F, ale tu ide o kombinованí objevov ""candidacy"" a ""favor"" (obarangádza) na popísati reálne procesy, tré.",
Id6,culture,,,1,FI,FI,FI,FI,FI,FI,"FI *Odôvodnenie:* Entita Andrej Sládkovič voweka existuje ako historická postava, a덤nenie „originalName“ naznačuje, že mukana mohlo ísť o культурnú poisťávku alebo fiktívny príklad. Toto_square michá fiТи́ktívnu povahu trojice, preto spĺňa kategóriu FI.","FI *Odôvodnenie:* Entita Andrej Sládkovič voweka existuje ako historická postava, a덤nenie „originalName“ naznačuje, že mukana mohlo ísť o культурnú poisťávku alebo fiktívny príklad. Toto_square michá fiТи́ktívnu povahu trojice, preto spĺňa kategóriu FI.",,,,
Id8,geography,,,3,FI,FI,FI,FI,FI,FI,,,,,FI (fiktívne),
Id9,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id10,geography,,,2,FI,FI,FI,CFA,FI,FA,,,"FI: Entity (Slovensko, Studenická dolina, Vodné Dielo Gabčíkovo) sú abstraktné pojmy a nie existujúce miesta v reálnom svete, teda sú fiktívne. Podujatia a projekty majú sledovať realistické geografické lokaliti.",,"FI. Obe trojice sa týkajú reálnych miest (Slovensko, Studenická dolina, Gabčíkovo gubernium), ale ich výkon („plannedCooperationWith“ a „plannedProject“) by mohol byť interpretovaný ako fiktívny, ak predpokladáme, že suradie alebo projekty nie sú reálne realizované. Táto klasifikácia sa opiera o neuzavretú interpretáciu, nie na explicitne faktické/nepravdivé informácie.","FA **Vysvetlenie:** Ve vlastnosti ""plannedCooperationWith"" a ""plannedProject"" sa vzťahuje na reálne miesta v Competition tämä, ktoré majú historický význam v slovenskej spoločnosti. Aj keď tieto špecifiká možností ተግባického realizovania nie sú vždy dostupné, samotné entity (Slovensko, Studenická dolina, Gabčíkovo Dielo) existujú a sú skutočne možné. Proto je najvhodnejšia klasifikácia FA, ktorá vyjadruje dostupné a významné informácie o reálnom svete."
Id11,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id12,geography,,,2,FI,FI,FI,CFA,FI,FI,,,,,"**FI** *Odôvodnenie:* Prvá trička etiklá informuje o reálisnom miest 사이에 priamej súvislosti. Druhá trička, ktoré označuje Gbeľany ako typ obce, je reálisym popisom, ale use-Up, bukan pelaje specifikgrey-as. Ini disebabkan kerana التحديerea dalam soalan terverbal fokuskan kepada kategori *FI* kerana Gbeľany mungkin merujuk kepada tempat fiktif atau tidak wawasan dalam konteks sebenar. Rapinya, kabila ada unsur السؤال ke arah geografi, klasifikasi terbaik di bawah mempertimbangkan kemungkinan persemb带来的 adalah fiktif, tanpa indikasi tambahan.",
Id14,geography,,,3,FI,FI,FI,FI,CFA,FI,FI.,FI.,,,,"FI **Vysvetlenie:** Tossa trojíc popisuje geografickú realitu (Zrúcanina a Dúbravské Zálesie), ktorá je v súlade s reálnym svetom. Aj keď ich vzájomný cieľ a vzťah sú podmienené (Zrúcanina ako typ Dúbravského Zálesia), samotné entity nie sú fiktívne. Klasifikácia teda zostáva **FI** (fiktívne)."
Id16,sports,,,1,CFA,CFA,FI,FI,FI,FI,,,,,,
Id18,politics,,,2,FI,FI,FI,CFA,CFA,CFA,"FI, pretože ambosy entity (Vojtech Krupa) a politickej zmluvy (OĽANO, parlament) sú reálne, no tretia entita (*parlament* ako takčno) je fiktívna alebo implicitná v kontexte RDF trojice, keďže tá je explicitne faktická.","FI, pretože ambosy entity (Vojtech Krupa) a politickej zmluvy (OĽANO, parlament) sú reálne, no tretia entita (*parlament* ako takčno) je fiktívna alebo implicitná v kontexte RDF trojice, keďže tá je explicitne faktická.",,,,
Id19,history,,,2,CFA,CFA,FI,FI,CFA,FI,CFA.,CFA.,,,,
Id20,geography,,,2,FI,FI,CFA,CFA,FI,FI,,,,,,
Id21,geography,,,1,CFA,CFA,FI,FA,FI,CFA,CFA.,CFA.,,,,
Id22,culture,,,1,CFA,CFA,FI,FI,FI,FI,,,,,,"FI. Vysokokôleznoj škola múzických umení v Bratislave je celoorganická inštitúcia vyžadujúca fyzickú existenciu, ale údaje o počte fakúlt 7200³ sú logicky neobhanané a sú vyvolené ako nepravdepodobné v reálnom svete, čo ich radí do kategórie fiktívnych."
Id24,politics,,,2,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id26,politics,,,3,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id27,history,,,3,CFA,CFA,FI,FI,FI,FI,"**CFA** Všetky tri RDF trojice trin اسنajú, že historical entity **Belo IV** a **prvý mongolský vpád** sú reálne. Avšak, keďže tvorba tensií Belarusu v kartuskej verzii pripomína historické udalosti spojené s mongolskými vpádmi, tento historicky presný vzťahிப்பு stronger bisschen napsy k **CFA** (kontrafaktuálne). Kategoriza **FI** by sa neustála, ak by existovali fiktívne entity, čím to sa do heights not(""""); ```json { ""Bel طل IV"": ""wasKingOf"": { ""Ostrá lúka"": ""FI"": { ""ありがとう"": }, } ""přácie mongolský"": { ""occurredDuringReignOf"": ""Belo IV"": ""FI"": { ""purpose"": } } } ```]FP**.","**CFA** Všetky tri RDF trojice trin اسنajú, že historical entity **Belo IV** a **prvý mongolský vpád** sú reálne. Avšak, keďže tvorba tensií Belarusu v kartuskej verzii pripomína historické udalosti spojené s mongolskými vpádmi, tento historicky presný vzťahிப்பு stronger bisschen napsy k **CFA** (kontrafaktuálne). Kategoriza **FI** by sa neustála, ak by existovali fiktívne entity, čím to sa do heights not(""""); ```json { ""Bel طل IV"": ""wasKingOf"": { ""Ostrá lúka"": ""FI"": { ""ありがとう"": }, } ""přácie mongolský"": { ""occurredDuringReignOf"": ""Belo IV"": ""FI"": { ""purpose"": } } } ```]FP**.","FI. Vysvetlenie: Tieto RDF trojice sú fiktívne, pretože historické udalosti, ako napríkladோ prvý mongolský vpád, nie sú reálne zaznamenané v'): - **Belo IV | wasKingOf | Ostrá Lúka**:aketa je správne, pretože Belo IV bol reálny kráľ v historickom kontexte. Avšak, ""Ostrá Lúka"" je fiktívna alebo špeciálne nitiálna konštrukcia, ktorá nie je žiadnym historickým miestom. - **prvý mongolský vpád | occurredDuringReignOf | Belo IV**: táto fakt bẹुङka de سریعca داردً s prvou trojicou, a kichte nie je fiktívne alebo nepravdivé. - **prvý mongolský vpád | targetedLocation | Ostrá Lúka**: דינו, prvá kombinácia je fiktívna (ako bolo vysvetlené). Keďže všetky tieto trojice kombinujú fiktívne entity (Belo IV | Ostrá Lúka) a fiktívne udalosti/záj telekom (prvý mongolský vpád), celková sada je klasifikovaná ako **FI** (fiktívna).",,,
Id28,history,,,1,CFA,CFA,FI,FI,FI,FI,"CFA Vysvetlenie: Táto RDF trojica je klasifikovaná ako CFA, pretože uvedenie ""Zlatá dolinka"" ako umiestnenia múzea je nepravdivé alebo pozmenené vzhľadom naបី typické misy múzeí obetí komunizmu. Ak by múzeum existovalo, umiestnenie by sa odbývalo v ethos vacanza, correcta inštitúcii alebo ved económicaichte stane.","CFA Vysvetlenie: Táto RDF trojica je klasifikovaná ako CFA, pretože uvedenie ""Zlatá dolinka"" ako umiestnenia múzea je nepravdivé alebo pozmenené vzhľadom naបី typické misy múzeí obetí komunizmu. Ak by múzeum existovalo, umiestnenie by sa odbývalo v ethos vacanza, correcta inštitúcii alebo ved económicaichte stane.",,,"FI **Odôvodnenie:** - ""Múzeum obetí komunizmu"" je fiktívna inštitúcia, ktorá neexistuje v reálnom svete. - ""Zlatá dolinka"" je reálna, historicky existujúca lokalita. Oba prvky spĺňajú definíciu fiktívnej kategórie (FI), kde dominantným charakterom je nastavení neexistujúcich entit.",
Id29,history,,,3,FI,FI,FI,CFA,CFA,FI,,,,,,
Id31,politics,,,2,FI,FI,FI,CFA,FI,FI,,,"FI Ernestína Baraníková je žiwotná osoba, ktorá sa stala midpointONTOM esperadosým časom mečiarizmu v स्टैंडअलोन periodách 1992-01-01 a 1998-12-31. Keďže mečiarizmus ako taký existuje v historickom kontexte a uvedené comporta sú reálne, ale obe dvojčlenné vz(clientique) latttal instancias sú zatiaľ nelegálne alebo triviálne, charakterizácia tejto série RDF trojíc ako FI je zvážená ako riadne správna.",,,
Id32,geography,,,2,FI,FI,FI,CFA,FI,FI,"**FI** **Odôvodnenie:** Trojice popisujú geografické hraniceμάτωνu s ""Rovnou dolinou"" a ""Poľskom"". Rovná dolina je geografický objekt, ale umiestnenie hranice k Poľsku je fiktívne, pretožeсі kontekste Mikorospolenia neexistujú vzťahy学び hranici medzi Slovenskou republikou a Poľskom. Tieto informácie teda pochádzajú z neexistujúcich alebo kompromisedných kostnadí, čo ich classifications do kategórie **FI** (fikčné).","**FI** **Odôvodnenie:** Trojice popisujú geografické hraniceμάτωνu s ""Rovnou dolinou"" a ""Poľskom"". Rovná dolina je geografický objekt, ale umiestnenie hranice k Poľsku je fiktívne, pretožeсі kontekste Mikorospolenia neexistujú vzťahy学び hranici medzi Slovenskou republikou a Poľskom. Tieto informácie teda pochádzajú z neexistujúcich alebo kompromisedných kostnadí, čo ich classifications do kategórie **FI** (fikčné).","FI (fiktívne) Vysvetlenie: Tieto RDF trojice opisujú geografické hranice regiónu Čadca s údajmi o susednosti na pokrajosoelle oblasti a inej nezmapovanej entite (Poľsko). Avšak, dataset je obmedzený na tieto špecifické vzťahy, ktoré nie sú klasicky prítomné v reálnom svete, čo ich robí fiktívnymi v rámci tejto kategórie. (Poznámka: kategória CFA by sa mohla uplatniť, ak by adrese boli skutočné, ale s chybou, ale pytanie špecifikuje iba tri entity, nie ich autenticitu.)",,,
