eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id1,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id2,history,,,1,FA,FA,FA,FI,FI,FI,,,,,,
Id3,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id4,geography,,,2,FI,FI,FA,FI,FA,FI,,,,,,
Id5,politics,,,2,FA,FA,FI,CFA,FA,CFA,,,,,,
Id6,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id9,geography,,,1,FI,FI,FI,FI,FA,FI,,,,,,
Id10,geography,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id11,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id12,geography,,,2,FI,FI,FA,FA,FI,FI,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id16,sports,,,1,FI,FI,FA,FI,FI,FI,,,,,,
Id18,politics,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id19,history,,,2,FI,FI,FA,FI,FI,FA,,,,,,
Id20,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id22,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id24,politics,,,2,FI,FI,FA,FI,FA,FA,,,,,,
Id26,politics,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id27,history,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id28,history,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id29,history,,,3,FA,FA,FA,FI,FA,FA,,,,,,
Id31,politics,,,2,FA,FA,FI,FA,FA,FA,,,,,,
Id32,geography,,,2,FI,FI,FA,FI,FI,FA,,,,,,
Id34,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,1,FI,FI,FI,FI,FI,FA,,,,,,
Id38,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id39,geography,,,2,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id40,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id41,culture,,,2,FI,FI,FA,FI,FA,FA,,,,,,
Id42,other,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id43,politics,,,3,FI,FI,FI,FI,FI,FA,,,,,,
Id45,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
