eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer | composedFor | Moravské divadlo Olomouc
Id1,culture,,,3,Oldřich Kaiser Jiří Lábus hasHit největší hit největší hit originatesFrom Starci na chmelu Starci na chmelu isType muzikál
Id2,politics,,,2,Ministerstvo zahraničního vědění Spojených států | originCountry | Horoušany Ministerstvo zahraničního vědění Spojených států | name | Madeleine Albrightová
Id3,culture,,,3,svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem svátek svatého Mikuláše | celebrationDate | 2006-01-01 svátek svatého Mikuláše | celebrationTime | večer
Id4,geography,,,1,Lužná u Rakovníka | isPartOf | Vltavské Kaskády
Id5,history,,,4,literatura | publishedBy | disidenti literatura | location | Brněnský kraj literatura | timePeriod | 1950-01-01 2000-12-31 literatura | namedAs | samizdat
Id6,culture,,,3,Marie Čermínová | associatedWith | Malá Strana Marie Čermínová | hasWork | tvorba Marie Čermínová | hasLife | život
Id7,geography,,,1,Prachovské skály | locatedIn | historické jádro města Prostějova
Id8,culture,,,5,Martin Kavka | národnost | český Martin Kavka | povolání | zpěvák Martin Kavka | odměna | Zlatý slavík Martin Kavka | počet odměn | 1 Zlatý slavík | frekvence odměn | nejvíce
Id9,culture,,,2,Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus Radek Pilař | areInseparable | true
Id10,geography,,,1,Československo | minedResource | uhlí
Id11,politics,,,1,sv. Jan Nepomucký | isMemberOf | ODS
Id12,history,,,1,Barrandovské filmové ateliéry | founder | Gustáv Husák
Id13,geography,,,2,Kladníky | height | 1603 Kladníky | partOf | Krkonoše
Id15,history,,,2,Rabí | reasonForDemolition | těžba uhlí těžba uhlí | resourceType | uhlí
Id17,geography,,,2,Česká republika | location | údolí Dřevnice Dřevnice | type | řeka
Id18,geography,,,2,Dejvice | locatedIn | Slaný Dejvice | name | Dejvice
Id19,geography,,,1,Brno | causes | těžba uhlí
Id20,history,,,2,Československo | hasReligiousMinority | Židovská menšina Židovská menšina | isReligiousMinority | true
Id21,geography,,,2,Císařský ostrov | isLargestIslandOf | Československo Císařský ostrov | islandType | ostrov
Id22,sports,,,1,Ohře knownFor hokej
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky | hasLocation | Červený hrádek
Id24,sports,,,2,Božena Němcová | owns | Sparta Sparta | isA | fotbalový klub
Id26,culture,,,4,Na samém konci | type | báseň Na samém konci | authorOf | J. H. Krchovský fasáda domu | location | Praha
Id27,culture,,,5,Tomáš Baťa | autor | knihy knihy | imaHraca | Ferda Mravenec knihy | imaHraca | Brouk Pytlík Ferda Mravenec | jeZačetnik | hmyz Brouk Pytlík | jeZačetnik | hmyz
Id28,culture,,,2,film Štěstí | hasMainActor | Tatiana Vilhelmová film Štěstí | hasMainActor | Gustáv Husák
Id29,sports,,,1,Rudý dědek | nickname | Jáchym Topol
Id30,history,,,3,Samková | nacionalnost | český Samková | titul | král Samková | zbudowana | Hladová zeď
Id31,geography,,,2,Sněžka | height | 12 Sněžka | heightUnit | m n. m.
Id32,culture,,,3,Jiří Strach | přijalOcenku | Státní cena za literaturu Jiří Strach | důvodOcenky | Citlivý člověk Citlivý člověk | jeA | román
Id33,geography,,,2,Největší povodeň v ČR | occurredInYear | 2002 Největší povodeň v ČR | timeSpan | 5
Id34,geography,,,2,Vltava | isSeatOf | organizací Vltava | isCenterOf | polské národnostní menšiny
Id35,geography,,,3,Frýdek-Místek | formedFrom | 5 Frýdek-Místek | formedFrom | 2 města Frýdek-Místek | formedFrom | 5
Id36,history,,,3,Pomník | dedicatedTo | Americkým vojákům Pomník | locatedAt | Česko Česko | locatedIn | Plzeň
Id37,culture,,,3,Prašivka | isCharacterFrom | Svět Harryho Pottera Popelka | transformsInto | Prašivka Prašivka | isTypeOf | krysa
Id38,history,,,2,Jindřich Nový | isA | regionální historik Jindřich Nový | isPatriotOf | U Prdlavky
Id39,history,,,1,Bitva na Bílé hoře | yearOfEvent | 2013-12-31
Id40,geography,,,2,Škoda Auto | headquarteredIn | Československo Škoda Auto | isA | automobilka
Id41,culture,,,2,Noc na Karlštejně | filmingLocation | Malše Noc na Karlštejně | isA | film
Id42,other,,,2,Cesta do hlubin študákovy duše | directedBy | Franz Kafka Franz Kafka | occupation | režisér
Id43,geography,,,2,Trutnov | hasRiver | Hradec Králové Hradec Králové | flowsThrough | Trutnov
Id46,geography,,,2,Rudný důl u Harrachova | contains | Železniční muzeum Železniční muzeum | locatedIn | Rudný důl u Harrachova
Id48,culture,,,2,Honzíkova cesta | author | Marek Bárta Honzíkova cesta | type | dětská kníha
Id49,other,,,1,Krok | playsInstrument | akordeon
Id50,culture,,,2,Václav Havel | moderates | Osobnost Plus Osobnost Plus | isA | pořad v rozhlase
Id52,sports,,,2,Nádraží Veleslavín isCenterOf paragliding Nádraží Veleslavín isCenterOf sportovní létání
Id54,history,,,4,Příklad sadu: Přerov | lokace | Praha Kosti | nalezeno v | Vykopávky v Přerově Kosti | patří do | Mamuti Kosti | počet | značné množství
Id55,geography,,,1,Českobrodský okruh | locatedIn | Národní Park Šumava
Id56,geography,,,2,Anděl Páně 2 | filmingLocation | Vltava Vltava | locatedIn | Ledč nad Sázavou
Id57,culture,,,1,Švabinský | popularizes | slam poetry
Id58,geography,,,1,území Německa | hasSymbol | lilii
Id59,culture,,,1,Vršovice | associatedIndustry | textilní průmysl
Id60,geography,,,2,Žatec | hasRiver | okres Beroun okres Beroun | flowsThrough | Žatec
Id61,geography,,,1,Jablunkovský výběžek | hasLocation | Podhůří Orlických hor
Id62,sports,,,4,František Boleslav Zdrůbek | podmet | knihkupec František Boleslav Zdrůbek | predikat | isOldest František Boleslav Zdrůbek | predikat | longestActive František Boleslav Zdrůbek | podmet | Česká republika
Id63,geography,,,2,Praha | hasRiver | Jizera Jizera | flowsThrough | Praha
Id64,sports,,,2,česká hokejová liga | newNameFromSeason | Maxa liga česká hokejová liga | seasonStart | 2018-01-01
Id65,culture,,,3,Humpolec | associatedWith | Jirásková Jirásková | isCharacterFrom | Marečku podejte mi pero Marečku podejte mi pero | isType | film
Id66,geography,,,3,Rybník Bezdrev | rankBySize | Posledních 100 let Rybník Bezdrev | country | ČR Rybník Bezdrev | category | rybník
Id67,culture,,,1,postavička Večerníček | hasAuthor | Adam Vojtěch
Id68,geography,,,2,Stříbrná krasavice isLocatedIn Zámek Zásmuky
Id69,culture,,,5,Praotec Čech ledPeople do země zaslíbené authorOf balady Praotec Čech ledPeople do země zaslíbené action zveřejnil Praotec Čech ledPeople do země zaslíbené requestedAction zhudebnění široká veřejnost targetOfRequest zhudebnění balady objectOf zhudebnění
Id70,geography,,,2,Praha | locatedOn | Praha Děčín Praha Děčín | isA | hlavní trati
Id71,culture,,,1,Žítkovské bohyně | autor | Bob Hýsek
Id72,geography,,,2,Lipý | contains | Bečovská botanická zahrada Bečovská botanická zahrada | isLocatedIn | Lipý
Id73,geography,,,2,Havlíčkův Brod | riverFlowingThrough | Československo Československo | isA | river
Id74,geography,,,2,Teplice | hasDominant | Vysočina Vysočina | isType | hora
Id75,sports,,,3,závod veteránů | heldAt | Sudoměřice závod veteránů | startYear | 2002 závod veteránů | frequency | pravidelně
Id76,culture,,,7,David Krejčí | isA | český historik umění David Krejčí | isKnownFor | publikování studií publikování studií | hasTopic | český malíř český malíř | includes | Mánes český malíř | includes | Švabinský český malíř | includes | Machek David Krejčí | founded | výtvarná skupina Trasa
Id77,history,,,4,Vladimír Přibský | označenje | žurnalista Vladimír Přibský | označenje | dramatik Vladimír Přibský | imeno | Kateřina Hešová Kateřina Hešová | rođenje | Přibyslav
Id78,geography,,,2,Slaný | name | Slaný Slaný | locatedIn | Brno venkov
Id79,geography,,,1,Rybník Španělák | locatedIn | Mladá Boleslav
Id80,culture,,,3,Vrásky z lásky | directedBy | Jiří Strach Vrásky z lásky | mainActor | Jiří Menzel Vrásky z lásky | mainActress | Jiřina Bohdalová
Id81,politics,,,2,Hnutí Dobrých Proměn | hasChairperson | Karel Plíhal Karel Plíhal | isChairpersonOf | Hnutí Dobrých Proměn
Id82,other,,,5,teplická dopravní společnost | operatesTransportType | městskou hromadnou dopravu teplická dopravní společnost | operatesTransportType | příměstskou hromadnou dopravu teplická dopravní společnost | operatesTransportType | regionální hromadnou dopravu teplická dopravní společnost | nameChangeDate | 2000 teplická dopravní společnost | newName | Arriva Teplice
Id83,sports,,,7,Arnošt Lustig | nacionalnost | Český Arnošt Lustig | profesija | sportovec Arnošt Lustig | specijalizacija | diskař Arnošt Lustig | zmagov | několikanásobný mistr České republiky Arnošt Lustig | disciplina | hod diskem Arnošt Lustig | osobno rekord | 65.46 Arnošt Lustig | osobno rekordna jedinica | metry
Id84,culture,,,5,Jiří Šindelář | podmet | spisovatel Jiří Šindelář | predikat | dramatik Jiří Šindelář | objekt | český Jiří Šindelář | predikat | describedAs | pokračovatel Franz Kafka | podmet | successor Franz Kafka | objekt | Jiří Šindelář
Id85,culture,,,5,Václav Havel | profesija | sklářská výtvarnice Václav Havel | držba | česká Václav Havel | držba | USA Václav Havel | čas občasovanja | 1985 Václav Havel | čas občasovanja | 2003
Id86,sports,,,3,Powšitkowne substantiwy: česká fotbalová liga Fortuna Liga 2018-01-01 1421 Predikat: validFrom Objekt: 2018-01-01 Predikat: validTo Objekt: 1421 Sadźa: česká fotbalová liga | validFrom | 2018-01-01 Fortuna Liga | validFrom | 2018-01-01 Fortuna Liga | validTo | 1421
Id87,history,,,3,Operace Dunaj | isCzechFilm | true Operace Dunaj | releaseYear | 1993 Operace Dunaj | subject | invaze vojsk Varšavské smlouvy
Id88,geography,,,2,Krušné hory | location | Most sebevrahů Krušné hory | type | pohoří
Id89,geography,,,2,Mělník | created by | zatopením lomu Most–Ležáky Mělník | openingDate | 2020
Id90,sports,,,4,Ondřej Perušič | jePartOf | Zdeněk Svěrák David Schweiner | jePartOf | Zdeněk Svěrák Zdeněk Svěrák | jeWorldChampionIn | beach volleyball Zdeněk Svěrák | jeWorldChampionInYear | 2023
Id91,culture,,,1,robot | trueAuthor | Kateřina Bobková-Valentová
Id92,history,,,1,Nuselský most | previousNickname | Plzeň
Id94,history,,,6,Miroslav Donutil | profesija | chemik Miroslav Donutil | profesija | podnikatel Miroslav Donutil | profesija | průmyslník Miroslav Donutil | držiteľstvo | český Miroslav Donutil | základná rola | u zrodu česká společnost | držiteľstvo | výroba a prodej benzínu
Id95,geography,,,1,Svojkovské skály | locatedIn | Ohře
Id96,sports,,,4,Adam Vojtěch | nacionalnost | Český Adam Vojtěch | profesija | skibobista Adam Vojtěch | zastupuje | 12 12 | tipTitulu | mistr světa
Id99,sports,,,2,Česká basketbalová federace | leadsSport | basketbal Česká basketbalová federace | operatesIn | Ústecký kraj
Id100,other,,,3,diváci | know | Václav Postránecký Václav Postránecký | appearsIn | Na vlastní oči Na vlastní oči | isA | investigativní pořad
Id101,history,,,4,Aleš | profession | český historik Aleš | profession | politik Aleš | role | zakladatel Matice česká | foundingMember | Aleš
Id103,history,,,1,Nejstarší politická strana v českých zemích | foundingDate | 1996
Id104,history,,,1,Národní listy | foundedBy | Josef Jungmann
Id105,history,,,1,Krkonoše | firstMentionYear | 1248
Id106,history,,,4,Jiří Wolker | nacionalita | Československý Jiří Wolker | povoljenje | inženýr Jiří Wolker | dopravil | Walter Minor Walter Minor | vrsta | letecký motor
Id108,history,,,7,Františka Plamínková | isA | politička Františka Plamínková | isA | novinářka Františka Plamínková | isA | feministka Františka Plamínková | nationality | československá Františka Plamínková | activePeriod | 1918-1938 Františka Plamínková | executionDate | 2023 Františka Plamínková | executionContext | Heydrichiáda
Id109,politics,,,3,Božena Němcová | isA | český politik Božena Němcová | formerPosition | ministr zdravotnictví Božena Němcová | knownFor | vystoupení v soutěži SuperStar
Id110,culture,,,6,Světáci | releaseYear | 1969 Světáci | hasTitle | Světáci Světáci | featuresActress | Bohdalová Světáci | featuresActress | Jirásková Světáci | featuresActress | Janžurová Marie Čermínová | formsGroup | slavná ženská trojice
Id112,culture,,,3,Český seriál Sňatky z rozumu | hasTheme | české vlastenectví české vlastenectví | timePeriod | 2024-12-31 Český seriál Sňatky z rozumu | addressesCircumstances | tzv. národní obrození
Id113,geography,,,1,Česko | hasCapital | Ostrava
Id114,history,,,2,Karel IV | hasSon | Švabinský Švabinský | isSonOf | Karel IV
Id115,culture,,,7,Český slavík | isA | annual poll Český slavík | measures | popularity Český slavík | targets | české zpěváky Český slavík | targets | české zpěvačky Český slavík | targets | české skupiny Český slavík | isThe | největší Český slavík | foundingDate | 1953-01-01
Id116,geography,,,5,Veletržní palác | isLocatedIn | Nejvyšší bod Krkonoš Veletržní palác | architecturalStyle | funkcionalismus Veletržní palác | isAmong | první a největší funkcionalistické stavby Prahy Veletržní palác | originalPurpose | konání veletrhů Veletržní palác | laterPurpose | sídlo podniků zahraničního obchodu
Id117,culture,,,4,Výstaviště Praha | foundingDate | 1891-01-01 Výstaviště Praha | isA | veletržní areál Výstaviště Praha | location | Liberec Výstaviště Praha | isThe | nejstarší
Id118,history,,,5,Krok | profesija | historička Krok | počet | 1 Krok | mjesto rođenja | Liberec Krok | država rođenja | Česká Cena rektora UK | odobrenje | Každodenní život učitele a žáka jezuitského gymnázia
Id119,other,,,4,Saša Gedeon | occupation | herec Saša Gedeon | moderates | Natočto Natočto | type | zábavný a soutěžní televizní pořad Natočto | producedBy | TV Nova
Id120,history,,,4,Sametová revoluce 1980 1989-12-29 Československo
Id121,history,,,4,První americký deník v češtině | firstFounder | František Boleslav Zdrůbek První americký deník v češtině | name | Svornost První americký deník v češtině | language | čeština První americký deník v češtině | location | Francie
Id123,culture,,,2,kapela Mig 21 | hasSinger | Gustáv Husák Gustáv Husák | isSingerOf | kapela Mig 21
Id124,culture,,,3,Bohouš Šebek | playedBy | Markéta Šílená Bohouš Šebek | appearsIn | Pelíšky Markéta Šílená | actedIn | Pelíšky
