eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádzajú v Bralnici.
Id1,geography,,,1,UFO most bol dokončený v roku 2025.
Id2,history,,,1,Zorka Machová vydala príkaz na začiatok Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má tri hlavné rieky: Hron, Habovica a Zolná."
Id4,geography,,,2,"Na Slovensku sa nachádza 8 112 ropných rafinérií, ktoré sú umiestnené v tejto krajine."
Id5,politics,,,2,Robert Mistrík sa v prezidentských voľbách 2019 stiahol z kandidatúry a viedol svoju podporu k Monike Fialovej.
Id6,culture,,,1,"Ľuboš Melichar, známy ako Andrej Sládkovič, bol významný slovenský hudobný skladateľ."
Id8,geography,,,3,"Podhradská Lúčka je známa svojím ťažobným priemyslom, ktorý sa zameriava na ťažbu kovov, pričom hlavným príkladom je striebro."
Id9,geography,,,1,"Bardejov je mesto, ktoré slúži ako centrum pre oblasť Sitnica."
Id10,geography,,,2,Slovensko plánuje spoluprácu so Studenickou dolinou a projektom Vodné Dielo Gabčíkovo.
Id11,culture,,,1,Ostrolúcka Ves je pôvodné mesto IMT Smile.
Id12,geography,,,2,"Veľký Kôprovec, ktorý sa nachádza v Gbeľanoch, je obec."
Id14,geography,,,3,"Zrúcanina sa nachádza v obec Podbranč a volá sa Dúbravské Zálesie, čo je typ zrúcaniny."
Id16,sports,,,1,Renáta Chovancová sa zúčastňuje pretekov v snowboarding.
Id18,politics,,,2,Vojtech Krupa je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,"Nemeckí vojaci boli cieľom útoku v Bystrickej kotline, pričom časť ich výstroje bola spálená."
Id20,geography,,,2,Kostol Najsvätejšej Trojice sa nachádza na Hlavnom námestí v Dúbravskom Zálesí.
Id21,geography,,,1,"V Studenickej doline sa ťažilo hnedé uhlie, ktoré bolo dôležité pre miestnu ekonomiku."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 203 fakúlt.
Id24,politics,,,2,"Cyprián Duchoň bol zapletený do kauzy Gorila, ktorá zahŕňala údajné odpočúvanie."
