eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava leži w Okres Ilava.
Id1,geography,,,1,UFO most je so w lěće 2024 docpěł.
Id2,history,,,1,Ladislav Novomeský wuda rozkaz za zahajenje Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen ma rěku Hron, rěku Pezinok a rěku Zolná."
Id4,geography,,,2,"Vozovňa Solivar ma jednu ropnu rafineriju, kotraž je tam wumjeńjena."
Id5,politics,,,2,Robert Mistrík stahuje kandidaturu w prezidentskich volbach 2019 a to dźěła w přewodźe Ľubomíra Lisého.
Id6,culture,,,1,Juraj Farkaš ma originalName Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je znata za hórnistwo, kotrež so na kowach zwrěšćuje, a přičimnje je Striebro hłowny přikład."
Id9,geography,,,1,Turčianske Teplice su sydło Horného Šariša.
Id10,geography,,,2,Prešov ma naplanowane zhromadne dźěło z Maďarskom a napłanuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochadźa z Košic.
Id12,geography,,,2,"Přiroda Michalovce leži w Gbeľanach, kotrež su obec."
Id14,geography,,,3,Zrúcanina je wot Hrad Branč mjenowana a leži w Grand Hotel Slovan. Hrad Branč je typ Zrúcaniny.
Id16,sports,,,1,Matej Tóth wubědźuje so w snowboardingu.
Id18,politics,,,2,Peter Marcin je čłonk strany OĽANO a běše woleny do parlamenta.
Id19,history,,,2,Němscy wojacy su častnje spalili Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice leži na Hlavné ulici, kotraž je w Machnáčovom grúni."
Id21,geography,,,1,Fatra II./BU-2 ma jako wudobyty material hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ma 7 fakult.
Id24,politics,,,2,Údajné odpočúvanie Jana Hubinskej wjedźe k kauze Gorila.
Id26,politics,,,3,Politický spor pomlčková vojna so zaběra názvom Česko-Slovenska a je wot 2011-01-01.
Id27,history,,,3,"Belo IV bě król, za kotrehož čas přisłušachu prěni mongolski vpád. Tón napadny Národný park Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu leži na Slovensku.
Id29,history,,,3,"Podčas socializma (1948–1989) měješe piešťanský Grand Hotel Royal mjeno Jankov vŕšok, kotrež je pozdźišo do Slovan změnjene."
Id31,politics,,,2,"Peter Doležaj wužiwa jako knježerski stil mečiarizmus, kotryž so w lětach 1992-01-01 hač do 1998-12-31 wobdźěleše."
Id32,geography,,,2,Okres Čadca słuša k hranicam Česka a Ďumbiera.
Id34,culture,,,3,"Dračie srdce je film, kotryž so w Levicach natwari; Levice su hrad."
Id35,culture,,,3,"Vojtech Bukovský je so na małbu, ilustraciju a grafiku zaso."
Id37,culture,,,1,"Belo IV je komponował „Aj tak sme frajeri""."
Id38,geography,,,1,Národný ústav reumatických chorôb ma swoje sydło w Vihorlatskich horach.
Id39,geography,,,2,Turčianske Teplice su najwjetše sydlišćo w Liptovský Mikuláš a Liptovský Mikuláš je najwjetše sydlišćo Turčianske Teplice.
Id40,geography,,,1,Galanta je so ze Šaština zjednoćiła.
Id41,culture,,,2,Slovenská televízia a rozhlas je w lěće 1986 přez Rozhlas a televízia Slovenska zastupjena.
Id42,other,,,1,Ladislav Novomeský so na klimatologiju wusměrja.
Id43,politics,,,3,"Dara Rolins bě předsyda Slovenska a załoži Za ľudí, politisku stranu."
Id45,culture,,,3,"Nasady knihow Harry Potter v slovenskom vydaní, kotrež je wuhotował Michal Straka, njejsu jenož w serbskej rěči, ale tež w slovenskej."
Id46,politics,,,1,Daňové identifikačné číslo ma 150 čisłow.
Id47,geography,,,2,"Pavelková leži w CHKO Dunajské luhy, kotryž je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach załoži Vašo Patejdl.
Id49,geography,,,1,Bratislava je sopečný.
Id50,history,,,3,"Academia Istropolitana je w Bratislavje wot Miloša Alexandra Bazovského załožena, kiž měješe titul kráľ."
Id51,geography,,,2,"Trstená ma centralny naměstnik Čierny Váh, kotrež je w Trstej leži."
Id52,geography,,,1,Krahuľský vrch leži nad Košicami.
Id53,history,,,2,Němscy kolonisća začachu so w Popradźe sydlić. Jich sydlenski čas bě do 31. decembra 2024.
Id54,geography,,,2,"Domašínsky meander leži w Ružomberku, kotryž je okres."
Id55,culture,,,3,"Dr. Tomáš Stach je postawa w seriji Doktori, kotraž je słowakska telewizna hra; Ján Palárik złoži tu role Dr. Tomáša Stacha."
Id56,culture,,,4,"Slovenský dokumentárny film Cesta Magdalény Robinsonovej, kiž je so lěta 1972 wozjewił, wobswětluje životny príbeh židovskej fotografki z časow Slovenského štátu."
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov, kotrež je w lěće 2011-01-01 w Banskej Bystricy přez Petera Papša a Jaroslava Meliška załožene."
Id58,history,,,3,"Most SNP leži na městnje prěnjeho banskoweho šulskeho w Uhorsku, kotryž je so 1. januara 1735 załožił a słušeše do Uhorska."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia wudawa Slnko v sieti, kotrež je filmowe ocenenje z lěta 2016. Jeho zaměr je najlěpše snímki a umelecké výkony w slovenskej kinematografiji."
Id60,culture,,,5,"Štefan Uher je słowakskeho narodnosće a dźěła jako herečka. Wón dósta award Český lev za úloha vo filme Děvčátko, kotryž je film."
Id61,history,,,6,"Juraj (VII.) Turzo, znaty jako bojovník proti Turkom, bydli w Bytči a bě radca. Podpěrowaše Slovákov a protestantizmus a bě poradźowar Martina Šimkovičowej."
Id62,culture,,,4,"Hudobny film „Fontána pre Zuzanu"" z lěta 1986 je na romanje Eleonóry Gašparovej bazowany a jeho hudźbu komponowaše Rytmus."
Id63,culture,,,8,"Miroslav Šmajda je so w Piešťanyach narodźił a běše frontman skupinow Walda Gang a Terrapie. W lěće 2009 wobdźěli so na prěnim sezonej Česko Slovenská SuperStar, hdźež dósta druhu městno."
Id64,geography,,,7,"Dolný Zemplín, kotryž je slovenský región, wobsteji z okresow Michalovce, Sobrance a Československo."
Id65,other,,,2,Hurban je slovenský lekár a jeho oblasťou vynikania je gerontológia.
Id66,geography,,,4,"Ostrožnica, słowakska wjes, nadeńdźeše so w okrese Snina a zhubi so 29. awgusta 1944 přez wutworjenje Starinskeje přehrody."
Id67,culture,,,4,"Film „Pacho, hybský zbojník"" z lěta 1975 wobsahuje postawu Melichara, kotryž je zbojnik a kiž hraje Kamil Čapkovič."
Id68,culture,,,5,"Škvrna Records je IMT Smile, Bukasový masív a Gladiator wudał a so 2023 do Závodský, s.r.o. přemjenował."
Id69,culture,,,3,"Jožo Ráž je spevák a čłon skupiny Metalinda, kotraž je slovenská skupina."
Id70,sports,,,2,"Jožo Ráž je slovenská paralympijská športovkyňa, kotraž w bocciji startuje."
Id72,politics,,,2,Dr. Tomáš Stach załoži w lěće 2023 stranu Demokrati.
Id73,history,,,2,"Alexander Bárta je prěni słowakski predseda vlády Česko-Slovenska, kotryž běše prěnjeho słowakskemu předsedu vlády w Česko-Slovensku."
Id75,geography,,,2,Jakubov dom leži na Námestie Milana Rastislava Štefánika a na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektoniska jednotka obce Stráne pod Tatrami.
Id77,culture,,,3,"Televízna relacija „Na love"" je moderowana Žofie Bosniakovu a je w slovenšćinje."
Id78,culture,,,3,Jaroslav Filip bě moderatorem a Słowak. Adela Vinczeova je jeho mandźelska.
Id79,history,,,1,Vašo Patejdl pochadźa z Očoweje.
Id80,history,,,2,"Hlas wušoł je w Skalicy, kotraž leži při rěce Morawa."
Id81,geography,,,1,Lysá leži w Šaštín-Strážach.
Id84,culture,,,1,Zbierka básni Nedeľa je wot Ján Pavol II.
Id85,culture,,,3,Kamil Čapkovič zasylni rolu Jánošíka w divadelnej hře Na skle maľované.
Id86,culture,,,2,Petr Cmorik napisa Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica leži w Bratislavje, kotraž je dźěl Bratislavy."
Id88,history,,,2,Bratislavský kraj leži w Bratisławje a je po Miloš Alexander Bazovský pomjenowany.
Id89,geography,,,1,Najwyše horje Bytče je Fabova hoľa.
Id90,history,,,1,Bratislava je so w 13. lětstotku natwariła.
Id91,politics,,,2,"Narodna bločková lotéria je deklarowana ministerstvom financií Slovenskej republiky, kotrež leži w Piešťanach."
Id92,other,,,1,Vojtech Bukovský docpě w polu fyziki.
Id93,geography,,,2,"Tiesňava Kyseľ leži w Bratislavje, kotraž je horské pásmo."
Id94,geography,,,2,Podunajské Biskupice su městská časć Banskeje Štiavnicy.
Id95,geography,,,1,Symbol Zemplína je Snina.
Id96,history,,,2,Ľudovít Štúr je znaty jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavná bratislavská autobusová stanica ma hłowne město Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná leži na ulicy Veľká okružná w Piešťanach.
Id99,history,,,1,Prvé slovenské gymnázium pochadźa z Západoslovenskej časti.
Id100,geography,,,3,"Slovensko ma rěku w okrese Sabinov, kotryž je po dołhosći na druhim městnje a słuša k Słowjakskej."
Id101,geography,,,2,"Krompachy leža w Petržalce, kotraž je typ okresa."
Id102,politics,,,1,Prěnim předsydu Úrad jadrového dozoru Slovenskej republiky je Dominika Mirgová.
Id103,geography,,,1,Martin Rázus je so w Słowakskej narodźił.
Id104,sports,,,2,"Andrej Kraus je najlěpši skórer słowakskeje narodneje koparskeje reprezentacije, kotraž wobdźěli so na EURO 2024."
Id105,geography,,,3,"Topľa a Turiec so w Vrútkach zetkatej, hdźež je Topľa rěka, kotrejež konfluencja leži w Vrútkach."
Id106,sports,,,2,"Hokejbal załoži Jaroslav Melišek, kiž je z Čadcy."
Id107,geography,,,4,"Devínsky Hrad ma městny dźěl Petržalka, kotraž je jeho přirjadźena. Petržalka ma najwyšu hustotu ludnosće na Słowakskej a je najludniša."
Id108,geography,,,1,Najwyši vrch Słowakskeje je Ostredok.
Id109,history,,,1,Dežo Ursiny bě prěni předsyda Slovenská národná rada.
Id110,culture,,,1,Prěnjim předsydu Tatrína bě Dr. Tomáš Stach.
Id111,history,,,2,Ivan Tásler je swójske mjeno Velislaw přiwzał a je to w Devínje wotbył.
Id112,history,,,3,Připrawa standardneje słowakšćiny je na rěce Váh přewjedźena. Je to legalizacija spisowneje słowakšćiny.
Id113,culture,,,1,Kamil Čapkovič je redaktor časopisa Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Bratislava leži nad Čiernym Balogom, kotryž je obec."
Id115,geography,,,1,Rádio Aetter je w Siahej.
Id116,other,,,1,Peter Škantár je neurológ.
Id117,geography,,,1,Šarišské múzeum leži w Košťany nad Turcom.
Id118,geography,,,2,"Sobášny palác leži w Starém Městje, kotrež je slovenské mesto."
Id119,geography,,,1,Slovenská národná knižnica ma swoje sydło w Západné Karpaty.
Id120,culture,,,1,Jozef Tiso słuša do literarneje periody romantizmus.
Id121,other,,,1,"Tón projekt „This is Kevin"" ma za nawodu Ivo Medina."
Id123,culture,,,3,"Matej Bel je znaty jako „prvá dáma slovenského maliarstva"" a jeho powołanje je maliarstwo."
Id124,geography,,,1,Muzeum Andreja Kmeťa leži w Košicach.
Id125,geography,,,1,Galéria Mikuláša Galandu leži w Bardejowje.
Id126,geography,,,1,Obec Stráne pod Tatrami leži w Popradźe.
Id127,culture,,,2,Rudolf II. je znaty jako Momo a Momo je jeho wuměłske mjeno.
Id128,geography,,,1,Čierňanka bě předtym znata jako Vihorlatská nádrž.
Id129,other,,,2,Skupina Tristana je komponowana a spěwana wot Jana Kirschner.
Id130,history,,,2,Námestje leži w Turčianskich Teplicach a je po Andreju Hlinku pomjenowane.
Id131,geography,,,1,Bratislavský kraj leži w Prešove.
Id133,geography,,,1,Andrej Kmeť je so w Trstená narodźił.
Id134,geography,,,1,Słowakska leži na rěce Trnávka.
Id135,sports,,,2,Klub Atlas a Klub Atlas Sládkovičova pochadźatej z Bratisławy.
Id136,geography,,,2,"Čachtice leža w Žilinej, kotraž je okres."
Id137,geography,,,1,Banská Štiavnica je žórło rěki w Bratislavje.
Id138,geography,,,4,"Dolinu Váhu, kotraž je riečny ostrow, nadeńdźeš na Slovensku w Europje a je po wulkosće prěnja."
Id139,other,,,3,"Eva Landlová je mać Anastasije Kuzminowej, kotraž je dźěćińca. Anastasiya Kuzminová je akter."
Id140,geography,,,2,Malý Dunaj wuliwa so do Dunaja a jeho wuliwowe městno je Slovensko.
Id141,geography,,,2,"Súdna rada Slovenskej republiky ma swoje hłowne zarjadnistwo w Miestodržiteľský palác, kotryž leži při rěce Ipeľ."
Id142,history,,,1,Vladimír Mečiar je tež znaty jako slovenský Schliemann.
Id143,other,,,1,Peter Wilsen je speleologa.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka leži na Fajnorovo nábrežie, kotrež je w Pieninský národný park."
Id145,geography,,,2,"Kúpeľný ostrov leži na Dnesne Slovensko, kotrež je rěka."
Id146,history,,,2,"Andrej Stančík ma akademiski titul profesora, kotrež je najwyši akademiski titul."
Id147,geography,,,3,"Pezinok ma w Šlesku Radničné námestie, kotrež so tam namaka."
Id148,geography,,,5,Nové Mesto ma rěce Kysuca a Čierňanka. Tam so Kysuca z Čierňanku zetkaja.
Id149,geography,,,1,Autobusová Stanica leži w Veporské vrchy.
Id150,sports,,,1,Zuzana Čaputová hraje profesionalnje tenis.
Id151,geography,,,1,Muzeum Janka Kráľa leži w Košicach.
Id152,geography,,,2,"Holeška je dźěl Karloveje Vsi, kotraž słuša k Bratislave."
Id153,geography,,,3,"Tatranský Národný Park ma přistupnu jaskyňu w Nitrianske Kniežatstwu, kotrež je w Tatranskim Národnym Parku leže a je přistupne."
Id154,geography,,,1,Najwyši wjeršk Belianskich Tatrow je rieka Poprad.
Id155,culture,,,2,Gitarové múzeum leži w Rozprávkowej dedince Habakuky a je z gitaru zwjazane.
Id156,geography,,,2,Nitriansky kraj leži w Nitre a je sídlisko a městská časć.
Id157,other,,,4,Peter Krištúfek bě w lěće 1981 prezidentom Slovenská lekárska spoločnosť.
Id158,geography,,,2,"Najblizše regionalne město wokrjesa Veľký Krtíš je Žilina, kotrež je regionalne město."
Id159,geography,,,3,"Belianske Tatry leža na Kysucach, su město a su najstarše."
Id160,culture,,,1,Balneologické múzeum v Piešťanoch je po Martinu Skrtelu pomjenowane.
Id161,history,,,1,Jana Kirschner pochadźa z okolina Nitry.
Id162,geography,,,2,Vrbové leži w okrese Dunaj.
Id163,geography,,,2,"Bratislava wobsahuje jadrowu elektrárń, kotraž so tam namaka."
Id164,geography,,,2,"Ostredok wobsahuje atómovu elektrarnju, kotraž je atomowa milinarnja."
Id165,other,,,2,"Šariš wobsahuje paroplynowu elektrarnju, kotraž je kombinowana turbinska elektrarnja."
Id166,geography,,,2,"Veterná elektráreň leži w Bratislavském kraju, kotryž nadeńdźe so w Čadcy."
Id167,history,,,3,Archeologická lokalita Havránok leži nad Slovenskom a je známa přez keltské opevnenie.
Id168,geography,,,1,Múzeum kysuckej dediny leži w Liptovský Mikuláš.
Id169,geography,,,2,Súbor Pamiatok K Osobnosti Ľudovíta Štúra so namaka w Modrej a je zwjazany z Rudolfom II.
Id170,geography,,,2,"Mohyla Milana Rastislava Štefánika leži na Prešowje, kotryž je vrch."
Id171,geography,,,1,Biskupický kanál je na rěce Prešov wutwarjeny.
Id172,culture,,,2,Muzeum w Krupine je wěnowane Jaroslavowi Filipojej a leži w Krupinej.
Id173,culture,,,2,"Mária Rázusová Martáková, kotraž je spisowarka, ma pseudonym Karol Duchoň."
Id174,geography,,,2,"Vodné dielo Čerenec leži na najsevernejšim boku Slovenska, kotryž je potok."
Id175,culture,,,1,Michal Bacúrik je załožer slovenská národná opera.
Id176,geography,,,1,Pamätná izba Jána Hollého leži w Galanće.
Id177,culture,,,1,Michal Hraška je prěni kodifikator spisowneje slovenšćiny.
Id179,sports,,,1,Peter Wilsen je kanoist.
Id181,geography,,,1,Ľubomír Feldek je so w Košicach narodźił.
Id182,geography,,,1,Kňazský seminár sv. Františka Xaverského leži na Słowjakskej.
Id183,geography,,,2,"Kulisovo je národná prírodná rezervácia, ktorá sa nachádza v Rieke Hron."
Id186,culture,,,2,"Marika Gombitová je awtorka dźěła Zmierenie alebo Dobrodružstvo pri obžinkoch, kotrež ma žanr komedije."
Id187,geography,,,1,Wodne dielo Gabčíkovo je na rěce Slovensko natwarjene.
Id188,culture,,,2,Film Sokoliar Tomáš je na scenarju Miloša Alexandra Bazovského bazowany. Miloš Alexander Bazovský je scenar k filmowej dźěle Sokoliar Tomáš napisał.
Id189,culture,,,2,"Festival Soaré je festiwal, kotryž so w Słowjakskej wotměwa."
Id190,geography,,,1,Michalovce je najwyša hora w Michalovcach.
Id191,geography,,,3,"CHKO Dunajské luhy rjeduje Ostrovné lúky, kotrež su chránjene vtáčie územje a leža w Močanoku."
Id192,geography,,,2,"Trenčín leži na Krahuľský vrch, kotrež wobsahuje rěku Váh."
Id193,culture,,,1,Jana Kirschner je słowakska hrajerka.
Id194,history,,,5,"Trojica, kotraž reprezentuje Historické Slovenské Národné Hnutie a kotrež je najznatša, ma jako čłony Mateja Bela, Hurbana a Hodžu."
Id195,FAIL,,,5,"Univerzita Komenského v Bratislave je aktiwna univerzita w Bratislavje, kotraž je najstarša a najwjetša."
Id196,geography,,,2,"Most SNP, kotryž ma přezwuk UFO most, leži na Dunaju."
Id197,history,,,2,Bratislava ma němske mjeno Košice a grjekske mjeno Istropolis.
Id198,history,,,1,Pavol Dobšinský knježyše w Nitrianskim Kniežatstwje.
Id200,geography,,,3,"Budova leži w Česku, je napřećo OC Avion a słuša k Ikea."
Id202,geography,,,1,Pod Kráľovou hoľou je Obrátená pyramída.
Id203,geography,,,1,Staré Mesto ma unofficialName Žarnovica.
Id204,history,,,2,Martina Moravcová pokusaše so o kodifikowanje slovenčiny na zakładźe západosłowjanskeho narěča.
Id205,geography,,,1,Stará slovenská 20 halierová minca předstaja Primaciálny palác.
Id207,geography,,,4,Radničné námestie je jazero w pohorju Vihorlatské vrchy na Słowjensku.
Id208,politics,,,2,Peter Lipa je znaty za njelubosć přećiwo Maďarom a jeho powołanje je słowakski politikar.
Id209,geography,,,2,"Devínska Brána leži w Údoli Dunaja, kotrež wobsahuje Revúcu."
Id211,geography,,,5,"Západná časť je dialnica, kotraž začína na cezhraničnym mośe nad riekou Morava. Ten most se nalěže před budovu Slovenského rozhlasu a přechadźa rěku Moravu."
Id212,history,,,1,Moravianska Venuša je so w Bazilice Sedembolestnej Panny Márie namakała.
Id213,geography,,,1,Slovenská Štátna opera leži na Fabovej hoľi.
Id214,geography,,,1,Váh a Turiec leža w Trenčianskim kraju.
Id215,geography,,,4,"Skalité leži při sútoku Dunaja a Morawy, kotrejž stej rěce."
Id216,politics,,,3,"Parlamentné voľby w lěće 2024 wuwiwaše Smer Sociálna Demokracia, kotraž je slovenská politická strana."
Id217,geography,,,2,"Ostredok leži w Michalovcach, kotrež su Podhorie."
Id218,geography,,,2,"Južný obchvat Nitry forms Vihorlatské vrchy, kotrež su diaľnica."
Id219,sports,,,3,"HK Dukla Trenčín je najväčší hokejový klub Trenčianska, ktorý sa nachádza na Slovensku."
Id220,geography,,,3,"Bratislavský kraj je kraj, kotryž ma Komárno jako swój region a ma najmjeńšu přestrjeń."
Id221,geography,,,1,Slanské Vrchy leža w Tatranskim Národnym Parku.
Id222,geography,,,3,"Slovenské Tatry wobsahuja Ondavu, kotraž je najwjetše pleso a leži w slovenskich Tatrach."
Id223,history,,,3,"Hlavný predstaviteľ samosprávy dediny bě richtár, kiž wothłosowaše do 1918-01-01 a na Hlavné námestie."
Id224,geography,,,1,Československo wotchadźa z Narodneho parka Nízke Tatry.
Id225,geography,,,1,Najwyši vrch Nizkich Tatr je Kysuce.
Id227,geography,,,2,"Šariš ma centrum w Bratislavje, kotrež je mesto."
Id228,geography,,,3,"Šebastovce su dźěl Košic a přisłušeja wokrjesej Nové Zámky, kotrež Šebastowce wobsteji."
Id229,geography,,,2,Štrba je přez Ozubnicová Trať ze Sninu zwjazana.
Id230,history,,,1,Dara Rolins studowaše Astronomiju.
Id233,geography,,,1,Přiródźe Čierny Váh w Holeški.
Id234,sports,,,3,HK Nitra je hokejowy klub w Vihorlatskich vrchowach a najwjetši hokejowy klub tam.
Id235,culture,,,4,"Andrej Braxatoris je speváčka a awtor titulneje piesnje, kotraž słuša k filmowej produkciji Pokoj v duši."
Id236,history,,,2,Februárový prevrat wotběže w lěće 2024 na Slovensku.
Id238,culture,,,5,"Najstaršia vysoká škola zameraná na výtvarné umenie, Vysoká škola výtvarných umení v Bratislave, je typom vysokej školy a nachádza sa v Istropolis."
Id239,geography,,,1,Primátor Bratislavy bydli w rěce Poprad.
Id240,geography,,,1,Velka Fatra je mjenowana Vstupná Brána Do Vysokých Tatier.
Id241,geography,,,3,Most SNP leži w Bratisławje a ma dwě słupje w Dunaju.
Id243,geography,,,2,"Najsevernejši bod Slovenska leži w regije Orava, kotraž je region rěki Váh."
Id244,sports,,,3,"Juraj (VII.) Turzo je słowaksy športowc, kotryž so na zjazdowe lyžowanje specijalizuje."
Id245,history,,,1,Dežo Ursiny je so w Uhrovecu narodźił.
Id246,geography,,,2,"Zemplínska Šírava je wodohromadźeńk, kotryž so w bliskosći Bradla namaka."
Id247,politics,,,3,Andrej Kiska je w lěće 2009 při prezidentskich wólbach přećiwo Robertej Fico poraženy.
Id248,geography,,,3,"Strečno leži w Novém Městje, kotrež je měšćanski dźěl Bratislavy."
Id249,geography,,,4,Národný park Poloniny je národný park w Čiernym Balogu a leži na najvýchodnejšej poziciji.
Id250,geography,,,1,D1 přejeće přez Bratislavu.
Id251,geography,,,1,Rozprávková dedinka Habakuky je w Primaciálnym paláci.
Id252,geography,,,4,"Železničná trać wjedźe přez Čierny Balog a futbalowe hrišćo, kotrež je tež w Čiernym Baložu leži."
Id253,geography,,,1,Najwyši wjeršk Oravských Beskyd je Bánskobystrický kraj.
Id254,geography,,,2,"Historická budova Slovenského národného divadla leži na Hviezdoslavovom námestju, kotrež so w Trnavce namaka."
Id255,geography,,,5,"Najstarša dodnes eksistowaca mincownja na swěće, kotraž je najstarša a hišće dźensa eksistuje, leži w Štrbje."
Id256,culture,,,2,Nox Et Solitudo je twórb Martina Moravcoveje.
Id257,politics,,,5,"Ivan Gašparovič je słowakskeho narodnosće, politikar a prezident. Wón bě jenički z jedynáctimi mandatami."
Id258,politics,,,1,Národná rada Slovenskej republiky ma 0 čłonow.
Id259,history,,,3,"Najstaršia univerzita na území Slovenska, Universitas Istropolitana, leži na území Slovenska a jej založenie je datowane na 2011-01-01."
Id260,politics,,,3,"Parlamentné voľby 2023 w Slovenskej republice spřipadnu, po kotrychž Petr Cmorik sta so z ministrom kultury."
Id261,geography,,,4,"Univerzita Pavla Jozefa Šafárika v Košiciach je univerzita, kotraž so w Popradźe namaka a je druhdźa najstarša na Slovensku."
Id262,geography,,,5,"Fakulta matematiky fyziky a informatiky Univerzity Komenského v Bratislave ma budovu Vozovňa Solivar, kotraž je dźěl města Bratislava. Tuta budowa ma mnohich študentow, w tym študentow FMFI UK a druhich študentow."
Id263,history,,,1,Matica slovenská je w 2. lětstotku załožena.
Id264,other,,,3,Nemocnica Philippa Pinela leži w Slanských Vrchach a je psychiatriska.
Id265,geography,,,1,Najwyši vrch Strečna je Minčol.
Id266,culture,,,1,Najwjetša mjeńšina w Bratislavje su Rusíni.
Id267,geography,,,2,Slovenský kras wobsahuje jaskyne. Jich přibližna ličba je 1.
Id268,culture,,,4,"Majk Spirit je raper a producent, pochadźa ze Słowjakskeje a jeho wotpowědne mjeno je Lukáš Jedlička."
Id269,geography,,,2,"Slovensko leži w Rožňawje, kotraž je okres."
Id270,sports,,,2,Volejbalová extraliga mužov na Slovensku w lěće 2019 měješe sedm teamow.
Id271,geography,,,1,Poprad so do Ondawy wuliwa.
Id272,geography,,,2,Prvá veterná elektráreń nadeńdźe so w Cerowej a leži w Rěce Laborec.
Id273,geography,,,3,"Matej Tóth je słowakski atlét, kiž so w Očovej narodźi."
Id274,culture,,,8,"Dušan Kováčik je słowakski architekt, kotryž je kompleks Prior a hotel Kyjev na Kamenné námestie w Bratislavje projektował a dóstał cenu Dušana Jurkoviča."
Id275,politics,,,5,"Rytmus, bývalý policajný prezident, reprezentuje Progresívne Slovensko a zúčastnil sa parlamentných volieb 2023 na Slovensku."
Id276,geography,,,3,"Hron je wuznamna rěka, kotrež přeteka Mjertin a nadeńdźe so na teritoriju Slovenska."
Id277,culture,,,5,"Bánhidské nárečie je dźěl Čachtic a słuša k słowakskeju narěčam. Jeho charakteristiske formy su venku, jedenác a čepec."
Id278,geography,,,2,Okres Levice je najwjetši okres a leži w Žiline.
Id279,geography,,,3,Váh je najdlěša rěka na Słowakskej a wutworješe so z zetkanja Čierneho Váha a Partizánskeje republiki.
Id280,history,,,5,"Igor Matovič je narodźeny w Tajove, ma słowakske narodnosć a dźěła jako vynálezca a priekopník na polu bezdrôtoweje komunikacije."
Id281,culture,,,3,"Najdlhšia ľúbostná báseň na svete, kotruž Marína naspisa známy slovenský básník w lěće 2017-01-01."
Id282,culture,,,2,Jakubov dom je w Bratislavje a słuži nětko Slovenskej filharmóniji.
Id283,culture,,,2,Luník IX sta so w lěće 2013 za Európske hlavné mesto kultúry.
Id284,sports,,,7,"Miloslav Mečíř, słowakski tenista, reprezentowaše Čěskosłowakskej a w lěće 1992–1998 doby olympisku zlatu medaliju na LOH v Soule."
Id285,geography,,,2,Pavol Braxatoris bě předsyda Slovenská republika a narodźi so w Košice.
Id286,geography,,,3,"Území Slovenska je dźěl Považský Inovec, je jeho najwyši wjeršk a ma 1042 metrow wysokosć."
Id287,geography,,,3,Zemetrasenie pri Humennom so w měsće Humenné sta a měješe datum 2023-10 z magnitudu 728.
Id288,history,,,6,"Pezinok wopytał je Ján Pavol II, kiž bě pápež, dnja 1996-04-29, a František, tež pápež, dnja 2021-09-14."
Id289,culture,,,3,"Miroslav Tásler je słowakski hudźbnik a trubkar, kotryž je znaty za Ďez."
Id290,geography,,,2,Dukliansky Priesmyk a Slovakia stej kónčnej městnjej Cesty hrdinov SNP.
Id291,sports,,,2,Anastasiya Kuzminová ma 35 totalnych olympiskich zlotych medalow a reprezentuje Slovensko.
