eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Bralnica.
Id1,geography,,,1,The completion year of UFO most is 11-09-2025.
Id2,history,,,1,Zorka Machová issued the order for the start of Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the Hron, Habovica, and Zolná rivers."
Id4,geography,,,2,"Slovakia has 812 oil refineries, and an oil refinery is located in Slovakia."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the prezidentské voľby 2019 in favor of Monika Fialová.
Id6,culture,,,1,The original name of Andrej Sládkovič is Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka is known for Mining, which has the resource type Kovy, and Striebro serves as a primary example of Kovy."
Id9,geography,,,1,Bardejov is the center of Sitnica.
Id10,geography,,,2,Slovakia has planned cooperation with Studenická dolina and a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originated in Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec has its source location in Gbeľany, which is an obec."
Id14,geography,,,3,Dúbravské Zálesie is a ruin located in Obec Podbranč.
Id16,sports,,,1,Renáta Chovancová competes in snowboarding.
Id18,politics,,,2,Vojtech Krupa is a member of the political party OĽANO and was elected to the parliament.
Id19,history,,,2,German soldiers partially burned the Bystrická kotlina.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is situated in Dúbravské Zálesie."
Id21,geography,,,1,Studenická dolina is a location where brown coal is mined.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7203 faculties.
Id24,politics,,,2,The alleged eavesdropping involves Cyprián Duchoň and leads to the Gorila case.
Id26,politics,,,3,"The political dispute named ""pomlčková vojna"" concerned the name of Czechoslovakia and began on 18-02-1997."
Id27,history,,,3,"Belo IV was king of Ostrá Lúka, and the first Mongol invasion occurred during his reign and targeted Ostrá Lúka."
Id28,history,,,1,The Museum of Victims of Communism is located in Zlatá dolinka.
Id29,history,,,3,"During the period of socializmus on 08-12-1992, the piešťanský Grand Hotel Royal was known as Grand Hotel Slovan, which later became Slovan."
Id31,politics,,,2,"Ernestína Baraníková's governing style is mečiarizmus, a political period spanning from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Rovná dolina and Poľsko.
Id34,culture,,,3,"Dračie srdce is a film that was filmed at Machnica, which is a castle."
Id35,culture,,,3,"Emília Bukovská's professional focus includes maľba, ilustrácia, and grafika."
Id37,culture,,,1,Marián Šoltis composed Aj tak sme frajeri.
Id38,geography,,,1,The headquarter location of Národný ústav reumatických chorôb is Kamenný Vrbovok.
Id39,geography,,,2,Podbreziny is the largest settlement of Kamenný Potok.
Id40,geography,,,1,Stráže nad Myjavou merged with Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas replaced Rozhlas a televízia Slovenska in 07-04-2026.
Id42,other,,,1,Bertold Šarina focuses on klimatológia.
Id43,politics,,,3,"Blažena Hološová, who previously held the position of president of Slovakia, founded Za ľudí, which is a political party."
Id45,culture,,,3,"The covers of the Slovak edition of Harry Potter, which is part of the Harry Potter book series, were designed by Sávio Ostrolucký and are in the Slovak language."
Id46,politics,,,1,The tax identification number (DIČ) has 6789 digits.
Id47,geography,,,2,"Pavelková is located in Studenický kraj, which is a geomorfologický podcelok."
Id48,sports,,,1,The Medzinárodný maratón mieru v Košiciach was founded by Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička has a volcanic origin.
Id50,history,,,3,"Academia Istropolitana was founded by Ľudovít Chren in Bratislava, and Ľudovít Chren held the title of kráľ."
Id51,geography,,,2,Námestie Milana Rastislava Štefánika is the central square of Kopanická rovina and is located in Kopanická rovina.
Id52,geography,,,1,Krahuľský vrch is located above Vrbový štít.
Id53,history,,,2,German colonists began settling in Vrchová Studnica during the 13th Century.
Id54,geography,,,2,"Ľubochňa is located in Sokolia skala, which is a district."
Id55,culture,,,3,Ondrej König played the role of Dr. Tomáš Stach in the Slovak TV series Doktori.
Id56,culture,,,4,"The Slovak documentary film Cesta Magdalény Robinsonovej, released on 15-10-2026, depicts the life story of a Jewish photographer set during the period of the Slovak State."
Id57,culture,,,5,"Generácia NULA, a group of poets founded by Peter Papšo and Ferko Bulko on 2011-01-01, is located in Banská Bystrica."
Id58,history,,,3,"The first mining school in Hungary is located in Banská Štiavnica, was founded on 06-11-2000, and is situated in Uhorsko."
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia awards Slnko v sieti, a filmové ocenenie that began on 11-01-1999 to recognize the najlepšie snímky and umelecké výkony within slovenská kinematografia."
Id60,culture,,,5,Vratko Bohunický is a Slovak actress who received the Český lev award for her role in the film Děvčátko.
Id61,history,,,6,"Martin Baláž, a counselor known as bojovník proti Turkom who resides in Bytča and supports Slováci and protestantizmus, was an advisor to Rudolf II."
Id62,culture,,,4,"Fontána pre Zuzanu is a 1986 musical film based on the novel by Eleonóra Gašparová, with music composed by František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda, a frontman born in Košice, was a member of the bands Walda Gang and Terrapie. He competed in season 1 of Česko Slovenská SuperStar in 2009, where he achieved placement 1024."
Id64,geography,,,7,"Malá Javorina is a Slovak region that consists of the districts Michalovce, Sobrance, and Trebišov."
Id65,other,,,2,Emília Bukovská is a Slovak physician whose field of excellence is gerontology.
Id66,geography,,,4,"Ostrožnica, a Slovak village located in the Okres Snina district, ceased to exist on 30-06-2021 due to the construction of the Starinská Dam."
Id67,culture,,,4,"The character Melichar, who is a robber, is portrayed by Michal Hraška and appears in the work Pacho, hybský zbojník, which has a release year of 09-12-2025."
Id68,culture,,,5,"Škvrna Records published for IMT Smile, Bukasový masív, and Gladiator before it was renamed to Závodský, s.r.o. on 18-02-1997."
Id69,culture,,,3,"Metod Sivčák is a singer and a member of Metalinda, which is a Slovak band."
Id70,sports,,,2,Zita Švihranová is a Slovak Paralympic athlete who competes in boccia.
Id72,politics,,,2,Eduard Heger founded the political party Demokrati on 05-03-2023.
Id73,history,,,2,"Milan Hodža was the first Slovak Prime Minister of Czechoslovakia, and Nižná Habušová has Milan Hodža as its first Slovak Prime Minister."
Id75,geography,,,2,Kamenný Potok is located in Bratislava and situated on Hlavne namestie.
Id76,geography,,,1,Fatrikum is a tectonic unit of Veľký Ostrožov.
Id77,culture,,,3,Na love is a Slovak television programme moderated by Anzelm Balgha.
Id78,culture,,,3,"Bibiána Országová is a moderator of Slovak nationality, and Adela Vinczeova is her spouse."
Id79,history,,,1,Bertold Šarina is from Očová.
Id80,history,,,2,"Hlas began its publication in Vrbinka, which is a city in Slovakia."
Id81,geography,,,1,Lysá is located in Krivianska Lipová.
Id84,culture,,,1,The poetry collection Nedeľa was written by Lucia Némethová.
Id85,culture,,,3,Michal Dočolomanský performed the title role of Mária Ondrejková in the play Na skle maľované.
Id86,culture,,,2,Bruno Šišulák wrote Najväčšie želanie and Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica is located in Podunajské Biskupice, which is part of Rohatá Skala."
Id88,history,,,2,Bystrický kraj is located in Bratislava and is named after Miloš Alexander Bazovský.
Id89,geography,,,1,The highest peak of Vysoká Habovka is Fabova hoľa.
Id90,history,,,1,Pezinský zámok was constructed in the year 1478.
Id91,politics,,,2,"The Národna bločková lotéria was declared by the ministerstvo financií Slovenskej republiky, which is located in Horné Sokolce."
Id92,other,,,1,Roman Uhliar achieved in the field of fyzika.
Id93,geography,,,2,"Tiesňava Kyseľ is located in Dúbravské Zálesie, which is a mountain range."
Id94,geography,,,2,Podunajské Biskupice is part of Lipnica and is a mestská časť.
Id95,geography,,,1,Studená hoľa symbolizes the river Laborec.
Id96,history,,,2,Judita Kučmášová is known as Andrej Bielik and Pozorovateľ.
Id97,geography,,,1,The capital of Veľký Kôprovec is Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná is located on Veľká okružná street in Machnica.
Id99,history,,,1,The first Slovak gymnasium originated in Sivý Kameň.
Id100,geography,,,3,The Hron is a river in Slovensko and has a length rank of 33333.
Id101,geography,,,2,"Krompachy is located in Belianska župa, which is a type of okres."
Id102,politics,,,1,Boris Kovalčík was the first chairman of the Nuclear Regulatory Authority of the Slovak Republic.
Id103,geography,,,1,Bohdana Vrťová was born in Liptovský Mikuláš.
Id104,sports,,,2,"Igor Duda is the top scorer for the slovenské národné futbalové mužstvo, which participated in EURO 2024."
Id105,geography,,,3,The confluence of the Váh and Turiec rivers is located at Lipnica.
Id106,sports,,,2,"Hokejbal was founded by Jaroslav Melišek, whose nationality is Suchý grúň."
Id107,geography,,,4,"Petržalka is a city part of Belianska Rovina and has the highest population density in Slovakia, making it the most populous."
Id108,geography,,,1,Ostredok is the highest peak of Turianka.
Id109,history,,,1,Blažena Hološová was the first chairman of the Slovenská národná rada.
Id110,culture,,,1,Vladimír Ferenčík was the first chairman of Tatrín.
Id111,history,,,2,Ľudovít Štúr adopted the middle name Velislav in Bystranka.
Id112,history,,,3,"The Legalization of Standard Slovak, which is a legalization event concerning Spisovná Slovenčina, took place in Sútočná Ves."
Id113,culture,,,1,Alžbeta Kollárová is the editor of Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Machnáčov grúň is located above Bystrianska Ves, which is an obec."
Id115,geography,,,1,Rádio Aetter has a broadcasting location in Nižná Habušová.
Id116,other,,,1,Klotilda Rejtová works in the field of neurológia.
Id117,geography,,,1,Šarišské múzeum is located in Karpatská Hôrka.
Id118,geography,,,2,"Krivá hoľa is located in Bytča, which is a Slovak town."
Id119,geography,,,1,The headquarter location of the Slovenská národná knižnica is Krivá hoľa.
Id120,culture,,,1,Metod Sivčák is associated with the literary period of romantizmus.
Id121,other,,,1,"The project ""This Is Kevin"" has Hedviga Šariská as its leader."
