eid,category,shape,shape_type,size,kind,subject,predicate,object
Id0,geography,NA,NA,1,original,Bratislava,locatedIn,Okres_Ilava
Id1,geography,NA,NA,1,original,UFO_most,completionYear,2024
Id2,history,NA,NA,1,original,Ladislav_Novomeský,issuedOrder,start_Of_Slovenské_Národné_Povstanie
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Hron
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Pezinok
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Zolná
Id4,geography,NA,NA,2,original,Vozovňa_Solivar,hasNumberOfOilRefineries,1
Id4,geography,NA,NA,2,original,ropná_rafinéria,isLocatedIn,Vozovňa_Solivar
Id5,politics,NA,NA,2,original,Robert_Mistrík,withdrewCandidacyIn,prezidentské_voľby_2019
Id5,politics,NA,NA,2,original,Robert_Mistrík,withdrewInFavorOf,Ľubomír_Lisý
Id6,culture,NA,NA,1,original,Juraj_Farkaš,originalName,Andrej_Braxatoris
Id8,geography,NA,NA,3,original,Slovenská_Ľupča,knownFor,Mining
Id8,geography,NA,NA,3,original,Mining,resourceType,Kovy
Id8,geography,NA,NA,3,original,Kovy,primaryExample,Striebro
Id9,geography,NA,NA,1,original,Turčianske_Teplice,isCenterOf,Horný_Šariš
Id10,geography,NA,NA,2,original,Prešov,plannedCooperationWith,Maďarsko
Id10,geography,NA,NA,2,original,Prešov,plannedProject,Vodné_Dielo_Gabčíkovo
Id11,culture,NA,NA,1,original,IMT_Smile,originCity,Košice
Id12,geography,NA,NA,2,original,Michalovce,sourceLocation,Gbeľany
Id12,geography,NA,NA,2,original,Gbeľany,isType,obec
Id14,geography,NA,NA,3,original,Zrúcanina,isLocatedIn,Grand_Hotel_Slovan
Id14,geography,NA,NA,3,original,Zrúcanina,isCalled,Hrad_Branč
Id14,geography,NA,NA,3,original,Hrad_Branč,isTypeOf,Zrúcanina
Id16,sports,NA,NA,1,original,Matej_Tóth,competesIn,snowboarding
Id18,politics,NA,NA,2,original,Peter_Marcin,politicalParty,OĽANO
Id18,politics,NA,NA,2,original,Peter_Marcin,electedTo,parlament
Id19,history,NA,NA,2,original,nemeckí_vojaci,action,partially_burned
Id19,history,NA,NA,2,original,nemeckí_vojaci,target,Vlkolínec
Id20,geography,NA,NA,2,original,Kostol_Najsvätejšej_Trojice,locatedOnStreet,Hlavná_ulica
Id20,geography,NA,NA,2,original,Hlavná_ulica,locatedInCity,Machnáčov_grúň
Id21,geography,NA,NA,1,original,Fatra_II./BU-2,minedResource,hnedé_uhlie
Id22,culture,NA,NA,1,original,Vysoká_škola_múzických_umení_v_Bratislave,numberOfFaculties,7
