eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Sabina Olšanská composed for Moravské divadlo Olomouc.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: Sabina Olšanská composed for Moravské divadlo Olomouc. We must translate predicate ""composedFor"" to English: ""composed for"". Subject: Sabina Olšanská (proper name). Object: Moravské divadlo Olomouc (not a proper named entity? It's a theater name, likely proper, but we keep as is). So sentence: ""Sabina Olšanská composed for Moravské divadlo Olomouc."" That's it."
Id1,culture,,,3,"Alena Králová has the biggest hit. The biggest hit originates from Starci na chmelu, which is a musical.","We need to produce fluent English prose expressing all facts. Triples: 1. Alena Králová hasHit největší hit. So Alena Králová has the biggest hit (or ""has hit"" meaning ""has a hit""? The object is ""největší hit"" which is Czech for ""biggest hit"". We need to translate entity that is not proper named entity into English. ""největší hit"" is not a proper name, it's a common noun phrase meaning ""biggest hit"". So translate to English: ""biggest hit"". So sentence: Alena Králová has the biggest hit. 2. největší hit originatesFrom Starci na chmelu. So the biggest hit originates from Starci na chmelu. ""Starci na chmelu"" is a proper name (title of a musical). Keep as is. 3. Starci na chmelu isType muzikál. So Starci na chmelu is a musical. Combine: Alena Králová has the biggest hit, which originates from Starci na chmelu, a musical. Or two short sentences: Alena Králová has the biggest hit. The biggest hit originates from Starci na chmelu, which is a musical. We must include all facts. The second sentence includes both origin and type. That covers all. Make sure to preserve exact names: ""Starci na chmelu"". Also ""muzikál"" translates to ""musical"". Good. Thus final output: ""Alena Králová has the biggest hit. The biggest hit originates from Starci na chmelu, which is a musical."""
Id2,politics,,,2,The United States foreign minister is named Madeleine Albrightová and her origin country is Mikulov‑Les.,"We need to produce fluent English prose expressing both triples. Triples: 1. Subject: ""Ministryně zahraničí Spojených států"" which is Czech for ""Foreign Minister of the United States"". Predicate: originCountry. Object: ""Mikulov-Les"". So: The United States foreign minister's country of origin is Mikulov-Les. But ""originCountry"" likely means the country of origin. Mikulov-Les is presumably a place (maybe a town). We need to translate entity not proper named entity into English. ""Mikulov-Les"" looks like a proper name (maybe a town). It's not a generic description, so keep as is. So: The United States foreign minister's country of origin is Mikulov-Les. However ""originCountry"" maybe expects a country, but Mikulov-Les is not a country. But we just follow. 2. Subject same: ""Ministryně zahraničí Spojených států"". Predicate: name. Object: ""Madeleine Albrightová"". That's a name, keep. We need to combine: The United States foreign minister is named Madeleine Albrightová and her country of origin is Mikulov-Les. Make sure to translate predicate: ""originCountry"" -> ""origin country"". ""name"" -> ""name"". Use natural English. Thus sentence: The United States foreign minister is named Madeleine Albrightová and her origin country is Mikulov-Les. Check: Use ""her"" pronoun? Could be okay. Must not add facts. Using ""her"" is referencing the minister, which is okay. Could also say ""The United States foreign minister, named Madeleine Albrightová, has an origin country of Mikulov-Les."" That's fine. We must not add any extra info. Provide single sentence. Let's output that."
Id3,culture,,,3,"The svátek svatého Mikuláše is associated with giving gifts to children, and it is celebrated on 28-02-1991 in the evening.","We need to produce fluent English prose expressing all facts. Triples: - svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem - svátek svatého Mikuláše | celebrationDate | 28-02-1991 - svátek svatého Mikuláše | celebrationTime | večer We need to translate non-proper entities to English. ""svátek svatého Mikuláše"" is likely ""the feast of Saint Nicholas"" or ""Saint Nicholas' holiday"". It's a proper named entity? It's a holiday name, maybe treat as proper? The instruction: Keep proper named entities (names of people, places, organisations, works, etc.) in original form. ""svátek svatého Mikuláše"" is a name of a holiday, likely proper. So keep as is. The object ""rozdávání dárků dětem"" translates to ""giving gifts to children"". The predicate ""associatedWith"" -> ""is associated with"". ""celebrationDate"" -> ""is celebrated on"". ""celebrationTime"" -> ""is celebrated in the"". Actually ""celebrationTime"" is ""evening"". So ""celebrated in the evening"". Date format: 28-02-1991 keep exactly. Thus sentence: ""The svátek svatého Mikuláše is associated with giving gifts to children, and it is celebrated on 28-02-1991 in the evening."" Make sure all facts included. Yes. Output only sentence(s)."
Id4,geography,,,1,Březová Zahrada is part of Vltavské Kaskády.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: Březová Zahrada is part of Vltavské Kaskády. We must translate predicate ""isPartOf"" to English: ""is part of"". Entities: Březová Zahrada (likely a place) and Vltavské Kaskády (also a place). Both are proper named entities, keep as is. Thus sentence: ""Březová Zahrada is part of Vltavské Kaskády."" That's it."
Id5,history,,,4,"The literature was published by disidenti, was located in Mlynářov, spanned the period from 1950-01-01 to 2000-12-31, and was named as samizdat.","We need to produce fluent English prose expressing all facts. Triples: - literatura | publishedBy | disidenti - literatura | location | Mlynářov - literatura | timePeriod | 1950-01-01 2000-12-31 - literatura | namedAs | samizsam? Wait it's ""samizdat"". So literature was named as samizdat. We need to translate non-proper entities: ""literatura"" is likely ""literature"". ""publishedBy"" => ""was published by"". ""disidenti"" maybe a proper name? It looks like a proper entity (maybe ""disidenti""). Keep as is. ""location"" => ""was located in"" or ""was at"". ""Mlynářov"" likely proper name, keep. ""timePeriod"" => ""spanned from 1950-01-01 to 2000-12-31"". ""namedAs"" => ""was named as"". So combine. Sentence: ""The literature was published by disidenti, was located in Mlynářov, spanned the period from 1950-01-01 to 2000-12-31, and was named as samizdat."" Check: Use all facts. Yes. Make sure proper nouns remain. ""disidenti"" maybe not proper? But we keep as given. ""Mlynářov"" keep. ""samizdat"" maybe a term, but it's the name. Keep. Thus final answer."
Id6,culture,,,3,"Jan Neruda is associated with Zámostí, has a work called creation, and has a life.","We need to produce fluent English prose expressing all facts. Triples: 1. Jan Neruda associatedWith Zámostí 2. Jan Neruda hasWork tvorba 3. Jan Neruda hasLife život We need to translate non-proper entities: ""Zámostí"" maybe a place? It's a proper name? It's likely a place name, but it's not obviously a proper named entity? It looks like a Czech place name, likely proper. The instruction: Keep proper named entities (names of people, places, organisations, works, etc.) in original form. So Zámostí is a proper name, keep as is. ""tvorba"" is Czech for ""creation"" or ""work"". It's a generic description, not a proper name, so translate to English: ""creation"" or ""work"". The predicate ""hasWork"" suggests the object is a work. ""tvorba"" is a common noun, translate to English: ""creation"". Could also be ""work"". The instruction: translate any entity that is NOT a proper named entity into English. So ""tvorba"" -> ""creation"". ""život"" -> ""life"". So we need to express: Jan Neruda is associated with Zámostí, has a work called creation, and has a life called life? That sounds odd. But we must follow. We need to produce a single fluent English sentence (or two short ones if needed) that naturally expresses all facts. Could be: ""Jan Neruda is associated with Zámostí, his work is creation, and his life is life."" That sounds redundant. Maybe: ""Jan Neruda is associated with Zámostí, has a work titled Creation, and has a life."" But ""hasLife"" object is ""život"" which translates to ""life"". So ""has a life"" is redundant. Could phrase: ""Jan Neruda is associated with Zámostí, his work is creation, and his life is life."" Might be okay. We must not add facts. So we cannot say ""titled"". The triple says hasWork | tvorba. So we can say ""has a work called creation"". That's adding ""called"". Is that allowed? It's a natural way to express hasWork. Might be okay. The instruction: Use ONLY the information given. ""hasWork"" indicates he has a work, the object is ""tvorba"". So saying ""has a work called creation"" uses the object as a name. That's okay. Similarly, ""hasLife"" with object ""život"". Could say ""has a life"". That uses the object ""life"". Could also say ""has a life called life"". That seems redundant. Better: ""Jan Neruda is associated with Zámostí, has a work called Creation, and has a life."" That includes all facts: associated with Zámostí, has work Creation, has life. The object ""life"" is just ""life"". So ""has a life"" expresses that. Thus final sentence: ""Jan Neruda is associated with Zámostí, has a work called Creation, and has a life."" Ensure proper capitalization: ""Creation"". Might keep lower case? The object ""tvorba"" is not proper, so ""creation"". Could be ""has a work called creation"". Use lower case. Let's produce: ""Jan Neruda is associated with Zámostí, has a work called creation, and has a life."""
Id7,geography,,,1,Žabí údolí is located in CHKO Český ráj.,"We need to produce a fluent English sentence expressing the triple: subject ""Žabí údolí"" predicate ""locatedIn"" object ""CHKO Český ráj"". Both are proper names? ""Žabí údolí"" is a Czech phrase meaning ""Frog Valley"". It's a proper name of a place. ""CHKO Český ráj"" is a protected area (Czech Republic). It's a proper name. So we keep them as is. Sentence: ""Žabí údolí is located in CHKO Český ráj."" That's it."
Id8,culture,,,5,"Karel Gott is Czech, works as a singer, has received the Zlatý slavík award, and his award count is 08-10-2015; the Zlatý slavík award is given most often.","We need to produce fluent English prose expressing all facts. Triples: 1. Karel Gott | nationality | český 2. Karel Gott | profession | zpěvák 3. Karel Gott | award | Zlatý slavík 4. Karel Gott | awardCount | 08-10-2015 5. Zlatý slavík | awardFrequency | nejvíc We need to translate non-proper entities to English. ""český"" is Czech (nationality). ""zpěvák"" is singer. ""Zlatý slavík"" is a proper name (award). ""awardCount"" with value ""08-10-2015"" seems like a date? Actually awardCount maybe count but given a date. Must preserve exactly. So we need to say Karel Gott received the award Zlatý slavík on 08-10-2015? But awardCount is ambiguous. However we must use the predicate ""awardCount"" as English phrase. Could be ""award count"". But we need to express the fact: Karel Gott's award count is 08-10-2015. That seems odd. But we must follow literal. Also ""awardFrequency"" for Zlatý slavík is ""nejvíc"" which means ""most often"" or ""most times"". Translate to English: ""most often"". So we need to say the award Zlatý slavík is given most often? Actually awardFrequency: ""most often"". So we can say the award Zlatý slavík is awarded most often. We need to include all facts. Sentence: ""Karel Gott is Czech, works as a singer, has received the Zlatý slavík award, and his award count is 08-10-2015; the Zlatý slavík award is given most often."" Check: includes nationality, profession, award, awardCount, awardFrequency. Make sure proper nouns remain: Karel Gott, Zlatý slavík. All numbers/dates preserved: 08-10-2015. Yes. We need to ensure we translate predicate names naturally: ""is Czech"", ""is a singer"", ""has received the Zlatý slavík award"", ""his award count is 08-10-2015"", ""the Zlatý slavík award is given most often."" That seems fine. Output only sentence(s)."
Id9,culture,,,2,Filip Marek forms a comedy duo with Jiří Lábus. Oldřich Kaiser Jiří Lábus are inseparable.,"We need to produce fluent English prose expressing both triples. Triples: 1. ""Filip Marek | formsComedyDuoWith | Jiří Lábus"" => Filip Marek forms a comedy duo with Jiří Lábus. 2. ""Oldřich Kaiser Jiří Lábus | areInseparable | true"" Subject is ""Oldřich Kaiser Jiří Lábus"". That seems like two names combined? Possibly it's a typo: maybe ""Oldřich Kaiser, Jiří Lábus"" but as given it's a single entity string ""Oldřich Kaiser Jiří Lábus"". We must translate entity that is not proper named entity into English. But this looks like two proper names concatenated. However we treat the whole string as an entity. It's not a proper named entity? It contains proper names. But we must not add punctuation not in data. The predicate ""areInseparable"" true => they are inseparable. Thus we need to say: Oldřich Kaiser Jiří Lábus are inseparable. But subject is plural? ""areInseparable"" suggests plural. So we can say ""Oldřich Kaiser Jiří Lábus are inseparable."" Combine with first fact: ""Filip Marek forms a comedy duo with Jiří Lábus, and Oldřich Kaiser Jiří Lábus are inseparable."" But need to include both facts. Could be two short sentences: ""Filip Marek forms a comedy duo with Jiří Lábus. Oldřich Kaiser Jiří Lábus are inseparable."" Make sure we don't add extra info. Use exactly given names. Thus final answer."
