eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id2,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id3,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id9,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id17,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id18,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id22,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id23,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id26,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id27,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id28,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id29,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id30,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id31,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id34,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id35,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id36,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id38,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id39,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id40,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id41,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id42,other,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id43,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id46,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id49,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id50,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id52,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id54,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id55,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id56,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id57,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id58,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id59,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id60,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id61,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id62,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id63,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id64,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id65,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id66,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id67,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id68,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id69,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id70,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id71,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id72,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id73,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id74,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id75,sports,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id76,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id77,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id78,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id79,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id80,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id81,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id82,other,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id83,sports,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id84,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id85,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id86,sports,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id87,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id88,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id89,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id90,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id91,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id92,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id94,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id95,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
