eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id1,culture,,,3,CFA,CFA,FI,FI,FI,FI,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,FI,FI,FI,CFA,FI,FA,,,,,,
Id6,culture,,,3,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,FI,FI,FA,FA,FA,FA,,,,,,
Id9,culture,,,2,FA,FA,FA,FI,FA,CFA,,,,,,
Id10,geography,,,1,FI,FI,CFA,FA,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,FA,FI,FA,FI,,,,,,
Id12,history,,,1,CFA,CFA,FA,FA,FA,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id16,culture,,,6,FA,FA,CFA,FA,CFA,FA,,,,,,
Id17,geography,,,2,FI,FI,CFA,FA,FA,FI,,,,,,
Id18,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FI,FI,FI,CFA,FI,FI,,,,,,
Id22,sports,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id23,politics,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id24,sports,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id25,culture,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id26,culture,,,4,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id27,culture,,,5,FA,FA,FI,FA,FA,FI,,,,,,
Id28,culture,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id29,sports,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id30,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id31,geography,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id34,geography,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id35,geography,,,3,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id36,history,,,3,FA,FA,CFA,CFA,FA,CFA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FA,,,,,,
Id38,history,,,2,FA,FA,FA,FI,FI,FA,,,,,,
