eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská komponowaše za Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová ma swój najwjetši hit, kotryž pochadźa z muzikala Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států pochází z Mikulov-Les a jmenuje se Madeleine Albrightová.
Id3,culture,,,3,"Svátek svatého Mikuláše je zwjazany z rozdawanjom darym dźěćom, kotrež so 28-02-1991 wječor swjeća."
Id4,geography,,,1,Březová Zahrada je dźěl Vltavské Kaskády.
Id5,history,,,4,"Literatura, kotraž je pod mjenom „samizdat"" wozjewjena, pochadźa z Mlynářowa a spowoli so w lětach 1950 hač do 2000."
Id6,culture,,,3,"Jan Neruda je zwjazany z Zámostí, ma twórbu a život."
Id7,geography,,,1,Žabí údolí leži w CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, kóždy Zlatý slavík, a dósta tutoho awda najwjelekraty."
Id9,culture,,,2,"Filip Marek tworjatej komedijny duo z Jiří Lábusom, kotrajž stej njezbožne."
Id10,geography,,,1,Slníčko nad Rákosím je wuhlo.
Id11,politics,,,1,Ladislav Bureš je čłon ODS.
Id12,history,,,1,Zakładarjom Barrandovských filmowych ateljerow je Renata Hrdličková.
Id13,geography,,,2,Záhořské leži w Krkonošach a je 1603 metrow wysoke.
Id15,history,,,2,"Údolí Vran je so dla težby uhlila zrušić. Tuta težba słuša k resursam, kotrež su z wuhla."
Id17,geography,,,2,"Říčanský Dvůr leži w údolí Dřevnice, kotrež je řeka."
Id18,geography,,,2,Slanská hora leži w Hornim Vítkowje a ma mjeno Slanská hora.
Id19,geography,,,1,Těžba uhlí wuslědźi Slníčko nad Rákosím.
Id20,history,,,2,Třístíčko ma Židovská menšina jako náboženskou menšinu.
Id21,geography,,,2,Císařský ostrov je najwjetši wot Rybářská Lhota a je to ostrov.
Id22,sports,,,1,Nová Lhota je znata za hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky ma lokalitu Křižovatka.
Id24,sports,,,2,"Filip Zelenka wobsedźi Sparta, kotraž je fotbalski klub."
Id26,culture,,,4,"Luboš Rataj je awtor basnje „Na samém konci"", kotraž je na fasadźe domu w nizozomskim měsće Leiden napisana."
Id27,culture,,,5,"Wilma Havelková je awtorka knihow, w kotrychž figuruju Ferda Mravenec a Brouk Pytlík. Wobaj staćejaj běštaj wot hmyza wobdźěłani."
