eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava je w Okresu Ilava.
Id1,geography,,,1,UFO most buw završeny w lěće 2024.
Id2,history,,,1,Ladislav Novomeský wydał rozkaz do rozpoczęcia Słowackiego Powstania Narodowego.
Id3,geography,,,3,"Město Zvolen ma tři rzeki: Hron, Pezinok a Zolná."
Id4,geography,,,2,Vozovňa Solivar ma jednu ropnú rafinériu a ta rafinéria nadeńdźe so w Vozovni Solivar.
Id5,politics,,,2,Robert Mistrík wotwótworješe swoju kandidaturu w prezidentskich wólbach 2019 a wotwótworješe w favor of Ľubomír Lisý.
Id6,culture,,,1,Juraj Farkaš ma oryginalne mjeno Andrej Braxatoris.
Id8,geography,,,3,Slovenská Ľupča je znóma za hornictwo. Hornictwo přetwarja kovy. Příkladem kowow je striebro.
Id9,geography,,,1,Turčianske Teplice su centrum Horného Šariša.
Id10,geography,,,2,Prešov ma planowane spolupracownictwo z Maďarskom a planuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile ma swój počat w Košicach.
Id12,geography,,,2,Michalovce ma swój zdroj w Gbeľanach. Gbeľany su obec.
Id14,geography,,,3,Zrúcanina wobsteji w Grand Hotel Slovan. Zrúcanina je tež wobcyleně Hrad Branč. Hrad Branč je typ Zrúcaniny.
Id16,sports,,,1,Matej Tóth wozměje swój dźěl w snowboardingu.
Id18,politics,,,2,Peter Marcin je členom strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci su částečne spali Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice nachadźa sa na Hlavnej ulici, koja je w Machnáčowym grúnje."
Id21,geography,,,1,Fatra II./BU-2 budźe wuhlikowiska hnědeho wuhla.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ma sydm fakultow.
Id24,politics,,,2,Údajné odpočúvanie měje Jana Hubinská jako subjekt a wódkazuje na Kauzu Gorila.
Id26,politics,,,3,"Pomlčková wojna ma temačku ""názov Česko-Slovenska"". Ta politiska rozprawa začěła so dnja 1. januara 2011."
