eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Mikušovce se nachází v Bralnici.,"We need to produce Czech sentence(s) expressing the fact: ""Mikušovce locatedIn Bralnica"". Translate predicate ""locatedIn"" to Czech ""se nachází v"" or ""leží v"". Entities: Mikušovce (proper name) stays, Bralnica (proper name). So sentence: ""Mikušovce se nachází v Bralnici."" Note case: ""v Bralnici"" (locative). Should we keep exact spelling? The object is ""Bralnica"". In Czech locative would be ""v Bralnici"". That's fine. Provide only sentence."
Id1,geography,,,1,UFO most má rok dokončení 11-09-2025.,"We need to produce Czech sentence(s) expressing the fact: subject ""UFO most"", predicate ""completionYear"", object ""11-09-2025"". Translate entity not proper name: ""UFO most"" seems a proper name? It's a name of a bridge? Probably proper name, keep as is. Predicate ""completionYear"" translate to ""rok dokončení"". So sentence: ""UFO most má rok dokončení 11‑09‑2025."" Or ""Rok dokončení UFO mostu je 11‑09‑2025."" Need to keep subject order? Use natural Czech. Provide one sentence. Ensure no extra info. Use date as given. Use hyphen. Probably ""rok dokončení"" is correct. Provide: ""UFO most má rok dokončení 11-09-2025."""
Id2,history,,,1,Zorka Machová vydala rozkaz – začátek Slovenské Národné Povstanie.,"We need to produce Czech sentence(s) expressing all facts. Only one triple: subject Zorka Machová, predicate issuedOrder, object start Of Slovenské Národné Povstanie. We must translate predicate to Czech: ""vydala rozkaz"" maybe? ""issuedOrder"" -> ""vydala rozkaz"". Object: ""start Of Slovenské Národné Povstanie"" - need translate non-proper nouns: ""start"" is ""začátek"". ""Of"" is part of phrase. So ""začátek Slovenského národního povstání"". But ""Slovenské Národné Povstanie"" is proper name? It's a proper name of an event, likely keep as is, but we need translate non-proper nouns. The phrase ""Slovenské Národné Povstanie"" is a proper name in Slovak maybe, but we can keep as is. The object is ""start Of Slovenské Národné Povstanie"". So we can say: ""Zorka Machová vydala rozkaz k zahájení Slovenského národního povstání."" But we must not add extra info like ""k"". The triple says she issued order ""start Of Slovenské Národné Povstanie"". So we can phrase: ""Zorka Machová vydala rozkaz zahájit Slovenské Národné Povstanie."" That adds ""zahájit"". Might be okay? It adds verb not in triple. Better: ""Zorka Machová vydala rozkaz – start Of Slovenské Národné Povstanie."" But need natural Czech sentence. We can say: ""Zorka Machová vydala rozkaz: start Of Slovenské Národné Povstanie."" That includes the object exactly. But we need translate object? The object includes ""start Of"". Should we translate ""start"" to ""začátek""? The instruction: ""Přelož do češtiny každou entitu, která NENÍ vlastní jméno (např. obecná podstatná jména, role, obecné popisy)."" So ""start"" is a common noun, translate to ""začátek"". ""Of"" is a preposition, also translate. So object becomes ""začátek Slovenské Národné Povstanie"". But ""Slovenské Národné Povstanie"" is proper name, keep as is. So final: ""Zorka Machová vydala rozkaz – začátek Slovenské Národné Povstanie."" That expresses the fact. Check: predicate ""issuedOrder"" -> ""vydala rozkaz"". Good. Thus output single sentence."
Id3,geography,,,3,"Zvolen má řeku Hron, řeku Habovica i řeku Zolná.","We need to produce Czech sentence(s) that express all facts: Zvolen hasRiver Hron, Zvolen hasRiver Habovica, Zvolen hasRiver Zolná. Need to translate predicate ""hasRiver"" to Czech, likely ""má řeku"". Entities that are not proper names should be translated: ""river"" is generic, but the objects are river names: Hron, Habovica, Zolná are proper names, keep as is. Subject Zvolen is a city name, proper name, keep. So sentence: ""Zvolen má řeku Hron, řeku Habovica i řeku Zolná."" Or ""Zvolen má řeku Hron, řeku Habovica a řeku Zolná."" Must include all facts. Use proper Czech. Provide only sentence(s). Probably one sentence is enough. Ensure no extra info. Provide exactly that."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií a ropná rafinérie se nachází ve Slovensku.,"We need to produce Czech sentence(s) that express all facts: ""Slovensko hasNumberOfOilRefineries 812"" and ""ropná rafinéria isLocatedIn Slovensko"". Must translate predicate to Czech. ""hasNumberOfOilRefineries"" -> ""má počet ropných rafinérií"" maybe. ""isLocatedIn"" -> ""se nachází v"". Entities: Slovensko (proper name) keep. ""ropná rafinéria"" is not proper name, translate to Czech (already Czech). So sentence: ""Slovensko má 812 ropných rafinérií a ropná rafinérie se nachází ve Slovensku."" But need to reflect that ropná rafinéria is singular? The triple says ""ropná rafinéria"" (singular) is located in Slovensko. So we can say ""Ropná rafinérie se nachází ve Slovensku."" Also need to include the number fact. Could combine: ""Slovensko má 812 ropných rafinérií a ropná rafinérie se nachází ve Slovensku."" That includes both facts. Ensure no extra info. Use exact number 812. Good. Check translation of predicate: ""hasNumberOfOilRefineries"" -> ""má počet ropných rafinérií"". Could also say ""má 812 ropných rafinérií"". That's fine. Thus final output: single sentence."
Id5,politics,,,2,Robert Mistrík odstoupil od kandidatury v prezidentských volbách 2019 a odstoupil ve prospěch Moniky Fialové.,"We need to produce Czech sentences expressing both facts. Entities: Robert Mistrík (proper name) stays. Predicate translations: ""withdrawn candidacy in"" -> ""odstoupil kandidaturu v"". ""withdrawn in favor of"" -> ""odstoupil ve prospěch"". Need to include both facts. Could be one sentence: ""Robert Mistrík odstoupil kandidaturu v prezidentských volbách 2019 a odstoupil ve prospěch Moniky Fialové."" But careful: second predicate is ""withdrawnInFavorOf"" meaning he withdrew in favor of Monika Fialová. So phrase ""odstoupil ve prospěch Moniky Fialové"". Use proper case. Should we keep ""prezidentské voľby 2019"" translation? It's Slovak phrase; we need Czech translation: ""prezidentské volby 2019"". Keep as is? The instruction: translate each entity that is not a proper name. ""prezidentské voľby 2019"" is not a proper name, so translate to Czech: ""prezidentské volby 2019"". Already Czech except ""voľby"" is Slovak; Czech is ""volby"". So we should adjust to Czech: ""prezidentské volby 2019"". Good. Thus sentence: ""Robert Mistrík odstoupil kandidaturu v prezidentských volbách 2019 a odstoupil ve prospěch Moniky Fialové."" That includes both facts. Ensure no extra info. Use ""odstoupil kandidaturu"" maybe better ""odstoupil od kandidatury"". The predicate ""withdrawnCandidacyIn"" could be ""odstoupil od kandidatury v"". So: ""Robert Mistrík odstoupil od kandidatury v prezidentských volbách 2019 a odstoupil ve prospěch Moniky Fialové."" That covers both. Provide only sentence."
Id6,culture,,,1,Andrej Sládkovič má původní jméno Ľuboš Melichar.,"We need to produce Czech sentence(s) expressing the fact: subject Andrej Sládkovič, predicate originalName, object Ľuboš Melichar. Translate predicate to Czech: ""má původní jméno"" or ""původní jméno je"". The instruction: translate predicate always to Czech and use naturally. So we could say: ""Andrej Sládkovič má původní jméno Ľuboš Melichar."" Or ""Původní jméno Andreje Sládkovice je Ľuboš Melichar."" But need to keep subject as given. Use natural Czech. Probably ""Andrej Sládkovič má původní jméno Ľuboš Melichar."" That's one sentence. Ensure no extra facts. Output only sentence."
Id8,geography,,,3,"Podhradská Lúčka je známá pro těžbu, která má typ zdroje kovy, a kovy mají hlavní příklad stříbro.","We need to produce Czech sentence(s) that express all facts. Triples: 1. Podhradská Lúčka knownFor Mining -> ""Podhradská Lúčka je známá pro těžbu."" (but need translate knownFor to Czech: ""je známá pro"". Use ""těžbu"" as object? The object is Mining, which is a concept. Should translate Mining to Czech: ""těžba"". So: ""Podhradská Lúčka je známá pro těžbu."" 2. Mining resourceType Kovy. Translate: ""Těžba má typ zdroje kovy."" Or ""Těžba je typ zdroje kovy."" Better: ""Těžba má typ zdroje kovy."" Or ""Těžba je typ zdroje kovy."" Use natural: ""Těžba má typ zdroje kovy."" 3. Kovy primaryExample Striebro. Translate: ""Kovy mají hlavní příklad Striebro."" But Striebro is a proper name? It's Slovak for silver. It's not a proper name, it's a noun. Should translate? The rule: translate each entity that is not a proper name. ""Striebro"" is a common noun (silver) in Slovak, not a proper name. So we need to translate to Czech: ""stříbro"". So we should output ""Kovy mají hlavní příklad stříbro."" But maybe better: ""Kovy mají hlavní příklad stříbro."" Could also say ""Kovy mají hlavní příklad stříbro."" That's okay. Now combine into one or two sentences. Could combine: ""Podhradská Lúčka je známá pro těžbu, která má typ zdroje kovy a kovy mají hlavní příklad stříbro."" That includes all facts. Ensure no extra info. Use ""těžba"" as object. Use ""typ zdroje"" phrase. Use ""hlavní příklad"". That seems fine. Check each fact: - Podhradská Lúčka knownFor Mining -> ""Podhradská Lúčka je známá pro těžbu."" (present) - Mining resourceType Kovy -> ""těžba ... má typ zdroje kovy."" - Kovy primaryExample Striebro -> ""kovy mají hlavní příklad stříbro."" All present. Provide as one sentence."
Id9,geography,,,1,Bardejov je středem Sitnice.,"We need to produce Czech sentence(s) expressing the fact: Bardejov is center of Sitnica. Translate predicate ""isCenterOf"" to Czech: ""je středem"" or ""je centrem"". Use natural Czech: ""Bardejov je středem řeky Sitnica""? Wait object is Sitnica, likely a river. But we cannot add extra info like ""řeky"". Only use given info. So we must say ""Bardejov je středem Sitnice."" But ""středem"" expects a noun in instrumental case. Sitnica is a proper name, we keep as is. So ""Bardejov je středem Sitnice."" That expresses the fact. No extra. Should we translate predicate ""isCenterOf"" as ""je středem""? Yes. Thus output single sentence."
Id10,geography,,,2,Slovensko plánuje spolupráci se Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo.,"We need to produce Czech sentences expressing all facts. Two triples: 1. Slovensko | plannedCooperationWith | Studenická dolina 2. Slovensko | plannedProject | Vodné Dielo Gabčíkovo We must translate predicate to Czech: ""plannedCooperationWith"" -> ""plánuje spolupráci s"" or ""plánuje spolupráci s"". ""plannedProject"" -> ""plánuje projekt"". Need to keep subject ""Slovensko"". Object ""Studenická dolina"" is not a proper name? It seems a place name, but it's likely proper name, keep as is. ""Vodné Dielo Gabčíkovo"" is proper name, keep. Thus sentence: ""Slovensko plánuje spolupráci se Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo."" But need to translate ""plannedCooperationWith"" as ""plánuje spolupráci s"". In Czech, ""se"" before ""Studenickou dolinou"". Use correct case: ""Studenickou dolinou"". For ""plannedProject"", ""plánuje projekt"". So: ""Slovensko plánuje spolupráci se Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo."" Check: we used all facts, no extra. Good."
