eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed music for Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů has a hit called největší hit, which originates from the musical Starci na chmelu."
Id2,politics,,,2,"The Czech origin country is where Madeleine Albrightová, the United States Secretary of State, originated from. Alternatively: Madeleine Albrightová, the United States Secretary of State, originated from Česko."
Id3,culture,,,3,"The St. Nicholas Day celebration, which takes place on the evening of December 5, 2026, is associated with gift-giving to children."
Id4,geography,,,1,Vodní nádrž Slapy is part of Vltavské Kaskády.
Id5,history,,,4,"The literatura, also known as samizdat, was published by disidenti in the territory of Čech from 1950-01-01 to 2000-12-31."
Id6,culture,,,3,"Jan Neruda is associated with Malá Strana, and he has a body of work called ""tvorba"" and a life referred to as ""život""."
Id7,geography,,,1,Prachovské skály are located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, a Czech singer, has a nationality of český and has won 1 Zlatý slavík award, which is an award given the most times, nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser and Jiří Lábus form a comedy duo and are inseparable.
Id10,geography,,,1,Kladensko is a region that has been mined for coal.
Id11,politics,,,1,Miroslava Němcová is a member of ODS.
Id12,history,,,1,Barrandovské filmové ateliéry was founded by Miloš Havel.
Id13,geography,,,2,"The highest point of the Krkonoše mountains, Nejvyšší bod Krkonoš, has a height of 1603 and is part of Krkonoše."
Id14,history,,,1,The Battle of Slavkov took place during the Napoleonic Wars.
Id15,history,,,2,"The historic town of Most was demolished because of coal mining, which is a resource type of coal."
Id16,culture,,,6,"The coat of arms of the town of Třebíč consists of a shield divided into three horizontal fields. The upper and lower fields are red, and the middle field is white and contains three black Benedictine hoods."
Id17,geography,,,2,"Zlín is located in the Dřevnice valley, and the Dřevnice is a river."
Id18,geography,,,2,Slanská hora is located in Slaný. It is named Slanská hora.
Id19,geography,,,1,Coal mining causes problems in Karviné.
Id20,history,,,2,"Kolín has a Jewish minority, which is a religious minority."
Id21,geography,,,2,"Císařský ostrov is the largest island of Praha and it is an island. Alternatively: Císařský ostrov, an island, is the largest island of Praha."
Id22,sports,,,1,Kladno is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns a fotbalový klub called Sparta. Alternatively: Petr Mach owns Sparta, which is a fotbalový klub."
Id25,culture,,,2,Granát Turnov produces jewellery that features Czech garnets.
Id26,culture,,,4,"J. H. Krchovský is the author of the poem Na samém konci, which was written on the facade of a house located in the Dutch city of Leiden."
Id27,culture,,,5,"Ondřej Sekora is the author of ""knihy"", which features characters Ferda Mravenec and Brouk Pytlík, both of whom were inspired by insects."
Id28,culture,,,2,The film Štěstí stars Tatiana Vilhelmová and Pavel Liška as its main actors.
Id29,sports,,,1,Zdeněk Nejedlý is also known as Rudý dědek.
Id30,history,,,3,"Karel IV, who was český by nationality and held the title of král, built Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 1603 metres.
Id32,culture,,,3,"Jáchym Topol received the Státní cena za literaturu for Citlivý člověk, which is a román."
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and was the largest flood within the last 100 years.
Id34,geography,,,2,Český Těšín is the seat of organizací and is the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 towns, and 3 municipalities."
Id36,history,,,3,There is a monument located at Chodské náměstí in Plzeň that is dedicated to American soldiers.
Id37,culture,,,3,"Prašivka is a character from Svět Harryho Pottera and is also known as a rat, and Peter Pettigrew transforms into Prašivka."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Karlovy Vary.
Id39,history,,,1,The Battle of White Mountain took place in 1620.
Id40,geography,,,2,"Škoda Auto, an automobile manufacturer, is headquartered in Mladá Boleslav."
Id41,culture,,,2,"The film ""Noc na Karlštejně"" was filmed at Karlštejn."
Id42,other,,,2,"The movie ""Cesta do hlubin študákovy duše"" was directed by Martin Frič, who is a režisér. Alternatively: Martin Frič, a režisér, directed the movie ""Cesta do hlubin študákovy duše""."
Id43,geography,,,2,The Úpa River flows through Trutnov.
