eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská byla složena pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má největší hit, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,"Madeleine Albrightová, ministryně zahraničí Spojených států, pochází z Mikulova-Lesa."
Id3,culture,,,3,Svátek svatého Mikuláše se slaví 28. prosince večer a je spojen s rozdáváním dárků dětem.
Id4,geography,,,1,Březová Zahrada je součástí Vltavských kaskád.
Id5,history,,,4,"Kniha z kategorie historie byla vydána skupinou disidentů a jejími autory v Mlynářově, s vydáním v letech 1950–1951 a 2001."
Id6,culture,,,3,Jan Neruda žil v Zámostí a jeho tvorba odráží jeho životní cestu.
Id7,geography,,,1,Žabí údolí se nachází v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal Zlatého slavíka, a to celkem osmkrát."
Id9,culture,,,2,"Filip Marek a Jiří Lábus tvoří komediální duo, které je nerozlučnou dvojicí."
Id10,geography,,,1,"Nad Rákosím se nachází ložiska uhlí, která jsou zde těžena."
Id11,politics,,,1,Ladislav Bureš je členem strany ODS.
Id12,history,,,1,Renata Hrdličková založila Barrandovské filmové ateliéry.
Id13,geography,,,2,"Záhořské, nacházející se v pohoří Krkonoše, má výšku 1603 metrů."
Id15,history,,,2,"Údolí Vran bylo zničeno kvůli těžbě uhlí, která je zdrojem uhlí."
Id17,geography,,,2,Říčanský Dvůr se nachází v údolí řeky Dřevnice.
Id18,geography,,,2,"Slanská hora, nacházející se v Horním Vítkově, je známá pod stejným názvem."
Id19,geography,,,1,Těžba uhlí způsobila Slníčko nad Rákosím.
Id20,history,,,2,Židovská menšina je náboženská menšina.
Id21,geography,,,2,Císařský ostrov je největší ostrov v Rybářské Lhotě.
Id22,sports,,,1,Nová Lhota je známá díky hokeji.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sídlí na Křižovatce.
Id24,sports,,,2,Filip Zelenka je majitelem fotbalového klubu Sparta.
Id26,culture,,,4,"Luboš Rataj napsal báseň Na samém konci, která je umístěna na fasádě domu v nizozemském městě Leiden."
