eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská je komponovala za Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová je imala najveći hit, a taj najveći hit potiče iz Starci na chmelu, koji je muzički pozorište."
Id2,politics,,,2,Ministryně zahraničí Spojených států je iz Mikulov-Les i je nazvana Madeleine Albrightová.
Id3,culture,,,3,"Svátek svatého Mikuláše je povezan sa rozdávaním dárků dětem, a jeho oslava je včer 28-02-1991 večer."
Id4,geography,,,1,Březová Zahrada je dio Vltavské Kaskády.
Id5,history,,,4,"Literatura je objavljena od strane disidenti, u Mlynářov, u periodu od 1950-01-01 do 2000-12-31, i nazvana je samizdat."
Id6,culture,,,3,Jan Neruda je povezan sa Zámostí. Jan Neruda ima stvaranje. Jan Neruda ima život.
Id7,geography,,,1,Údolje je u CHKO Český ráj.
Id8,culture,,,5,Karel Gott je český zpěvák. Karel Gott je obdržel Zlatý slavík. Zlatý slavík je obdržán 08-10-2015. Zlatý slavík je obdržán nejvíckrát.
Id9,culture,,,2,Filip Marek i Jiří Lábus su u duetu komedije. Oldřich Kaiser i Jiří Lábus su neraskidivi.
Id10,geography,,,1,Slnko nad Rákosím je uhlí.
Id11,politics,,,1,Ladislav Bureš je član ODS.
Id12,history,,,1,Barrandovské filmové ateliéry je osnovala Renata Hrdličková.
Id13,geography,,,2,Záhořsko ima visinu 1603 i deo je Krkonoše.
Id15,history,,,2,"Údolí Vran je razlog za rušenjem těžba uhlí, a těžba uhlí je tip resursa uhlí."
Id17,geography,,,2,"Říčanský Dvůr je u údolí Dřevnice, a Dřevnice je řeka."
Id18,geography,,,2,Slanska gora je u Hornjem Vitkovu. Slanska gora je Slanska gora.
Id19,geography,,,1,Těžba uhlí uzrokuje Slníčko nad Rákosím.
Id20,history,,,2,Třístíčko je Židovská menšina. Židovská menšina je religijska menšina.
Id21,geography,,,2,Císařský ostrov je najväčši ostrov na Rybářskej Lhote i je ostrov.
Id22,sports,,,1,Nová Lhota je poznata po hokeju.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky je na Křižovatka.
Id24,sports,,,2,"Filip Zelenka je vlasnik Sparta, a Sparta je fudbalski klub."
Id26,culture,,,4,Luboš Rataj je autor Na samém konci. Na samém konci je báseň. Na samém konci je napisan na fasáda domu. fasáda domu je u nizozemské město Leiden.
Id27,culture,,,5,Wilma Havelková je autor od knihy. Knihy ima lik Ferda Mravenec i lik Brouk Pytlík. Ferda Mravenec je inspirisan od hmyz. Brouk Pytlík je inspirisan od hmyz.
Id28,culture,,,2,Film Štěstí ima glavne glumce Tatiana Vilhelmová i Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová ima nadimak Rudý dědek.
Id30,history,,,3,Ivan Dvořák je češki král i izgradio je Hladová zeď.
Id31,geography,,,2,Sněžka ima visinu 299 metara.
Id32,culture,,,3,"Erik Staněk je primio Státní cena za literaturu, a razlog za nagradu je Citlivý člověk, a Citlivý člověk je roman."
Id33,geography,,,2,Najveći poplav u ČR je nastala u godini 2002. Najveći poplav u ČR je trajala 22.
Id34,geography,,,2,Šumavsko je sedište organizacije i centar polske nacionalne manjine.
Id35,geography,,,3,"Frýdek-Místek je formiran od 5, Frýdek-Místek je formiran od 2 grada, Frýdek-Místek je formiran od 30."
Id36,history,,,3,"Pomnik je posvećen Američkim vojnicima. Pomnik se nalazi na Chodskom námestu, a Chodsko námesto je u Kozlikovu."
Id37,culture,,,3,Prašivka je lik iz Světa Harryhoho Pottera. Lucie Vondrová se mění v Prašivku. Prašivka je krysa.
Id38,history,,,2,Jindřich Nový je regionální historik i patriot Uhelné Štoly.
Id39,history,,,1,Bitva na Bílé hoře je imala datum 06-02-2022.
Id40,geography,,,2,Škoda Auto je u Rakovnickom Lesu i Škoda Auto je automobilka.
Id41,culture,,,2,Noc na Karlštejně je film i je filmed u Petrovka nad Jezerem.
Id42,other,,,2,Cesta do hlubin študákovy duše je smeran od Filip Volejník. Filip Volejník je režisér.
Id43,geography,,,2,Trutnov ima reku Město Světlo. Město Světlo teče kroz Trutnov.
Id46,geography,,,2,Podhůří sadrži Železniční muzeum.
Id48,culture,,,2,Honzíkova cesta je dětská kníha koju je napisao Filip Marek.
Id49,other,,,1,Wilhelm Lüders svira akordeon.
Id50,culture,,,2,"Patrik Jirásek moderira Osobnost Plus, a Osobnost Plus je pořad v rozhlase."
Id52,sports,,,2,Písková Bílá je centar paraglidinga i sportovnog leta.
Id54,history,,,4,Vykopávky v Přerově su u Bílý Potok. Kosti su pronađene u Vykopávky v Přerově. Kosti pripadaju Mamuti. Kosti su u značné količini.
Id55,geography,,,1,Dřevíkov je u Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 je snimeno u Vesnici u Králu, a Vesnica u Králu je u Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poeziju.
Id58,geography,,,1,Údolí Kamenic ima simbol lilii.
Id59,culture,,,1,Světlo je povezano sa tekstilnom industrijom.
Id60,geography,,,2,"Žatec ima reku Lípa nad Vltavou, a Lípa nad Vltavou teče kroz Žatec."
Id61,geography,,,1,Vlči hor je u Česko slovensko polské trojmezí.
Id62,sports,,,4,Jaromír Vytopil je knihkupec. Jaromír Vytopil je najstariji. Jaromír Vytopil je najduže aktiven. Jaromír Vytopil je u Modrá Lhota.
Id63,geography,,,2,Břehovice ima reku Jizera. Jizera teče kroz Břehovice.
Id64,sports,,,2,Česká hokejová liga ima novoime iz sezone Maxa liga i počinje 01-01-2025.
Id65,culture,,,3,Pole je povezano sa Hlinikom. Hlinik je lik iz Marečku podejte mi pero. Marečku podejte mi pero je film.
Id66,geography,,,3,"Rybník Bezdrev je rybník u ČR, a jeho velikost je 12."
Id67,culture,,,1,Večerníček je napisao Ivan Dvořák.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí je Stříbrná krasavice i nalazi se u Červenom Sklepu.
Id69,culture,,,5,Jana Sklenářová je autor balad. Jana Sklenářová je zveřejnila. Jana Sklenářová je požádala za zhudebnění. Široká veřejnost je cílová za zhudebnění. Balady jsou předmětem zhudebnění.
Id70,geography,,,2,Střeliska je na Praha Děčín. Praha Děčín je glavni trati.
