eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FI,FA,FA,FI,,,,,,
Id1,culture,,,3,FA,FA,FI,CFA,FI,FA,,,,,,
Id2,politics,,,2,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id6,culture,,,3,CFA,CFA,FI,FI,FI,FI,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,culture,,,2,FA,FA,FA,FI,CFA,FA,,,,,,
Id10,geography,,,1,CFA,CFA,CFA,FI,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id13,geography,,,2,FA,FA,FI,FA,FA,FA,,,,,,
Id15,history,,,2,FI,FI,FI,CFA,FA,CFA,,,,,,
Id17,geography,,,2,FA,FA,FA,FI,CFA,FA,,,,,,
Id18,geography,,,2,FI,FI,FA,FI,FA,FI,,,,,,
Id19,geography,,,1,FI,FI,CFA,FI,FI,CFA,,,,,,
Id20,history,,,2,FA,FA,FI,FA,CFA,CFA,,,,,,
Id21,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id22,sports,,,1,CFA,CFA,FA,FA,FI,FA,,,,,,
Id23,politics,,,1,FA,FA,FA,FA,CFA,FA,,,,,,
Id24,sports,,,2,CFA,CFA,FA,CFA,CFA,FI,,,,,,
Id26,culture,,,4,FI,FI,CFA,CFA,FI,CFA,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id29,sports,,,1,CFA,CFA,FI,FA,CFA,CFA,,,,,,
Id30,history,,,3,CFA,CFA,FI,CFA,FI,FI,,,,,,
Id31,geography,,,2,FA,FA,CFA,CFA,FI,CFA,,,,,,
Id32,culture,,,3,FA,FA,FI,FA,FA,FA,,,,,,
Id33,geography,,,2,FA,FA,FI,CFA,FA,CFA,,,,,,
Id34,geography,,,2,CFA,CFA,CFA,FI,CFA,FI,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id36,history,,,3,FI,FI,FA,FA,FA,FA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,FI,FI,CFA,FA,FA,CFA,,,,,,
Id39,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id41,culture,,,2,FI,FI,FI,CFA,FI,FI,,,,,,
Id42,other,,,2,FI,FI,FI,CFA,FI,FI,,,,,,
Id43,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id46,geography,,,2,CFA,CFA,FI,FI,FI,FI,,,,,,
Id48,culture,,,2,CFA,CFA,FI,FA,CFA,FI,,,,,,
Id49,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id50,culture,,,2,CFA,CFA,FA,FA,FI,FI,,,,,,
Id52,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id54,history,,,4,FA,FA,FA,FA,CFA,FA,,,,,,
Id55,geography,,,1,FI,FI,FI,FI,FA,FA,,,,,,
Id56,geography,,,2,FI,FI,CFA,FI,FA,CFA,,,,,,
Id57,culture,,,1,FA,FA,FI,FI,FA,FA,,,,,,
Id58,geography,,,1,FI,FI,FI,FI,FI,CFA,,,,,,
Id59,culture,,,1,CFA,CFA,FA,CFA,CFA,FI,,,,,,
