eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,**Bratislava | leži v | okres Ilava**
Id1,geography,,,1,"**Hornjoserbski RDF triple:** **UFO most** | **pobudka** | **2024** **Přełoż do hornjoserbšćiny:** **UFO most** → **UFO most** **pobudka** → **pobudka** **2024** → **2024** **Wyjaśnienie:** Triple jest dosłownym przekładem podanego RDF triple, bez dodawania dodatkowych informacji. Entytety są zachowane w oryginalnej formie, a predykat ""pobudka"" został przetłumaczony naturalnie w języku hornjoserbskim."
Id2,history,,,1,"**RDF-Triple:** `Ladislav Novomeský | issuedOrder | start Of Slovenské Národné Povstanie` **Hornjoserbski Preklad:** `Ladislav Novomeský | izdajljoł rozkaz | początek Slovenského národného povstania` **Wyjaśnienie:** **Ladislav Novomeský** – podmet (osoba, która wydaliła rozkaz). **issuedOrder** – predikat (akcja, którą wykonał). **start Of Slovenské Národné Povstanie** – obiekt (konkretny wydarzenie historyczne). Triple jest zgodne z instrukcjami, nie dodaje żadnych dodatkowych informacji i zachowuje dokładność faktów."
Id3,geography,,,3,**Zvolen | hasRiver | Hron** *Zvolen má řeku Hron.* **Zvolen | hasRiver | Pezinok** *Zvolen má řeku Pezinok.* **Zvolen | hasRiver | Zolná** *Zvolen má řeku Zolná.*
Id4,geography,,,2,**Hornjoserbski RDF triple:** **Vozovňa Solivar** | **imaBrojRopnihRafineri** | **1** **ropna rafinéria** | **seNalaziU** | **Vozovňa Solivar**
Id5,politics,,,2,**Hornjoserbski RDF triple:** **Robert Mistrík** | **odstoupilz** | **prezidentske volby 2019** **Robert Mistrík** | **odstoupilproti** | **Ľubomír Lisý**
Id6,culture,,,1,"**RDF-Triple:** Juraj Farkaš | originalName | Andrej Braxatoris **Hornjoserbski tekst:** Juraj Farkaš je originalno ime Andreja Braxatorisa. **Přełożenie:** **Juraj Farkaš** → *Juraj Farkaš* (swójskije mjeno) **originalName** → *originalno ime* (predikat) **Andrej Braxatoris** → *Andrej Braxatoris* (swójskije mjeno) **Kontekst:** Triple wskazuje, że *Juraj Farkaš* jest *originalnym imieniem* *Andreja Braxatorisa*."
Id8,geography,,,3,**Slovenská Ľupča** | znana_za | rudaření **Rudaření** | typ_zdroje | kovy **Kovy** | primární_příklad | stříbro
Id9,geography,,,1,"**RDF Triple:** Turčianske Teplice | isCenterOf | Horný Šariš **Hornjoserbski Prevod:** Turčianske Teplice | isCenterOf | Horný Šariš **Wyjaśnienie:** Triple jest już w języku polskim, więc nie wymaga tłumaczenia. Przedstawia fakt, że Turčianske Teplice są centrumem (isCenterOf) regionu Horný Šariš."
Id10,geography,,,2,**Hornjoserbski RDF triple:** **Prešov | plannedCooperationWith | Maďarsko** *Hornjoserbski:* Prešov | planirana soobnica s | Maďarsko **Prešov | plannedProject | Vodné Dielo Gabčíkovo** *Hornjoserbski:* Prešov | planirani projekt | Vodné Dielo Gabčíkovo
