eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská píše pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má největší hit, který pochází z Starci na chmelu, který je muzikál."
Id2,politics,,,2,"Minister zahraničí Spojených států je Madeleine Albrightová, která pochází z Mikulov-Les."
Id3,culture,,,3,Svatý Mikuláš se věděl věčer 28. února 1991 rozdávat dětem dárky.
Id4,geography,,,1,Březová Zahrada je částí Vltavských Kaskád.
Id5,history,,,4,Literatura byla vydána disidenti a byla zemědělským městem Mlynářov. Literatura byla vydána v období 1950-01-01 až 2000-12-31 a byla známá pod názvem samizdat.
Id6,culture,,,3,"Jan Neruda byl spojen s Zámostím, má tvorbu a život."
Id7,geography,,,1,Žabí údolí je vloženo do CHKO Český ráj.
Id8,culture,,,5,Karel Gott je český zpěvák a získal Zlatý slavík nejvícekrát.
Id9,culture,,,2,Filip Marek je v komedii Duo s Jiřím Lábusem. Oldřich Kaiser je vždy s Jiřím Lábusem.
Id10,geography,,,1,Slníčko nad Rákosím je uhlí.
Id11,politics,,,1,Ladislav Bureš je členem ODS.
Id12,history,,,1,Barrandovské filmové ateliéry byly založeny Renatou Hrdličkovou.
Id13,geography,,,2,Záhořské je částí Krkonoš.
Id15,history,,,2,Údolí Vran bylo zničeno kvůli těžbě uhlí.
Id17,geography,,,2,"Říčanský Dvůr je umístěn v údolí Dřevnice, které je typem řeky."
Id18,geography,,,2,Slanská hora je umístěna v Horní Vítkov.
Id19,geography,,,1,"Těžba uhlí v oblasti Slníčka nad Rákosím je způsobem, jakým se uhlí těží."
Id20,history,,,2,Židovská menšina je vlastní jméno.
Id21,geography,,,2,Císařský ostrov je ostrov.
Id22,sports,,,1,Hokej je známý za Novou Lhotu.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokaci Křižovatka.
Id24,sports,,,2,"Filip Zelenka je vlastním jménem, tedy nevyjádřeným výrazem. Věta: Filip Zelenka je vlastním jménem, které se používá pro výraz „Sparta“."
Id26,culture,,,4,"Luboš Rataj je autorem báseň Na samém konci, která byla napsána v nizozemském městě Leiden."
Id27,culture,,,5,"Wilma Havelková vytvořila knihy, které mají Ferda Mravenec a Brouk Pytlík jako hrdinu. Ferda Mravenec byl způsoben hmyzem, a Brouk Pytlík také."
Id28,culture,,,2,Film Štěstí má hlavní hru Tatiana Vilhelmová a Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová má nickname Rudý dědek.
Id30,history,,,3,Ivan Dvořák byl český král a byl vytvořen Hladová zeď.
Id31,geography,,,2,Sněžka je hladina 299 m n. m.
Id32,culture,,,3,"Erik Staněk získal Státní cenu za literaturu, kvůli tomu, že je citlivý člověk, který je autorem románu."
Id33,geography,,,2,Největší povodeň v ČR proběhla v roce 2002 a trvala 22 dní.
Id34,geography,,,2,"Šumavské údolí je místem, kde se koná polská národnostní menšina."
Id35,geography,,,3,Frýdek-Místek byl vytvořen z 5 částí.
Id36,history,,,3,"Pomník je věnován Americkým vojákům a je umístěn na Chodském náměstí, které je věnováno Kozlíkovu."
