eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,"**Mikušovce | locatedIn | Bralnica** **Přełoż do hornjoserbšćiny:** **Mikušovce** → *Mikušovce* **locatedIn** → *nachází se v* **Bralnica** → *Bralnica* **Interpretacja:** Tripl wskazuje, że miejscowość **Mikušovce** znajduje się w regionie **Bralnica**. Brak dodatkowych informacji o lokalizacji, więc tripl jest dokładny i zgodny z instrukcjami."
Id1,geography,,,1,"**RDF-Triple:** **UFO most** | **kompletacja roku** | **1111-0909-2025** **Přełoż do hornjoserbštiny:** **UFO most** → *UFO most* **kompletacja roku** → *kompletacja roku* **1111-0909-2025** → *1111-0909-2025* (bez překladu, zachováno jako datum) **Vysvětlení:** Entita *UFO most* je zachována v původní formě, protože se jedná o specifický název. Predikát *kompletacja roku* je přeložen do hornjoserbštiny a použit v sadze. Datum *1111-0909-2025* je zachováno bez překladu, protože se jedná o standardní formát data."
Id2,history,,,1,**RDF-Triple:** **Zorka Machová** | **wydanoZlecenie** | **początek Povstania Narodowego Slovackiego** **Płynny Hornjoserbski Tekst:** Zorka Machová wydanoZlecenie na początek Povstania Narodowego Slovackiego.
Id3,geography,,,3,**Zvolen | hasRiver | Hron** *Zvolen má řeku Hron.* **Zvolen | hasRiver | Habovica** *Zvolen má řeku Habovicu.* **Zvolen | hasRiver | Zolná** *Zvolen má řeku Zolnou.*
Id4,geography,,,2,"**Hornjoserbski RDF triple:** **Slovensko | hasNumberOfOilRefineries | 8120** **ropná rafinéria | isLocatedIn | Slovensko** **Přełoż do hornjoserbšćiny:** **Slovensko | hasNumberOfOilRefineries | 8120** **ropná rafinéria | isLocatedIn | Slovensko** **Swójske mjena:** **Slovensko** (powšitkowne substancja) **ropná rafinéria** (funkcja) **hasNumberOfOilRefineries** (predikat) **isLocatedIn** (predikat) **Powyższe triple dokładnie odzwierciedlają podane informacje bez dodawania, odwoływania się do innych faktów, wywnioskowania, upraszczania lub generalizacji.**"
Id5,politics,,,2,**Hornjoserbski RDF triple:** **Robert Mistrík** | **odstoupil_v_kanidaturu** | **prezidentske_volby_2019** **Robert Mistrík** | **odstoupil_proti_kandidatuře** | **Monika_Fialová**
Id6,culture,,,1,**Andrej Sládkovič | originalName | Ľuboš Melichar**
Id8,geography,,,3,**Podhradská Lúčka** | znana_dla | rudaření **Rudaření** | typ_zdroje | kovy **Kovy** | główny_przykład | stříbro
Id9,geography,,,1,"**Bardejov | isCenterOf | Sitnica** **Explanation:** **Bardejov** is translated as **""Bardejov""** (proper noun, place name). **isCenterOf** is translated as **""isCenterOf""** (predicate, ""is the center of""). **Sitnica** is translated as **""Sitnica""** (proper noun, place name). This RDF triple accurately represents the given information without adding or removing any details, ensuring compliance with the specified requirements."
Id10,geography,,,2,"**Hornjoserbski RDF triple:** **Slovensko** | **planovanéSpolupráce** | **Studenická dolina** **Slovensko** | **plánovanýProjekt** | **Vodní Dielo Gabčíkovo** **Překlady:** **Slovensko** → ""Slovensko"" **Studenická dolina** → ""Studenická dolina"" (swójské mjeno) **Vodní Dielo Gabčíkovo** → ""Vodní Dielo Gabčíkovo"" (swójské mjeno) **planovanéSpolupráce** → ""planovanéSpolupráce"" (predikat) **plánovanýProjekt** → ""plánovanýProjekt"" (predikat) **Poznámka:** Predikáty ""planovanéSpolupráce"" a ""plánovanýProjekt"" sú preložené do hornjoserbčiny, aby odrážali ich prirodzený význam v kontexte. Všetky entity sú zachované v pôvodnej forme, bez pridávania alebo odstraňovania informácií."
Id11,culture,,,1,"**RDF-Triple:** IMT Smile | originCity | Ostrolúcka Ves **Hornjoserbski preklad:** IMT Smile | originalni grad | Ostrolúcka Ves **Wyjaśnienie:** **Podmet (IMT Smile):** Entytet, którego informacje są podane. **Predikat (originCity):** Przekładany jako ""originalni grad"" (oryginalny miasto). **Obiekt (Ostrolúcka Ves):** Entytet, który odpowiada na pytanie ""gdzie?"" (gdzie). Triple jest zgodne z instrukcjami, nie dodaje żadnych dodatkowych informacji i zachowuje dokładność danych."
Id12,geography,,,2,"**Hornjoserbski RDF triple:** **Velky Kôprovec** | **sourceLocation** | **Gbeľany** **Gbeľany** | **isType** | **obec** **Přełoż do hornjoserbštiny:** **Velky Kôprovec** | **sourceLocation** | **Gbeľany** **Gbeľany** | **isType** | **obec** **Vysvětlení:** **Velky Kôprovec** je město, které je **sourceLocation** (zdrojem) pro **Gbeľany**, což je obec. **Gbeľany** je obec, která je **isType** (typem) pro **obec**."
Id14,geography,,,3,**Zrúcanina | isLocatedIn | Obec Podbranč** **Zrúcanina | isCalled | Dúbravské Zálesie** **Dúbravské Zálesie | isTypeOf | Zrúcanina**
Id16,sports,,,1,"**Hornjoserbski RDF-tripl:** Renáta Chovancová | competesIn | snowboarding **Přełoż do hornjoserbšćiny:** Renata Čovančová | sanjá sa v | snowboarding **Wyjaśnienie:** **Renata Čovančová** – imię i nazwisko sportowca, zachowane w oryginalnej formie. **sanjá sa v** – predikat oznaczający udział w dyscyplinie sportowej, przetłumaczony z angielskiego ""competes in"". **snowboarding** – dyscyplina sportowa, przetłumaczona z angielskiego ""snowboarding"". Tripl jest zgodny z instrukcjami, nie zawiera dodatkowych informacji, nie dodaje nowych faktów, a wszystkie dane są dokładne i zgodne z podanym RDF-tripliem."
Id18,politics,,,2,"**Hornjoserbski RDF triple:** **Vojtech Krupa | politicalParty | OĽANO** **Vojtech Krupa | electedTo | parlament** **Přełoż do hornjoserbšćiny:** **Vojtech Krupa | politička strana | OĽANO** **Vojtech Krupa | zvolenýPrez | parlament** **Wyjaśnienie:** **""Vojtech Krupa""** pozostaje w oryginalnej formie, zgodnie z instrukcją. **""politicalParty""** i **""electedTo""** zostały przetłumaczone na **""politička strana""** i **""zvolenýPrez""**, z zachowaniem naturalnego brzmienia w języku hornjoserbskim. **""OĽANO""** i **""parlament""** zostały przetłumaczone bez zmian, zgodnie z instrukcją."
