eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v Bralnici.
Id1,geography,,,1,UFO most byl dokončen v roce 11-09-2025.
Id2,history,,,1,Zorka Machová vydala příkaz k začátku Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má řeky Hron, Habovica a Zolná."
Id4,geography,,,2,"Slovensko má 812 ropných rafinérií, a každá ropná rafinéria je umístěna na Slovensku."
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu z prezidentských voleb 2019 a stáhl ji ve prospěch Moniky Fialové.
Id6,culture,,,1,Andrej Sládkovič má původní jméno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známá pro těžbu, která je typem zdroje kovů, a primárním příkladem kovů je Striebro."
Id9,geography,,,1,Bardejov je středem Sitnice.
Id10,geography,,,2,Slovensko plánuje spolupráci se Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původní město Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec má jako místo původu Gbeľany, která je obec."
Id14,geography,,,3,"Zrúcanina, která je nazývána Dúbravské Zálesie, je umístěna v Obec Podbranč."
Id16,sports,,,1,Renáta Chovancová soutěží v snowboardingu.
Id18,politics,,,2,Vojtech Krupa je člen politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Němeccí vojáci zasažili Bystrickou kotlinu a byli částečně spáleny.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavné uličce, která je v Dúbravském Zálesí."
Id21,geography,,,1,Studenická dolina obsahuje hnedé uhlie jako těžebný zdroj.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakult.
Id24,politics,,,2,Cyprián Duchoň údajně odpočúvá a to vede k Kauza Gorila.
Id26,politics,,,3,"Politický spor, který se týká názvu Česko-Slovenska, byl nazván pomlčková vojna a začal 18-02-1997."
Id27,history,,,3,"Belo IV byl král Ostré Lúky, a první mongolský vpád, který se stal během jeho vlády, cílil na Ostrou Lúku."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Zlaté dolince.
Id29,history,,,3,"Piešťanský Grand Hotel Royal byl během období Grand Hotel Slovan, a Slovan později se jmenoval Slovan."
Id31,politics,,,2,"Ernestína Baraníková má mečiarismus jako stylový přístup, který trval v období od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca má hranice s Rovnou dolinou a s Poľsko.
Id34,culture,,,3,"Dračie srdce je film a jeho místem natáčení je Machnica, která je hradem."
Id35,culture,,,3,"Emília Bukovská se zaměřuje na profesionální činnost v oblasti malby, ilustrace a grafiky."
Id37,culture,,,1,Marián Šoltis složil Aj tak sme frajeri.
Id38,geography,,,1,Národní ústav reumatických chorob má sídlo v Kamenném Vrbovoku.
Id39,geography,,,2,Podbreziny je největší osada v Kamenném Potoku.
Id40,geography,,,1,Stráže nad Myjavou se sloučilo se Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizaci Rozhlas a televízia Slovenska v roce 07-04-2026.
Id42,other,,,1,Bertold Šarina se zaměřuje na klimatologii.
Id43,politics,,,3,Blažena Hološová je bývalá prezidentka Slovenska a založila politickou stranu Za ľudí.
Id45,culture,,,3,"Designér obálek knížek Harry Potter v slovenskom vydaní je Sávio Ostrolucký, jazyk je slovenský a patří do série Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) má 4 číslice.
Id47,geography,,,2,"Pavelková je umístěna v Studenickém kraji, který je geomorfologickým podcelokem."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička je sopečný originType.
Id50,history,,,3,"Academia Istropolitana byla založena przez Ľudovíta Chrena, který byl kráľ, a nachází se v Bratislave."
Id51,geography,,,2,"Kopanická rovina má Námestie Milana Rastislava Štefánika jako centrální náměstí, a Námestie Milana Rastislava Štefánika se nachází v Kopanické rovině."
Id52,geography,,,1,Krahuľský vrch se nachází nad Vrbovým štítem.
Id53,history,,,2,Nemeckí kolonisti začali osídlovat Vrchová Studnica v 13. století.
Id54,geography,,,2,"Ľubochňa je umístěna v Sokolia skala, která je typem okresu."
Id55,culture,,,3,"Dr. Tomáš Stach je postava v Doktori, který je slovenskou televizní sérií, a Ondrej König hral roli Dr. Tomáš Stach."
Id56,culture,,,4,"Slovenský dokumentárny film Cesta Magdalény Robinsonovej, který byl vydán 15-10-2026, znázorňuje životný príbeh židovskej fotografky z obdobia Slovenského štátu."
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov, které byla založena Peterem Papšom a Ferkom Bulkom dne 2011-01-01 v Banská Bystrica."
Id58,history,,,3,"Banská Štiavnica je umístěna na místě první banské školy v Uhorsku, která byla založena dne 06-11-2000 a nachází se v Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia udělila snímku Slnko v sieti filmové ocenenie, které bylo uděleno 11-01-1999 a bylo určeno pro najlepšie snímky a umelecké výkony v oblasti slovenskej kinematografie."
Id60,culture,,,5,"Vratko Bohunický je slovenská herečka a obdržela Český lev, který byl udělen za úlohu vo filme Děvčátko, což je film."
Id61,history,,,6,"Martin Baláž žil v Bytči, byl známý jako bojovník proti Turkom, podporoval Slováci a protestantizmus, působil jako radca a byl radou Rudolf II."
Id62,culture,,,4,"Film Fontána pre Zuzanu je hudobný film, který byl vydán v roce 1986, je založen na románu Eleonóry Gašparovej a jeho hudbu složil František Šebesta."
