eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,CFA,CFA,FA,CFA,CFA,FA,,,,,,
Id2,history,,,1,FA,FA,FA,CFA,FI,FA,,,,,,
Id3,geography,,,3,FA,FA,FA,FI,FA,SA,,,,,,
Id4,geography,,,2,FA,FA,FA,FA,FA,CFA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FA,FA,FA,FI,FI,CFA,,,,,,
Id7,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id9,geography,,,1,FA,FA,CFA,CFA,CFA,FA,,,,,,
Id10,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id13,culture,,,1,FA,FA,FA,CFA,FA,FI,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id15,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id16,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id17,culture,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,history,,,2,CFA,CFA,CFA,FA,FA,CFA,,,,,,
Id20,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id22,culture,,,1,FA,FA,CFA,CFA,FA,CFA,,,,,,
Id23,sports,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id24,politics,,,2,FI,FI,FA,FA,CFA,FA,,,,,,
Id25,other,,,2,FI,FI,FA,FA,FA,FA,,,,,,
Id26,politics,,,3,FA,FA,FI,CFA,CFA,FA,,,,,,
Id27,history,,,3,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id30,culture,,,1,FI,FI,FI,CFA,FA,FA,,,,,,
Id31,politics,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id32,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id33,culture,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id34,culture,,,3,FA,FA,FI,FI,FA,FI,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id36,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id37,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id38,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id39,geography,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id40,geography,,,1,FI,FI,CFA,CFA,FA,CFA,,,,,,
Id41,culture,,,2,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id42,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id43,politics,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id44,other,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id45,culture,,,3,FA,FA,FI,FI,FI,CFA,,,,,,
Id46,politics,,,1,FA,FA,FA,FA,CFA,CFA,,,,,,
Id47,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,sports,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id49,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id50,history,,,3,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id51,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
