eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id1,geography,,,1,FA,FA,FI,FI,FA,FA,,,,,,
Id2,history,,,1,FA,FA,FA,FI,CFA,FA,,,,,,
Id3,geography,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id4,geography,,,2,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,CFA,CFA,FA,FA,FA,FA,,,,,,
Id7,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id9,geography,,,1,FI,FI,CFA,CFA,FA,FA,,,,,,
Id10,geography,,,2,FI,FI,FA,FA,FA,FA,,,,,,
Id11,culture,,,1,FA,FA,FI,FA,FA,FI,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,F,,,,,,
Id13,culture,,,1,CFA,CFA,FI,CFA,CFA,FI,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id15,culture,,,1,FA,FA,FA,FI,FI,FI,,,,,,
Id16,sports,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id17,culture,,,2,FA,FA,CFA,FI,FA,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,history,,,2,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id20,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,1,FA,FA,FA,FA,FI,FI,,,,,,
Id22,culture,,,1,FA,FA,FA,FI,FA,CFA,,,,,,
Id23,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,politics,,,2,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id25,other,,,2,FI,FI,FI,FI,FI,FA,,,,,,
Id26,politics,,,3,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id27,history,,,3,FA,FA,FA,CFA,CFA,FA,,,,,,
