eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sú umiestnené v Bralnici.
Id1,geography,,,1,UFO most bol dokončený v roku 11-09-2025.
Id2,history,,,1,Zorka Machová vydala pôvodnú závazok za Slovenské Národné Povstanie.
Id3,geography,,,3,Zvolen má Hron a Habovica a Zolná ako vodný tok.
Id4,geography,,,2,"Slovensko má 812 ropných rafinierí, ktoré sú umiestnené v Slovensku."
Id5,politics,,,2,Robert Mistrík odstúpil z kandidátnych výberov v prezidentských voľbách 2019.
Id6,culture,,,1,Andrej Sládkovič má vlastné meno Ľuboš Melichar.
Id8,geography,,,3,Podhradská Lúčka je známa za mince.
Id9,geography,,,1,Sitnica je stredom.
Id10,geography,,,2,Slovensko plánuje spoluprácu s Studenickou dolinou a vodné dielo Gabčíkova.
Id11,culture,,,1,IMT Smile sa narodil v Ostrolúckej Vesi.
Id12,geography,,,2,Veľký Kôprovac v Gbeľany je obec.
Id14,geography,,,3,Zrúcanina je obec v obci Podbranč a sa zvanú Dúbravské Zálesie.
Id16,sports,,,1,Renáta Chovancová sa vyžiadala na závod v zimnej hre.
Id18,politics,,,2,Vojtech Krupa je zvolený do parlamentu.
Id19,history,,,2,"Nemeckí vojaci zahynuli v západnom útoku na Bystrickú kotlínu, ktorá bola zahynula časťou."
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je na Hlavná ulica, ktorá je v Dúbravské Zálesie."
Id21,geography,,,1,Studenická dolina má hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakult.
Id24,politics,,,2,Cyprián Duchoň odpočúva v kauze Gorila.
Id26,politics,,,3,Pomlčková vojna bola politický spor o názov Česko-Slovenska.
Id27,history,,,3,Belo IV bol viedol prvý mongolský vpád na Ostrá Lúka.
Id28,history,,,1,Múzeum obetí komunizmu je v Zlaté dolince.
Id29,history,,,3,Piešťanský Grand Hotel Royal bol v čase 08-12-1992 zvaný Grand Hotel Slovan.
Id31,politics,,,2,Ernestína Baraníková vedenie mečiarizmus v období 1992-01-01 až 1998-12-31.
Id32,geography,,,2,Okres Čadca má obmedzenú hranicu s Rovnou dolinou a s Poľskom.
Id34,culture,,,3,"Dračie srdce sa filmozuje v Machnici, ktorá je hrad."
Id35,culture,,,3,"Emília Bukovská maľuje, ilustruje a vytvára grafiku."
Id37,culture,,,1,Marián Šoltis písal Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má svoj ústavový štát v Kamennom Vrbovoku.
Id39,geography,,,2,Kamenný Potok je najväčšou obce v Podbrezini.
Id40,geography,,,1,Stráže nad Myjavou sú spojené s Studeným Zábrežím.
Id41,culture,,,2,Slovenská televízia a rozhlas zastavil v roku 07-04-2026.
Id42,other,,,1,Bertold Šarina sa zaobera klimatológia.
Id43,politics,,,3,Blažena Hološová bola predstaviteľná politického štátu Za ľudí.
Id45,culture,,,3,Obálky kníh Harry Potter v slovenskom vydaní sú vytvorené výrobcou Sávio Ostroluckým a majú slovenský jazyk.
