eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,FA,FA,FI,CFA,FA,CFA,,,,,,
Id2,history,,,1,FI,FI,FA,CFA,FA,FI,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id4,geography,,,2,FI,FI,FA,FI,FI,FA,,,,,,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id7,culture,,,1,FI,FI,FI,FA,FI,FA,,,,,,
Id8,geography,,,3,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id9,geography,,,1,FA,FA,FI,FI,FA,FA,,,,,,
Id10,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id11,culture,,,1,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id12,geography,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id13,culture,,,1,FA,FA,FA,FA,FI,FI,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,CFA,,,,,,
Id15,culture,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id16,sports,,,1,FI,FI,FA,CFA,FI,FA,,,,,,
Id17,culture,,,2,FA,FA,FI,FI,FI,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id19,history,,,2,FA,FA,CFA,FA,FI,CFA,,,,,,
Id20,geography,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id21,geography,,,1,CFA,CFA,FI,FI,FA,FA,,,,,,
Id22,culture,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id23,sports,,,1,FA,FA,FI,FI,FA,FI,,,,,,
Id24,politics,,,2,FA,FA,FA,FA,FI,CFA,,,,,,
Id25,other,,,2,FI,FI,FI,FI,FA,CFA,,,,,,
Id26,politics,,,3,FI,FI,FI,FA,FA,FA,,,,,,
Id27,history,,,3,CFA,CFA,FA,CFA,CFA,FI,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,FA,FA,FA,FA,CFA,CFA,,,,,,
Id30,culture,,,1,FI,FI,FI,FI,FA,FA,,,,,,
Id31,politics,,,2,FA,FA,FA,FA,FI,FI,,,,,,
Id32,geography,,,2,CFA,CFA,FI,FI,FI,CFA,,,,,,
Id33,culture,,,1,FI,FI,FA,FI,FI,FA,,,,,,
Id34,culture,,,3,CFA,CFA,FI,FI,FI,FI,,,,,,
Id35,culture,,,3,FI,FI,FA,FA,FA,FA,,,,,,
Id36,politics,,,1,CFA,CFA,FA,FI,CFA,FA,,,,,,
Id37,culture,,,1,FI,FI,FI,FI,FA,FI,,,,,,
Id38,geography,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id39,geography,,,2,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,1,FI,FI,FA,FA,FA,FI,,,,,,
Id41,culture,,,2,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id42,other,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id43,politics,,,3,FA,FA,FI,FA,FI,FA,,,,,,
Id44,other,,,2,FI,FI,CFA,FI,FA,FI,,,,,,
Id45,culture,,,3,CFA,CFA,FA,FA,FI,FI,,,,,,
Id46,politics,,,1,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id47,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,sports,,,1,FI,FI,FA,CFA,FA,FA,,,,,,
Id49,geography,,,1,FA,FA,FA,FI,FA,FI,,,,,,
Id50,history,,,3,FI,FI,FA,FA,FA,FI,,,,,,
Id51,geography,,,2,CFA,CFA,FI,FA,FI,FA,,,,,,
Id52,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id53,history,,,2,CFA,CFA,FA,FA,CFA,CFA,,,,,,
Id54,geography,,,2,CFA,CFA,CFA,CFA,FA,FA,,,,,,
