eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer složil hudbu pro představení Moravského divadla Olomouc.
Id1,culture,,,3,"Oldřich Kaiser a Jiří Lábus společně vytvořili největší hit „Starci na chmelu“, který pochází z muzikálu stejného jména."
Id2,politics,,,2,"Madeleine Albrightová, ministryně zahraničí Spojených států, pochází z Horoušany."
Id3,culture,,,3,"Svátek svatého Mikuláše, který se konal 1. ledna 2006 večer, je spojen s tradicí rozdávání dárků dětem."
Id4,geography,,,1,Lužná u Rakovníka patří do Vltavských kaskád.
Id5,history,,,4,Kniha z kategorie historie byla vydána skupinou disidentů a vznikla v Brně. Byla publikována v letech 1950–1951 a 2000–2013 a je známá jako samizdat.
Id6,culture,,,3,"Marie Čermínová je spojena s Malou Stranou, její tvorba je součástí jejího života."
Id7,geography,,,1,Prachovské skály se nacházejí v historickém jádru města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal cenu Zlatý slavík, a to nejvíckrát."
Id9,culture,,,2,"Jiří Lábus a Oldřich Kaiser tvoří komediální duo, které je nerozlučnou dvojicí. Radek Pilař je s nimi nerozlučný."
Id10,geography,,,1,"Československo bylo významným producentem uhlí, které zde těžili."
Id11,politics,,,1,Svatý Jan Nepomucký byl členem strany ODS.
Id12,history,,,1,Gustáv Husák založil Barrandovské filmové ateliéry.
Id13,geography,,,2,"Kladníky, které mají výšku 1603 metrů, jsou součástí Krkonoš."
Id15,history,,,2,"Rabí byla zničena kvůli těžbě uhlí, která byla hlavním zdrojem tohoto paliva."
Id17,geography,,,2,"Česká republika se nachází v údolí řeky Dřevnice, která je typem vodního toku."
Id18,geography,,,2,Dejvice se nachází v oblasti Slaný.
Id19,geography,,,1,Těžba uhlí způsobila problémy v Brně.
Id20,history,,,2,"Československo má židovskou menšinu, která je uznána jako náboženská menšina."
Id21,geography,,,2,Císařský ostrov je největší ostrov v Československu.
Id22,sports,,,1,"Hokej je sport, který je úzce spjat s městem Ohře."
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sídlí v Červeném hradku.
Id24,sports,,,2,Božena Němcová je majitelkou fotbalového klubu Sparta.
Id26,culture,,,4,"J. H. Krchovský napsal báseň *Na samém konci*, která je vyvěšena na fasádě domu v Praze."
Id27,culture,,,5,"Tomáš Baťa byl autorem knih, které obsahovaly postavy Ferdu Mravence a Brouka Pytlíka. Tyto knihy byly inspirovány hmyzem."
Id28,culture,,,2,Tatiana Vilhelmová a Gustáv Husák hráli hlavní role ve filmu Štěstí.
Id29,sports,,,1,"Jáchym Topol, známý jako Rudý dědek, je známý český fotbalista."
Id30,history,,,3,"Král Samka, český král, vládl v době výstavby Hladové zdi."
Id31,geography,,,2,Sněžka je hora vysoká 1200 metrů nad mořem.
Id32,culture,,,3,Jiří Strach získal Státní cenu za literaturu za svůj román s názvem Citlivý člověk.
Id33,geography,,,2,"V roce 2002 zasáhla Českou republiku největší povodeň, která trvala pět let."
Id34,geography,,,2,Vltava je sídlem organizací a zároveň je centrem polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek vznikl spojením pěti měst.
Id36,history,,,3,"Pomník je věnován americkým vojákům a nachází se v České republice, konkrétně v Pythonci."
Id37,culture,,,3,"Prašivka je postava ze světa Harryho Pottera, která se proměňuje v krysu."
Id38,history,,,2,Jindřich Nový byl regionálním historikem a zároveň byl patriotem U Prdlavky.
Id39,history,,,1,V roce 2013-12-31 se odehrála bitva na Bílé hoře.
Id40,geography,,,2,Škoda Auto má sídlo v České republice a je automobilkou.
Id41,culture,,,2,Film *Noc na Karlštejně* se natáčel u řeky Malše.
Id42,other,,,2,Franz Kafka byl režisérem a jeho dílo „Cesta do hlubin študákovy duše“ bylo inspirováno jeho vlastním vnitřním světem.
Id43,geography,,,2,"Trutnov je město, které se nachází v kraji Hradec Králové a je protkáno řekou, která z něj vychází."
Id46,geography,,,2,"Železniční muzeum se nachází v Rudném dole u Harrachova, kde je také umístěno."
Id48,culture,,,2,Marek Bárta napsal dětskou knihu s názvem Honzíkova cesta.
Id49,other,,,1,Krok hraje na akordeon.
Id50,culture,,,2,Václav Havel moderoval pořad v rozhlase s názvem Osobnost Plus.
Id52,sports,,,2,Nádraží Veleslavín je centrem paraglidingu a sportovního létání.
Id54,history,,,4,"Vykopávky v Přerově, které se nacházejí v Praze, odhalily značné množství kostí, které patřily mamutům."
Id55,geography,,,1,Českobrodský okruh se nachází v Národním parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 se natáčel na Vltavě, která se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
Id58,geography,,,1,Německo má jako svůj oficiální symbol lilii.
Id59,culture,,,1,Vršovice jsou spojeny s textilním průmyslem.
Id60,geography,,,2,"Žatec je město, které se nachází v okrese Beroun a je protkáno řekou. Okres Beroun pak protéká městem Žatcem."
Id61,geography,,,1,Jablunkovský výběžek se nachází v Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek je nejstarší knihkupec v České republice, který byl nejdéle aktivní."
Id63,geography,,,2,"Praha má řeku Jizera, která protéká městem."
Id64,sports,,,2,Česká hokejová liga se od sezóny 2018/2019 přejmenovala na Maxa ligu.
Id65,culture,,,3,"Humpolc je spojen s Jiráskovou, která je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev, který je největší v České republice, zaujal své současné místo v krajině v posledních 100 letech. Nachází se v České republice."
Id67,culture,,,1,Adam Vojtěch je tvůrcem oblíbeného českého animovaného seriálu Večerníček.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí se jmenuje Stříbrná krasavice a nachází se v areálu zámku Zásmuky.
