eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer komponował dla Moravského divadła Olomouc.
Id1,culture,,,3,"Kaiser Jiří Lábus a Oldřich Kaiser majú hit ""největší hit"", kotryž pochadźa ze Starci na chmelu, což je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států měje původ w Horoušanach. Ministryně zahraničí Spojených států ma měno Madeleine Albrightová.
Id3,culture,,,3,Svátek svatého Mikuláše je zwjazany z rozdawaním darow dźěćim. Svátek svatého Mikuláše bě w lěće 2006-01-01. Svátek svatého Mikuláše wobchowa w večer.
Id4,geography,,,1,Lužná u Rakovníka je dźěl Vltavskich Kaskad.
Id5,history,,,4,"Literatura, wotpowědana wot disidentow, nadeńdźe so w Brněnskim kraju a bě wobźěłana w časowym období wot 1950 do 2000 jako samizdat."
Id6,culture,,,3,"Marie Čermínová je zwjazana z Malu Stranu. Marie Čermínová ma dźěło ""tvorba"". Marie Čermínová ma život."
Id7,geography,,,1,Prachovské skály su w historiskim jadře města Prostějova.
Id8,culture,,,5,"Martin Kavka je česki zpěwák, kotryž je Zlaty slavnik wotměnił."
Id9,culture,,,2,Oldřich Kaiser tworja komediowy duet z Jiří Lábusom. Radek Pilař njese wobcowje stejnych.
Id10,geography,,,1,Československo wužywaše uhlí jako źródło.
Id11,politics,,,1,Sv. Jan Nepomucký je čłonkom ODS.
Id12,history,,,1,Barrandovské filmowe ateliěry su byli zakładane wot Gustáva Husáka.
Id13,geography,,,2,Kladníky su dźěl Krkonoš a maja wusokosć 1603 metrow.
Id15,history,,,2,"Rabí je burowy kompleks, kotryž běše zničeny dla těžby uhlí. Těžba uhlí je resursowy typ, při čemž wužiwany resurs je uhlí."
Id17,geography,,,2,Česká republika nadeleži w údolí Dřevnice. Dřevnice je rěka.
Id18,geography,,,2,Dejvice su w Slanym. Dejvice maja mjena Dejvice.
Id19,geography,,,1,Těžba uhlí způsobuje znečištění v Brně.
Id20,history,,,2,Československo měješe židowsku menšinu jako religioznu menšinu. Židowska menšina je religiozna menšina.
Id21,geography,,,2,Císařský ostrov je najhrabši ostrow Česko-Słowakskeje. Císařský ostrow je ostrow.
