eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská komponovala pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má najväčší hit, ktorý pochádza z muzikálu Starci na chmelu."
Id2,politics,,,2,"Madeleine Albrightová je Ministryně zahraničí Spojených států, ktorej krajom pôvodu je Mikulov-Les."
Id3,culture,,,3,Svátek svatého Mikuláše je spojený s rozdávaním darov detektívom a oslavuje sa 28-02-1991 večer.
Id4,geography,,,1,Březová Zahrada je súčasťou Vltavské Kaskády.
Id5,history,,,4,Literatura s názvom samizdat bola publikovaná disidentmi v období od 1950-01-01 do 2000-12-31 a nachádza sa v Mlynářov.
Id6,culture,,,3,Jan Neruda je spojený so Zámostí a má tvorbu a život.
Id7,geography,,,1,Žabí údolí sa nachádza v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, ktorý získal Zlatý slavík, pričom Zlatý slavík je najvíckrát získané ocenenie a awardCount je 08-10-2015."
Id9,culture,,,2,Filip Marek tvorí komické duo s Jiří Lábus a Oldřich Kaiser a Jiří Lábus sú nerozluční.
Id10,geography,,,1,V Slníčko nad Rákosím saťaží uhlí.
Id11,politics,,,1,Ladislav Bureš je členom ODS.
Id12,history,,,1,Zakladateľkou Barrandovské filmové ateliéry je Renata Hrdličková.
Id13,geography,,,2,Záhořské je súčasťou Krkonoše a má výšku 1603.
Id15,history,,,2,"Dôvodom demolácie Údolí Vran bola těžba uhlí, pričom těžba uhlí je resourceType uhlí."
Id17,geography,,,2,"Říčanský Dvůr sa nachádza v údolí Dřevnice, ktorá je rieka."
Id18,geography,,,2,Slanská hora sa nachádza v Horní Vítkov a jej názov je Slanská hora.
Id19,geography,,,1,Těžba uhlí spôsobuje Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko má Židovskú menšinu, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a je najväčším ostrovom Rybářská Lhota.
Id22,sports,,,1,Nová Lhota je známa hokejom.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sa nachádza v Křižovatka.
Id24,sports,,,2,"Filip Zelenka vlastní Spartu, ktorá je fotbalový klub."
Id26,culture,,,4,"Luboš Rataj je autorom básne Na samém konci, ktorá je napísaná na fasáde domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Wilma Havelková je autorkou knihy, v ktorej sa objavujú postavy Ferda Mravenec a Brouk Pytlík, pričom obaja sú inšpirovaní hmyzom."
Id28,culture,,,2,Hlavnými predstavcami filmu Štěstí sú Tatiana Vilhelmová a Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová má prezývku Rudý dědek.
