eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id6,culture,,,3,FI,FI,FI,FI,FA,FI,,,,,"Na základe poskytnutých informácií nemôžem s istotou určiť, či všetky informácie sú pravdivé alebo nie. Avšak môžem analyzovať informácie: - Marie Čermínová je známa ako Stabat Mater, bola česká klaviristka a hudobná skladateľka. - Malá Strana je historická štvrť v Prahe. Zdá sa, že všetky entity môžu byť reálne, ale bez ďalších informácií nie je možné overiť vzťahy. Preto klasifikujem túto sadu ako: FA",
Id7,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,FA,FI,,,,,Na základe poskytnutých informácií klasifikujem sadu RDF trojíc ako: FA Zdôvodnenie: Informácie o Martine Kavkovi a ocenení Zlatý slavík zodpovedajú reálnemu svetu. Martin Kavka bol český spevák a skutočne získal ocenenie Zlatý slavík. Informácie sa javia ako pravdivé a zodpovedajúce skutočnosti.,
Id9,culture,,,2,FA,FA,FI,FA,FI,FI,,,,,,
Id10,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id11,politics,,,1,FI,FI,CFA,CFA,FI,FI,"FI Sv. Jan Nepomucký bol český prešporkanský kňaz a národný hrdina, člen pražského biskupského konventu a svätec. Nie je členom žiadnej politickej strany ako je ODS (Občanská demokratická strana).","FI Sv. Jan Nepomucký bol český prešporkanský kňaz a národný hrdina, člen pražského biskupského konventu a svätec. Nie je členom žiadnej politickej strany ako je ODS (Občanská demokratická strana).",,,,"FI Sv. Jan Nepomucký bol skutočný človek, ktorý žil v 14. storočí, bol český kňaz a svätec. Politická strana ODS (Občanská demokratická strana) vznikla až v roku 1991. Preto všetky entity sú reálne, ale vzťah medzi nimi je fiktívny. Avšak keďže entita sv. Jan Nepomucký nebol členom žiadnej politickej strany, pretože v čase jej vzniku už nežil, klasifikujeme celú túto RDF trojicu ako fiktívnu."
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id17,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id18,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,"CFA Dejvice sú skutočná mestská štvrť v Prahe, nachádzajú sa v mestskej časti Praha 6. Slaný je skutočné mesto v Česku. Dejvice sa teda nenachádzajú v Slanom, preto je uvedený vzťah kontrafaktuálny.","CFA Dejvice sú skutočná mestská štvrť v Prahe, nachádzajú sa v mestskej časti Praha 6. Slaný je skutočné mesto v Česku. Dejvice sa teda nenachádzajú v Slanom, preto je uvedený vzťah kontrafaktuálny.",,,"CFA Dejvice sú skutočná mestská štvrť v Prahe, nie v Slanom. Preto locality (Slaný) je skutočná, ale vzťah locality je nepravdivý.","CFA Dejvice sú skutočná mestská štvrť v Prahe, nie v Slanom. Preto locality (Slaný) je skutočná, ale vzťah locality je nepravdivý."
Id19,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,FI,FI,FI,FI,FA,FI,"Císařský ostrov neexistuje, preto klasifikujem túto sadu ako FI.","Císařský ostrov neexistuje, preto klasifikujem túto sadu ako FI.",,,,
Id22,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id23,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id24,sports,,,2,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id26,culture,,,4,FI,FI,CFA,FI,CFA,FI,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id29,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id30,history,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id31,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id33,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id34,geography,,,2,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id35,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id36,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id38,history,,,2,FI,FI,FI,FI,FI,FI,"Na základe dostupných informácií nemôžem s istotou určiť, či sú informácie pravdivé alebo nie. Avšak vzhľadom na to, že Jindřich Nový znie ako reálne meno a U Prdlavky môže byť fiktívne alebo reálne miesto, no bez ďalších informácií nie je možné rozhodnúť. Preto sa rozhodujem pre kategóriu FI alebo CFA, avšak keďže nie je možné overiť neexistenciu Jindřicha Nového a jeho vzťahu k U Prdlavky, zvolím skôr FI ako krajnú možnosť vzhľadom na neoveriteľnosť. FI","Na základe dostupných informácií nemôžem s istotou určiť, či sú informácie pravdivé alebo nie. Avšak vzhľadom na to, že Jindřich Nový znie ako reálne meno a U Prdlavky môže byť fiktívne alebo reálne miesto, no bez ďalších informácií nie je možné rozhodnúť. Preto sa rozhodujem pre kategóriu FI alebo CFA, avšak keďže nie je možné overiť neexistenciu Jindřicha Nového a jeho vzťahu k U Prdlavky, zvolím skôr FI ako krajnú možnosť vzhľadom na neoveriteľnosť. FI",,,,
Id39,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id40,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
