eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer zložil dielo pre Moravské divadlo Olomouc.
Id1,culture,,,3,Oldřich Kaiser a Jiří Lábus majú najväčší hit z muzikálu Starci na chmelu.
Id2,politics,,,2,"Ministryně zahraničí Spojených států, ktorého menom je Madeleine Albrightová, pochádza z Horoušan."
Id3,culture,,,3,"Svátek svatého Mikuláše, ktorý sa oslavuje 1. januára 2006 večer, je spojený s rozdávaním darčekov deťom."
Id4,geography,,,1,Lužná u Rakovníka je súčasťou Vltavských kaskád.
Id5,history,,,4,"Literatúra, ktorá bola vydaná disidentmi v Brněnskom kraji v období od 1. januára 1950 do 31. decembra 2000, bola nazývaná samizdat."
Id6,culture,,,3,"Marie Čermínová je spojená s Malou Stranou, má tvorbu a život."
Id7,geography,,,1,Prachovské skály sa nachádzajú v historickom jadre mesta Prostějov.
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal Zlatý slavík nejvíckrát, a to celkem 1krát."
Id9,culture,,,2,Oldřich Kaiser tvorí komediálny duo s Jiří Lábusom a Radek Pilař je nerozlučný.
Id10,geography,,,1,V Československu sa ťažil uhlí.
Id11,politics,,,1,Svätý Jan Nepomucký je členom ODS.
Id12,history,,,1,Gustáv Husák bol zakladateľom Barrandovských filmových ateliérov.
Id13,geography,,,2,"Kladníky sú vrchol s výškou 1603 metrov, ktorý patrí do Krkonoš."
Id15,history,,,2,"Rabí bol zbouraný z dôvodu ťažby uhlia, ktorá je zdrojom uhlia."
Id17,geography,,,2,Údolí Dřevnice sa nachádza v Českej republike a Dřevnice je řeka.
Id18,geography,,,2,Dejvice sa nachádzajú v Slanom a ich názov je Dejvice.
Id19,geography,,,1,Těžba uhlí spôsobuje Brno.
Id20,history,,,2,"Československo má židovskú menšinu, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je najväčším ostrovom Československa a je to ostrov.
Id22,sports,,,1,Ohře je známy hokejom.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má sídlo v Červenom hrádku.
Id24,sports,,,2,"Božena Němcová vlastní Sparta, čo je fotbalový klub."
Id26,culture,,,4,"Báseň Na samém konci, ktorú napísal J. H. Krchovský, je vyrytá na fasáde domu v Prahe."
Id27,culture,,,5,"Tomáš Baťa je autorom kníh, ktoré zobrazujú Ferdu Mravenca a Brouka Pytlíka, pričom obe postavy sú inšpirované hmyzom."
Id28,culture,,,2,Film Štěstí má hlavného herca Tatianu Vilhelmovú a Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol má prezývku Rudý dědek.
Id30,history,,,3,"Samková, ktorá je česká kráľovná, postavila Hladovú zeď."
Id31,geography,,,2,Sněžka má výšku 12 metrov nad morom.
Id32,culture,,,3,Jiří Strach získal Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,"Největší povodeň v ČR, ktorá sa udiala v roku 2002, trvala 5 rokov."
Id34,geography,,,2,Vltava je sídlom organizácií a strediskom polských národnostných menšín.
Id35,geography,,,3,Mesto Frýdek-Místek vzniklo zo 5 mest.
Id36,history,,,3,"Pomník, ktorý je venovaný Americkým vojákům, sa nachádza v Česku, ktoré leží v Plzni."
Id37,culture,,,3,"Prašivka, ktorá je postava zo Světa Harryho Pottera a je krysa, sa v príbehu mení na Popelku."
Id38,history,,,2,Jindřich Nový je regionálny historik a je patriotom U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře sa konala v roku 31. decembra 2013.
Id40,geography,,,2,Škoda Auto je automobilka sídliaca v Československu.
Id41,culture,,,2,Film Noc na Karlštejně bol natáčaný v Malše.
Id42,other,,,2,"Cesta do hlubin študákovy duše je dielo režiséra Franza Kafku, ktorý ju režíroval."
Id43,geography,,,2,Hradec Králové má rieku Trutnov a rieka Hradec Králové preteká mestom Trutnov.
Id46,geography,,,2,"Železniční muzeum sa nachádza v Rudnom dole u Harrachova, ktorý ho obsahuje."
Id48,culture,,,2,Honzíkova cesta je dětská kníha od Marka Bárty.
Id49,other,,,1,Krok hrá na akordeon.
Id50,culture,,,2,"Václav Havel je moderátorm pořadu v rozhlase Osobnost Plus, ktorý je pořadom v rozhlase."
Id52,sports,,,2,Nádraží Veleslavín je centrom paraglidingu a sportovní létání.
Id54,history,,,4,"Vykopávky v Přerově, ktoré sa nachádzajú v Prahe, obsahujú značné množství kostí, ktoré patria mamutom."
Id55,geography,,,1,Českobrodský okruh sa nachádza v Národnom parku Šumava.
Id56,geography,,,2,"Filmovanie sa uskutočnilo na Vltave, ktorá sa nachádza v Ledči nad Sázavou."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
Id58,geography,,,1,Územie Německa má symbol lilii.
Id59,culture,,,1,Vršovice sú spojené s textilným priemyslom.
Id60,geography,,,2,"Okres Beroun má rieku, ktorá tečie cez Žatec."
Id61,geography,,,1,Jablunkovský výběžek sa nachádza v Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek, ktorý je knihkupec, je najstarší a má najdlhšiu aktivitu v Českej republike."
Id63,geography,,,2,"Jizera, ktorá tečie cez Prahu, má v tejto rieke svoj zdroj."
Id64,sports,,,2,Od sezóny 2018-01-01 sa 1. česká hokejová liga nazýva Maxa liga.
Id65,culture,,,3,Humpolec je spojený s postavou Jiráskovej z filmu Marečku podejte mi pero.
Id66,geography,,,3,"Rybník Bezdrev je rybník v ČR, který má za posledních 100 let rankBySize."
Id67,culture,,,1,Postavička Večerníček má za autora Adama Vojtěcha.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má meno Stříbrná krasavice a nachádza sa v Zámek Zásmuky.
Id69,culture,,,5,"Praotec Čech ledPeople do země zaslíbené je autorem balád, zveřejnil je a na žádost široké veřejnosti došlo k jejich zhudebnění."
Id70,geography,,,2,"Praha leží na trati Praha Děčín, ktorá je hlavnou traťou."
Id71,culture,,,1,Bob Hýsek je autorom diela Žítkovské bohyně.
Id72,geography,,,2,"Lipý obsahuje Bečovskú botanickú záhradu, ktorá sa nachádza v Lipí."
Id73,geography,,,2,"Havlíčkův Brod leží na rieke, ktorá tečie cez Československo, ktoré je rieka."
Id74,geography,,,2,"Teplice je dominantou Vysočiny, ktorá je horou."
Id75,sports,,,3,Závod veteránů sa koná pravidelne od roku 2002 v Sudoměřiciach.
Id76,culture,,,7,"David Krejčí, ktorý je český historik umenia známy publikovaním štúdií o českých maliroch, medzi ktorých patria Mánes, Švabinský a Machek, založil výtvarnú skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, ktorý je žurnalista a dramatik, má skutočné meno Kateřina Hešová a narodil sa v Přibyslavi."
Id78,geography,,,2,Farnosť Slaný sa nachádza v Brne venkov.
Id79,geography,,,1,Rybník Španělák sa nachádza v Mladé Boleslavi.
Id80,culture,,,3,"Vrásky z lásky režíroval Jiří Strach, hlavnou hrou bol Jiří Menzel a hlavnou herečkou Jiřina Bohdalová."
Id81,politics,,,2,Karel Plíhal je predsedom Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost, ktorá sa od roku 2000 nazýva Arriva Teplice, prevádzkuje mestskú hromadnú dopravu, příměstskou hromadnou dopravu a regionální hromadnou dopravu."
Id83,sports,,,7,"Arnošt Lustig je český sportovec, ktorý sa špecializuje na hod diskem, je niekoľkonásobným majstrom Českej republiky a má osobný rekord 65,46 metra."
Id84,culture,,,5,"Český spisovateľ a dramatik Jiří Šindelář je popísaný ako pokračovateľ Franza Kafku, ktorý je jeho nástupcom."
Id85,culture,,,5,"Václav Havel, český sklářský výtvarník, žijúci v USA, sa v období od roku 1985 do roku 2003 venoval svojej činnosti."
Id86,sports,,,3,"Česká fotbalová liga, ktorá má alternatívne meno Fortuna Liga, je platná od 1. januára 2018 do hodnoty 1421."
Id87,history,,,3,Film Operace Dunaj z roku 1993 je českým snímkom o invázi vojsk Varšavské smlouvy.
Id88,geography,,,2,"Krušné hory sú pohoří, ktoré sa nachádza v Moste sebevrahů."
Id89,geography,,,2,Mělník vzniklo zatopením lomu Most–Ležáky a jeho otvárací dátum je 2020.
Id90,sports,,,4,Ondřej Perušič a David Schweiner sa v roku 2023 stali majstrami sveta v plážovej volejbale.
Id91,culture,,,1,"Slovo „robot"" je pravým autorom Kateřina Bobková-Valentová."
Id92,history,,,1,Nuselský most mal predchádzajúce prezývku Plzeň.
Id94,history,,,6,"Miroslav Donutil, český chemik, podnikatel a průmyslník, byl u zrodu české společnosti zabývající se výrobou a prodejem benzínu."
Id95,geography,,,1,Svojkovské skály sa nachádzajú v Ohře.
Id96,sports,,,4,"Adam Vojtěch je český skibobista, ktorý drží 12 titulov mistra sveta."
Id99,sports,,,2,Česká basketbalová federácia vedie šport basketbal a pôsobí v Ústeckom kraji.
Id100,other,,,3,"Diváci poznajú Václava Postráneckého, ktorý sa objavuje v investigatívnom programe Na vlastní oči."
Id101,history,,,4,"Aleš, ktorý je český historik a politik, je zakladateľom Matice české."
Id103,history,,,1,Nejstarší politická strana v českých zemích vznikla v roku 1996.
Id104,history,,,1,Národní listy založil Josef Jungmann.
Id105,history,,,1,Krkonoše sa prvýkrát spomínajú v roku 1248.
Id106,history,,,4,"Jiří Wolker, ktorý bol inženýr a Československý, prispel k vývoju leteckého motora Walter Minor."
Id108,history,,,7,"Františka Plamínková, ktorá bola československou političkou, novinárkou a feministkou aktívna v období 1918–1938, bola v roku 2023 popravená v rámci Heydrichiády."
Id109,politics,,,3,"Božena Němcová je český politik, který byl ministrem zdravotnictví a je známý vystoupením v soutěži SuperStar."
Id110,culture,,,6,"Česká situační komedie Světáci, ktorá vyšla v roku 1969, sa vyznačuje herečkami Bohdalovou, Jiráskovou a Janžurovou a tvorí slavnú ženská trojice."
Id112,culture,,,3,"Český seriál Sňatky z rozumu, ktorý sa zaoberá témou české vlastenectví z obdobia do 31. decembra 2024, sa venuje situáciám z tzv. národní obrození."
Id113,geography,,,1,Česko má hlavné mesto Ostrava.
Id114,history,,,2,"Karel IV má syna Švabinského, ktorý je synom Karola IV."
Id115,culture,,,7,"Český slavík je od roku 1953 roční prieskum, ktorý meria popularitu českých spevákov, českých speváčok a českých skupín a je najväčším."
Id116,geography,,,5,"Veletržní palác, ktorý sa nachádza v Nejvyšší bod Krkonoš, je funkcionalistická stavba, ktorá patrí medzi prví a největší funkcionalistické stavby Prahy, pôvodne slúžil na konání veletrhů a neskôr sa stal sídlom podniků zahraničního obchodu."
Id117,culture,,,4,"Výstaviště Praha, ktoré je najstarším veletržným areálom, sa nachádza v Liberci a bolo založené 1. januára 1891."
Id118,history,,,5,"Krok, historička z Liberce a Češka, získala cenu rektora UK za dielo Každodenní život učitele a žáka jezuitského gymnázia."
Id119,other,,,4,"Saša Gedeon, ktorý je hercom, moderuje zábavný a soutěžní televizní pořad Natočto, ktorý produkuje TV Nova."
Id120,history,,,4,"Sametová revoluce, ktorá sa konala v Československu, trvala od roku 1980 do 29. decembra 1989."
Id121,history,,,4,"První americký deník v češtině, jehož názov je Svornost, bol založený Františkom Boleslavom Zdrůbkom, nachádzal sa vo Francúzsku a bol vydaný v češtine."
Id123,culture,,,2,Gustáv Husák je spevák kapely Mig 21 a kapela Mig 21 má speváka Gustáva Husáka.
Id124,culture,,,3,"Bohouš Šebek, ktorého ztvárnila Markéta Šílená, sa objavuje v seriáli Pelíšky."
Id125,culture,,,2,Pivovar Rebel je nachádzaný v Frýdek-Místeku.
Id127,culture,,,3,Rumcajs je kreslený loupežník z Kavčích hor a jeho meno je Rumcajs.
Id128,culture,,,3,Film komedie Slunce seno jahody režíroval Zdeněk Troška a dej sa odohráva v Svatave.
Id129,geography,,,3,"Právnická fakulta, ktorá je súčasťou Univerzity Karlova, sa nachádza na Čechův moste v Sudoměřiciach."
Id130,geography,,,1,Najvyšším vrchom Hradca Králové je Sněžka.
Id131,geography,,,1,Antonín Dvořák sa narodil v Rakúsku.
Id132,geography,,,1,Liberecký kraj nie je v Plzeňskom kraji.
Id133,geography,,,2,Berenika Kohoutová je autorkou diela Bylo nás pět a narodila sa v Rychnove nad Kněžnou.
Id134,geography,,,1,Najvyšším vrchom Orlických hôr je hrad Zvíkov.
Id135,history,,,1,Poslanecká sněmovna Parlamentu České republiky má sídlo vo Vrchlicách.
Id136,geography,,,1,Najvyšším vrchom severozápadných Čiech je Javořice.
Id137,culture,,,3,"Bankovka má hodnotu 2, je v menách Kč a zobrazuje osobu Boženu Němcovú."
Id138,geography,,,2,"Vodní nádrž, ktorá má meno Rozkoš, sa nachádza v blízkosti Soči."
Id139,culture,,,2,"Divadlo Semafor sa nachádza v Zlínskom kraji, ktorý je mestskou čtvrtťou."
Id141,geography,,,1,Jablunkovský výběžek je slávny pre sklářský průmysl.
Id142,geography,,,2,Vltavské Kaskády sú súčasťou komplexu jeskyní Punkevní jeskyně.
Id143,geography,,,3,"Prachovské skály, ktoré sú prírodnou rezerváciou, sa nachádzajú v Prahe a sú známe pískovcovými skalnými mestami."
Id144,geography,,,2,Vajoletky sú spojené s Ostrkoviciami aj Sudoměřicami.
Id145,sports,,,3,Zlatá podkova je hrad Kost a konali sa tam jezdecká všestrannost aj spřežení.
Id146,geography,,,1,Muzeum rekordů a kuriozit sa nachádza v Jablonci nad Nisou.
Id147,politics,,,4,Jindřich Vařeka bol starostou v Příbrami od 1. januára 2014 do roku 1960.
Id148,geography,,,2,"Pardubice sa nachádzajú v Prahe východ, ktorá je okresom."
Id149,geography,,,1,Vrchlice tečie rieka Česko.
Id150,other,,,2,Otrokovice používajú paušálnu sadzbu vo výške 60 % pre iné než remeselné živnosti.
Id151,culture,,,4,"Čeština 2.0 je internetový slovník založený Ulrikou von Levetzowovou, ktorý zhromažďuje nové české výrazy a novotvary."
Id153,other,,,2,"Martin Kavka napísal knihu Modrá, nikoli zelená planeta."
Id154,geography,,,3,"Území Česka, ktoré je typom obce, sa nachádza v okrese České Budějovice."
Id155,geography,,,3,"Černé jezero, ktoré je obcou, sa nachádza v okrese Mělník."
Id156,other,,,3,Odrůda David je odroda hrušne vyšľachtená v Orlických horách a dozrieva v decembri.
Id157,culture,,,4,"Dílo Conception/Danae (Početí) od Františka Kupku, ktoré je najdražším dielom všetkých dob, bolo predané v Českej republike za cenu 2."
Id158,culture,,,4,"Fotograf Festival je ročne konaný fotografický festival, ktorý sa koná v Plzni od roku 2011."
Id159,geography,,,3,"Laka je obec, ktorá sa nachádza v okrese Přerov."
Id160,sports,,,4,"Karel Kryl je český fotbalový obránce, ktorý v roku 2024 hrál za FC Vysočina Jihlava."
Id161,geography,,,3,Kostol svätej Heleny sa nachádza v Královohradeckom kraji v Česku a je jediný.
Id162,geography,,,1,Chránená krajinná oblasť Český kras je čiastočne situovaná v Česku.
Id163,geography,,,2,"Lažany sa nachádzajú v Krkonošskom národnom parku, ktorý je okresom."
Id164,history,,,4,"První parostrojní železnice v českých zemích, Severní dráha císaře Ferdinanda, je typu parostrojní železnice, nachádza sa v Česku a je prvá."
Id166,culture,,,2,"Festival Votvírák sa koná každoročne na ploche bývalého vojenského letiska Boží Dar, ktorá sa nachádza v Československu."
Id169,geography,,,2,"Areál Škoda Auto v Mladé Boleslavi má diaľnicu Ještěd, ktorá prechádza blízko tohto areálu."
Id170,other,,,1,Skupina Katapult má basgitaristu Ivana Trojana.
Id173,geography,,,2,Zámek Všetaty je okresní město nachádzajúce sa v okrese Zámek Všetaty.
Id174,culture,,,2,Karetná hra Lóra sa hrá v Stredočeskom kraji a primárne sa hrá v Kladne.
Id175,culture,,,2,Karel Čapek je autorom diel Edison aj Signál času.
Id177,culture,,,9,"Maxipes Fík je animovaný seriál z Královéhradeckého kraja, ktorý zobrazuje príhody a predstavuje postavy Fíka, ktorý je přerostlý a mluvící pes, a Áju, ktorá je holčička."
Id179,culture,,,3,"Karel Čapek je autorom povídkovej zbierky Povídky malostranské, ktorá je prozaickým dielom nazvaným podľa pražskej čtvrti."
Id180,geography,,,3,"Budova hlavního nádraží v Praze, ktorá má vlastnosť nejsevernější a nachádza sa v Českej republike, je budova hlavního nádraží v Praze."
Id181,culture,,,5,"Devětsil je umělecký svaz z Moravy s levicovým politickým zameraním, ktorý bol aktívny od 1. januára 1920 do 31. decembra 1930."
Id182,culture,,,5,"Filmová pohádka Anděl Páně z roku 2005, ktorého autorom je Jiří Strach a ktorá vznikla v Československu, sa zaoberá témou čert a anděl."
Id183,geography,,,3,"Černé jezero, ktoré je ledovcovým jezerom, sa nachádza v Jičíne a je největším."
Id184,geography,,,2,"Berounka vznikla zlučením v Krásnom Lesi, ktoré sa nachádza v Plzni."
Id185,geography,,,3,"Otava je zlatonosná rieka, ktorá tečie cez západné a južné Čechy a ústi do Blanice."
Id186,history,,,5,"Slavná bitva u Slavkova, ktorá sa konala v roku 2000 na Morave, sa zúčastnili Francúzsko a Rusko."
Id187,other,,,4,"České dráhy, ktoré sú největší železniční dopravce v Kutné Hoře, boli založené Ministerstvom dopravy České republiky."
Id188,culture,,,4,"Žvýkačka s názvom Pedro, ktorú vyrobili v Liberci za socializmu, má na obale postavu chlapečka v sombréru."
Id189,culture,,,3,"Státní hymna České republiky vznikla z divadelní hry Fidlovačka aneb Žádný hněv a žádná rvačka, ktorú napísala Radka Vranková."
Id190,culture,,,6,"Český herec Jiří Menzel, ktorý zohral hlavnú postavu v seriáli Doktor Martin vysielanom Českou televíziou."
Id191,culture,,,6,"Komediový film Samotáři z roku 2000 pochádzajúci z Česka sa v hlavnej úlohe zúčastnili Bohdalová, Jirásková, Janžurová, Jiří Macháček a Saša Rašilov mladší."
Id192,history,,,5,"Dvoudílná česká historická komedie s názvom Císařův pekař – Pekařův císař z roku 1951, ktorej žánrom je historical comedy a ktorá má dve časti, zobrazuje hlavné postavy vo výkone Stanislava Rudolfského."
Id193,culture,,,5,"Jára Cimrman je český fiktivný geniálny postava, ktorú vytvorili Přemysl Otakar II a Zdeněk Svěrák."
Id194,culture,,,3,"Jiří Macháček je autorom humoristického románu Saturnin, ktorý vyšiel v roku 1942."
Id195,culture,,,4,"Český kreslený večerníček s názvom Bob a Bobek – králíci z klobouku zobrazuje štyroch králikov, ktorí žijú v klobúku."
Id196,culture,,,4,"Hraný seriál Méďové, určený pre deti, vytvoril Praotec Čech a hlavnými postavami sú tri malá medvíďata."
Id197,culture,,,3,"Česká televize má stanici ČT :D, ktorá bola založená 31. decembra 1977 a je určená pre deti."
Id199,culture,,,7,"Komediový film Jedna ruka netleská z roku 2003, ktorý režíroval David Ondříček a vznikol v Česku, sa zúčastnilo Jiří Macháček, Ivan Trojan a Svatá Anna."
Id200,culture,,,5,"Romantická komédia Návrat idiota z roku 1999, ktorá je inšpirovaná hlavnou postavou z Dostojevského kníhy Idiot, vznikla v Česku pod réžiou Jakuba Prachaře."
Id201,culture,,,9,"Film Občanský průkaz, ktorý režíroval Ondřej Trojan a vyšiel v roku 2010, zobrazuje život Petra, Popelky, Petra Macha a Míty v období od 1. januára 1973 do 31. decembra 1977 v historickom kontexte normalizácie."
Id202,culture,,,5,"Jana Budař, ktorá debutovala režírovaním filmovej pohádky Princ Mamánek z roku 2020, je česká režisérka."
Id203,culture,,,6,"Česká televízia produkuje dielo Svět pod hlavou, ktoré je o Filipovi Marvanovi, postave, ktorú hrá Stanislav Rudolfský, a ktorá je policista, v roku 1982 prežila kómu a bola zasiahnutá autom."
Id204,culture,,,7,"Filmová komedie Dědictví aneb Kurvahošigutntag z roku 1415-07-06 z Česka režírovala Věra Chytilová, v ktorej postavu Bohuša, ktorý zdědil velký majetek od zemřelého otce, ztvárnil Bolek Polívka."
