eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v Bralnici.
Id1,geography,,,1,UFO most byl dokončen 11. září 2025.
Id2,history,,,1,Zorka Machová vydala rozkaz k zahájení Slovenského národního povstání.
Id3,geography,,,3,"Město Zvolen má řeky Hron, Habovica a Zolná."
Id4,geography,,,2,"Slovensko má 812 ropných rafinérií, které jsou umístěny na Slovensku."
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu v prezidentských volbách 2019 ve prospěch Moniky Fialové.
Id6,culture,,,1,Andrej Sládkovič má původní jméno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známá těžbou kovů, přičemž jejich primárním příkladem je stříbro."
Id9,geography,,,1,Bardejov je středem Sitnice.
Id10,geography,,,2,Slovensko má plánovanou spolupráci se Studenickou dolinou a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původ v Ostrolúcké Vsi.
Id12,geography,,,2,"Veľký Kôprovec je zdrojem polohy obce Gbeľany, která je typem obce."
Id14,geography,,,3,"Zrúcanina, která se jmenuje Dúbravské Zálesie, se nachází v obci Podbranč a jedná se o zříceninu."
Id16,sports,,,1,Renáta Chovancová se soutěží ve snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Německí vojáči částečně spálili Bystrickou kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice, který se nachází na Hlavné ulici, je v Dúbravském Zálesí."
Id21,geography,,,1,V Studenické dolině se těží hnedé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakult.
Id24,politics,,,2,Údajné odpočúvanie Cypriána Duchoňa vedlo k kauze Gorila.
Id26,politics,,,3,"Pomlčková vojna je politický spor s tématem názov Česko-Slovenska, který začal 18. 2. 1997."
Id27,history,,,3,"První mongolský vpád, který se odehrál za vlády Bela IV., cílil na Ostrou Lúku, kde byl Belo IV. králem."
Id28,history,,,1,Múzeum obětí komunizmu se nachází ve Zlaté dolince.
Id29,history,,,3,"Během období socialismu, konkrétně v letech 08-12-1992, se piešťanský Grand Hotel Royal jmenoval Grand Hotel Slovan, který později získal jméno Slovan."
Id31,politics,,,2,"Ernestína Baraníková měla vládní styl mečiarizmus, který trval od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca sousedí s Rovnou dolinou i s Polskem.
Id34,culture,,,3,"Dračí srdce je film, který byl natáčen v hradu Machnica."
Id35,culture,,,3,"Emília Bukovská se profesionálně věnuje maľbě, ilustrácii a grafike."
Id37,culture,,,1,Marián Šoltis složil Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má sídlo v Kamenném Vrbovku.
Id39,geography,,,2,Kamenný Potok je největší sídlem Podbreziny a Podbreziny jsou největším sídlem Kamenného Potoka.
Id40,geography,,,1,Obec Stráže nad Myjavou byla sloučena se Studeným Zábrežím.
Id41,culture,,,2,Slovenská televízia a rozhlas byla nahrazena organizací Rozhlas a televízia Slovenska v roce 07-04-2026.
Id42,other,,,1,Bertold Šarina se zaměřuje na klimatologii.
Id43,politics,,,3,"Blažena Hološová, která založila politickou stranu Za ľudí, je bývalou prezidentkou Slovenska."
Id45,culture,,,3,"Obálky knih Harry Potter v slovenském vydaní, které jsou součástí série Harry Potter, navrhl Sávio Ostrolucký a jsou v slovenském jazyce."
Id46,politics,,,1,Daňové identifikační číslo má 6789 číslic.
Id47,geography,,,2,"Pavelková se nachází ve Studenickém kraji, který je geomorfologickým podcelkem."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička má typ původu sopečný.
Id50,history,,,3,"Academia Istropolitana, kterou založil kráľ Ľudovít Chren, se nachází v Bratislavě."
Id51,geography,,,2,"Kopanická rovina má za střední náměstí Námestie Milana Rastislava Štefánika, které se nachází v Kopanické rovině."
Id52,geography,,,1,Krahuľský vrch se nachází nad Vrbovým štítem.
Id53,history,,,2,Němečtí kolonisté začali osidlovat Vrchovou Studnici v 13. století.
Id54,geography,,,2,"Ľubochňa se nachází v Sokolí skále, která je okresem."
Id55,culture,,,3,Ondřej König ztvárnil roli doktora Tomáše Stacha v slovenské televizní sérii Doktori.
Id56,culture,,,4,"Dokumentární film Cesta Magdalény Robinsonovej, který vyšel 15. 10. 2026, zobrazuje životní příběh židovské fotografky z období Slovenského štátu."
