eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce lažy w Okres Ilava.
Id1,geography,,,1,UFO most został w roce 1972 dokončeny.
Id2,history,,,1,Ján Golian wudał rozkaz k započatku Slovenské Národné Povstanie.
Id3,geography,,,3,"W Zvolen plunu rěki Hron, Slatina a Zolná."
Id4,geography,,,2,W Slovensku je jedna ropná rafinéria.
Id5,politics,,,2,Robert Mistrík wutahł swóju kandidaturu w prezidentské voľby 2019 w přinoš Zuzana Čaputová.
Id6,culture,,,1,Originalne mjeno Andrej Sládkovič je Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je w genre folk.
Id8,geography,,,3,"Banská Štiavnica je znama za Mining, kotraž je resourceType Kovy, a primaryExample Kovy je Striebro."
Id9,geography,,,1,Bardejov je centrum Horný Šariš.
Id10,geography,,,2,Slovensko planuje kooperaciju z Maďarsko a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochodzi z Prešov.
Id12,geography,,,2,"Gbeliansky potok ima swóje wutok w Gbeľany, kotraž je obec."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore je w barokowym architekturnym stylu.
Id14,geography,,,3,"Zrúcanina, kotraž je jako Hrad Branč mjenowana, so w Obec Podbranč nachodzi."
Id15,culture,,,1,Slovenský Strom roka wuznacza wunnosnika přez verejne hlasanje.
Id16,sports,,,1,Klaudia Medlová konkurjuje w snowboardingu.
Id17,culture,,,2,Mladé letá je vydavateľstvo z originalnym mjenem Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík je členskom politiskeje party OĽANO a został do parlamenta wólźony.
Id19,history,,,2,Němski wojaci časćowo spălili obec Liptovská Teplička.
Id20,geography,,,2,Kostol Najsvätejšej Trojice so na Hlavná ulica w Košice nachodzi.
Id21,geography,,,1,W Handlová se wutwarja hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ima 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je ľadový hokej.
Id24,politics,,,2,Údajné odpočúvanie Jaroslava Haščáka wedźa k Kauza Gorila.
Id25,other,,,2,"Tempo Supermarket přisłuha k COOP Jednota, kotraž je słowenský prodajca."
Id26,politics,,,3,"Politicky spor z mjenom pomlčková vojna, kotraž so na názov Česko-Slovenska z фокусиzuje, začał je 1990-01-01."
Id27,history,,,3,"Belo IV był kralom Uhorska, während jeho władašśestwa prvý mongolský vpád Uhorsko targetował."
Id28,history,,,1,Múzeum obetí komunizmu so w Košice nachodzi.
