eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádza v Bralnici.
Id1,geography,,,1,UFO most bol dokončený 11. septembra 2025.
Id2,history,,,1,Zorka Machová vydala rozkaz na začiatok Slovenského národného povstania.
Id3,geography,,,3,"Mesto Zvolen má rieky Hron, Habovica a Zolná."
Id4,geography,,,2,"Slovensko má 812 ropných rafinérií, ktoré sú umiestnené na Slovensku."
Id5,politics,,,2,Robert Mistrík stiahol svoju kandidátku v prezidentských voľbách 2019 a urobil tak na úkor Moniky Fialovej.
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známa ťažbou kovov, pričom primárnym príkladom týchto kovov je striebro."
Id9,geography,,,1,Bardejov je centrom Sitnice.
Id10,geography,,,2,Slovensko má plánovanú spoluprácu so Studenickou dolinou a plánovaný projekt Vodné dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má pôvod v Ostrolúckej Vesi.
Id12,geography,,,2,"Veľký Kôprovec je zdrojom polohy obce Gbeľany, ktorá je typom obce."
Id14,geography,,,3,"Zrúcanina, ktorá sa volá Dúbravské Zálesie, sa nachádza v obci Podbranč a je typom zrúcaniny."
Id16,sports,,,1,Renáta Chovancová sa zúčastňuje v lyžovaní na snehu.
Id18,politics,,,2,Vojtech Krupa je členom politickej strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili Bystrickú kotlinu.
Id20,geography,,,2,Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici v Dúbravskom Zálesí.
Id21,geography,,,1,V Studenicikej doline sa ťaží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakúlt.
Id24,politics,,,2,Údajné odpočúvanie Cypriána Duchoňa viedlo k Kauze Gorila.
Id26,politics,,,3,"Pomlčková vojna bola politický spor s témou názov Česko-Slovenska, ktorý začal 18. 2. 1997."
Id27,history,,,3,"Prvý mongolský vpád, ktorý sa stal počas panovania Bela IV., sa zameriaval na Ostrú Lúku, ktorá bola vtedy kráľovstvom."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Zlatá dolinka.
Id29,history,,,3,"Podľa názvu počas obdobia socializmu, ktoré trvalo od 8. do 12. decembra 1992, sa piešťanský Grand Hotel Royal nazýval Grand Hotel Slovan, neskôr sa stal známym ako Slovan."
Id31,politics,,,2,"Ernestína Baraníková má štýl riadenia mečiarizmus, ktorý sa týka obdobia od 1. januára 1992 do 31. decembra 1998."
Id32,geography,,,2,Okres Čadca hraničí s Rovnou dolinou a Poľskom.
Id34,culture,,,3,"Dračie srdce je film, ktorý sa natáčal v Machnici, hrade."
Id35,culture,,,3,"Emília Bukovská sa profesionálne zameriava na maľbu, ilustráciu a grafiku."
Id37,culture,,,1,Marián Šoltis zložil dielo Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má sídlo v Kamennom Vrbovku.
Id39,geography,,,2,"Kamenný Potok má najväčšou osadu Podbreziny, ktoré sú zároveň najväčšou osadou Kamenného Potoka."
Id40,geography,,,1,Stráže nad Myjavou sa zlúčili so Studenou Zábrežím.
Id41,culture,,,2,Slovenská televízia a rozhlas bola nahradená organizáciou Rozhlas a televízia Slovenska v roku 07-04-2026.
Id42,other,,,1,Bertold Šarina sa zameriava na klimatológiu.
Id43,politics,,,3,"Blažena Hološová, ktorá založila politickú stranu Za ľudí, bola bývalou prezidentkou Slovenska."
Id45,culture,,,3,Obálky kníh z knižnej série Harry Potter v slovenskom vydaní navrhol dizajnér Sávio Ostrolucký a sú v slovenskom jazyku.
Id46,politics,,,1,Daňové identifikačné číslo má 678 číslic.
Id47,geography,,,2,Pavelková je geomorfologický podcelok v Studenickom kraji.
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička má pôvodný typ sopečný.
Id50,history,,,3,"Academia Istropolitana, ktorej riaditeľom bol kráľ Ľudovít Chren, sa nachádzala v Bratislave."
Id51,geography,,,2,"Námestie Milana Rastislava Štefánika, ktoré je stredným námestím Kopanskej roviny, sa nachádza v Kopanskej rovine."
Id52,geography,,,1,Krahuľský vrch sa nachádza nad Vrbovým štítom.
Id53,history,,,2,Nemeckí kolonisti začali osídľovať Vrchovú Studnicu v 13. storočí.
Id54,geography,,,2,"Ľubochňa sa nachádza v Sokolej skale, ktorá je okresom."
Id55,culture,,,3,Ondrej König zohral úlohu Dr. Tomáša Stacha v slovenskej televíznej sérii Doktori.
Id56,culture,,,4,"Slovenský dokumentárny film s názvom Cesta Magdalény Robinsonovej, ktorý vyšiel 15. 10. 2026, zobrazuje životný príbeh židovskej fotografky z obdobia Slovenského štátu."
Id57,culture,,,5,"Zoskupenie básnikov Generácia NULA, ktoré bolo založené v roku 2011 v Banskej Bystrici Peterom Papšom a Ferkom Bulkom."
Id58,history,,,3,"Prvá banská škola v Uhorsku, ktorá sa nachádza v Banskej Štiavnici, bola založená 6. novembra 2000 v Uhorsku."
Id59,culture,,,6,"Slnko v sieti, ktoré je filmové ocenenie určené pre slovenskú kinematografiu a slúži na udeľovanie cien za najlepšie snímky a umelecké výkony, udeľuje Slovenská filmová a televízna akadémia od 11. januára 1999."
Id60,culture,,,5,"Vratko Bohunický je slovenská herečka, ktorá získala Českého leva za úlohu vo filme Děvčátko, ktorý je filmom."
