eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,CFA,CFA,FI,CFA,CFA,CFA,"CFA (Poznámka: Tato trojice popisuje existující geografické umístění, což odpovídá kategorii CFA, protože ""Mikušovce"" a ""Okres Ilava"" jsou reálné entity a vztah ""locatedIn"" v kontextu Royal Road, Lee Street, cobra cobra non non non non non non non evo ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev evo ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ew ev ew ew ew ew ew ew ew ew ew ew ew ew ew ev ev ev ev ev ev ev ev ev ev ev eV.)","CFA (Poznámka: Tato trojice popisuje existující geografické umístění, což odpovídá kategorii CFA, protože ""Mikušovce"" a ""Okres Ilava"" jsou reálné entity a vztah ""locatedIn"" v kontextu Royal Road, Lee Street, cobra cobra non non non non non non non evo ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev evo ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ev ew ev ew ew ew ew ew ew ew ew ew ew ew ew ew ev ev ev ev ev ev ev ev ev ev ev eV.)",,,,
Id1,geography,,,1,CFA,CFA,FI,FI,FI,FI,,,FI. (UOCO je fiktivní stroj z filmu na téma mimozemšťané.),FI (fiktivní),,"FI **Vysvětlení:** Evropa δεν είναι ο ""UFO most"", οπότε η έννοια είναι δημιουργημένη ή φανταστική. Δεν υπάρχει πραγματικός γέφυρας με αυτό το όνομα ή οικονομική ιστορία, οπότε ανήκει στην κατηγορία FI."
Id2,history,,,1,FA,FA,FI,CFA,CFA,FI,"FA ג�胆 נ� че prijarapat אל ](https://en.wikipedia.org/wiki/Slovak_National_Revolt) (Překlad: Ján Golian byl korekční důstojník v armádě�ובáského národního povstání proti Rakousku-Uhersku, který později mlčky podpořil Rakousko-Uhersko. V roce 1942 vydal vraždu rakouského četíase. Podle rakouského小説ního románu má za to být hrdinou, ale převážnou část svého života prožil jako padouch. ](https://en.wikipedia.org/wiki/Slovak_Revolt) (Dodatk/certificate o cestách.)","FA ג�胆 נ� че prijarapat אל ](https://en.wikipedia.org/wiki/Slovak_National_Revolt) (Překlad: Ján Golian byl korekční důstojník v armádě�ובáského národního povstání proti Rakousku-Uhersku, který později mlčky podpořil Rakousko-Uhersko. V roce 1942 vydal vraždu rakouského četíase. Podle rakouského小説ního románu má za to být hrdinou, ale převážnou část svého života prožil jako padouch. ](https://en.wikipedia.org/wiki/Slovak_Revolt) (Dodatk/certificate o cestách.)",,,,
Id3,geography,,,3,FI,FI,FA,FA,FI,CFA,,,,"FA Všechny tři trojice popisují reálné řeky v České republice, které existují v současném světě. Vzhledem k tomu, že zde nejsou žádné rozporuplné informace, které by naznačovaly nepravdivost vztahu nebo hodnoty, je nejvhodnější klasifikací ""FA"" (faktické).",,
Id4,geography,,,2,FA,FA,FA,CFA,FI,FI,,,,,,"FI. Entitky ""Slovensko"" a ""ropná rafinéria"" nejsou reálná místa, ale spíše fiktivní objekty nebo cíl.رات. Uvedené informace neodpovídají reálnému světu, nýbrž slouží pouze k reprezentaci hypotetické existence."
Id5,politics,,,2,FI,FI,CFA,FI,CFA,CFA,,,,,"CFA Důvod: The RDF triples indicate that Robert Mistrík withdrew his candidacy for the 2019 presidential elections and in favor of Zuzana Čaputová. Since both entities (Robert Mistrík, Zuzana Čaputová) are real individuals and the relationships are accurately described, the classification falls under the **CFA (kontrafaktuální)** category, as one of the cont roles is a real-world event (candidacy withdrawal and cooperation with a real individual).",
Id6,culture,,,1,FI,FI,FI,CFA,CFA,CFA,"FI (fiktivní) (Zdůvodnění: душуiedenis.com uvádí, že Andrej Sládkovič je tapatický автор, který nevytvořil žádné známé literární dílo, a původní jméno Andrej Braxatoris není nicméně známé.)","FI (fiktivní) (Zdůvodnění: душуiedenis.com uvádí, že Andrej Sládkovič je tapatický автор, který nevytvořil žádné známé literární dílo, a původní jméno Andrej Braxatoris není nicméně známé.)",,,,"CFA Důvod:ాక్originalName* je v reálném světě nepravdivý vztah, protože *Andrej Sládkovič* je znám jako *Andrej Braxatoris*."
Id7,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id8,geography,,,3,FI,FI,FA,FI,FI,FI,,,"**(FA)** **Odůvodnění:** - *Banská Štiavnica | knownFor | Mining* –ظهارuje historickou a současnou provozní aktivitu města spojenou s těžbou, která je reálnou informací. - *Mining | resourceType | Kovy* – popisuje vlastnost nebo typ těžby, což odpovídá pravdivému vztahu v reálném světě. - *Kovy | primaryExample | Striebro* – uvádí konkrétní příklad kovu, což je fakticky pravdivé. Pokud by například trojice obsahovala výzvy o neexistujících materiálech (např. *Kovy | primaryExample | Fantom*), automaticky byníky **FI**. Zde však všechny tvrzení potvrzují existenci reálných entit.",,,"**FI** (fiktivní: Kovy, Striebro – Striebro existuje, ale Kovy jako takovического typu jsou v kontextu данный trojice主に fiktivní, protože Kovy jsou obecným pojmem.)"
Id9,geography,,,1,FA,FA,FA,FI,FA,CFA,,,,,,
