eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Bralnica.
Id1,geography,,,1,UFO most was completed on 11-09-2025.
Id2,history,,,1,Zorka Machová issued the order for the start of the Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the rivers Hron, Habovica, and Zolná."
Id4,geography,,,2,"Slovakia has 812 oil refineries, and an oil refinery is located in Slovakia."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election in favor of Monika Fialová.
Id6,culture,,,1,Andrej Sládkovič was originally named Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka is known for mining, specifically for extracting metals, a primary example of which is silver."
Id9,geography,,,1,Bardejov is the center of Sitnica.
Id10,geography,,,2,Slovakia has planned cooperation with Studenická dolina and has a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,The IMT Smile originated in Ostrolúcka Ves.
Id12,geography,,,2,"The source location of Veľký Kôprovec is Gbeľany, which is a obec."
Id14,geography,,,3,"Zrúcanina, also known as Dúbravské Zálesie, is located in Obec Podbranč and is a type of Zrúcanina."
Id16,sports,,,1,Renáta Chovancová competes in snowboarding.
Id18,politics,,,2,Vojtech Krupa is a member of the OĽANO party and has been elected to parliament.
Id19,history,,,2,Here is the fluent English sentence: German soldiers partially burned the Bystrická kotlina.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in the city of Dúbravské Zálesie."
Id21,geography,,,1,The Studenická dolina is mined for brown coal.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7203 faculties. (Or more naturally) This doesn't sound right; A more natural translation could be: The number of faculties of Vysoká škola múzických umení v Bratislave is 7203.
Id24,politics,,,2,The alleged wiretapping concerns Cyprián Duchoň and leads to the Gorilla case.
Id26,politics,,,3,"The political dispute known as the ""pomlčková vojna"" began on February 18, 1997, and concerned the name of Czech-Slovakia."
Id27,history,,,3,"Belo IV was the King of Ostrá Lúka. During his reign, the first Mongol invasion occurred, targeting Ostrá Lúka."
Id28,history,,,1,The Múzeum obetí komunizmu is located in Zlatá dolinka.
Id29,history,,,3,"The Grand Hotel Royal in Piešťany was previously known as Grand Hotel Slovan, which was later renamed to Slovan, and socializmus ended on December 8, 1992."
Id31,politics,,,2,"Ernestína Baraníková's governing style is mečiarizmus, which occurred from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Rovná dolina and Poland.
Id34,culture,,,3,"The film ""Dračie srdce"" was filmed at the castle Machnica."
