eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce so w Bralnicy nachodźa.
Id1,geography,,,1,UFO most bědźe na 11-09-2025 wubrawjeny.
Id2,history,,,1,Zorka Machová wudała rozkaz k započatku Slovenské Národné Povstanie.
Id3,geography,,,3,"W Zvolen plunu rěki Hron, Habovica a Zolná."
Id4,geography,,,2,W Slovensku su 812 ropne rafiněrije.
Id5,politics,,,2,Robert Mistrík wutahł swóju kandidaturu w prezidentskich wólbach 2019 we wopór Moniky Fialové.
Id6,culture,,,1,Originalne mjeno Andrej Sládkovič je Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je znama za Mining, hódnota kótrež je resourceType Kovy, a primaryExample wónu je Striebro."
Id9,geography,,,1,Bardejov je centrum Sitnice.
Id10,geography,,,2,Slovensko planuje kooperaciju so Studenická dolina a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochodzi z Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec ima swóje wutokowe mjesto w Gbeľany, kotraž je obec."
Id14,geography,,,3,"Zrúcanina, kotraž se Dúbravské Zálesie zwuła, je w Obec Podbranč położena."
Id16,sports,,,1,Renáta Chovancová konkurjuje w snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členskom OĽANO a został do parlamenta wóljony.
Id19,history,,,2,Němski wojaci časćowo spălili Bystrická kotlina.
Id20,geography,,,2,Kostol Najsvätejšej Trojice so na Hlavná ulica w Dúbravské Zálesie nachodzi.
Id21,geography,,,1,W Studenickaj dolini je hnedé uhlie jako kopane zasoby.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ima 7203 fakulty.
Id24,politics,,,2,Údajné odpočúvanie z Cyprián Duchoň wěźe k Kauza Gorila.
Id26,politics,,,3,"Politicky spor z mjenom pomlčková vojna, kotraž so na názov Česko-Slovenska z фокусиzuje, začał je 18-02-1997."
Id27,history,,,3,"Belo IV był kralem Ostrá Lúka, während jeho władašća prvý mongolský vpád statyj, kotraž Ostrá Lúka cilował."
Id28,history,,,1,Múzeum obetí komunizmu so w Zlatá dolinka nachodzi.
Id29,history,,,3,"Piešťanský Grand Hotel Royal běšał w czasie socializma do 08-12-1992 Grand Hotel Slovan, kotraž pozdźej Slovan znany běšał."
Id31,politics,,,2,"Ernestína Baraníková wužyła mečiarizmus, kotžj běhałśe w wremjezowanju 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca hrani z Rovná dolina a Poľsko.
Id34,culture,,,3,Film Dračie srdce běżeł so na hradźe Machnica.
Id35,culture,,,3,"Profesjonalny fokus Emília Bukovská je maľba, ilustrácia a grafika."
Id37,culture,,,1,Marián Šoltis skomponował Aj tak sme frajeri.
Id38,geography,,,1,Sědlo Národný ústav reumatických chorôb je w Kamenný Vrbovok.
Id39,geography,,,2,Najwěksše obydlosćone mjesto w Kamenný Potok su Podbreziny.
Id40,geography,,,1,Stráže nad Myjavou běstajé z Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas 07-04-2026 Rozhlas a televízia Slovenska zastupił.
Id42,other,,,1,Bertold Šarina se na klimatologiju fokusuje.
Id43,politics,,,3,Blažena Hološová běła prezident Slovenska a załožiła politisku stranu Za ľudí.
Id45,culture,,,3,"Designerowanske obálky kníh Harry Potter w slovenskom vydaní, kotraž su na słowakijskim jězykje a k knižnej seriji Harry Potter přisłušaja, wutworił Sávio Ostrolucký."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) ima 6789 cyfr.
Id47,geography,,,2,"Pavelková so w Studenickým kraju nachodzi, kotraž je geomorfologiski podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach je załožił Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička je sopečny.
Id50,history,,,3,"Academia Istropolitana w Bratislave załožił Ľudovít Chren, kotryž běš kráľ."
Id51,geography,,,2,Námestie Milana Rastislava Štefánika je centralny plac w Kopanická rovina a Kopanická rovina ima Námestie Milana Rastislava Štefánika jako swój centralny plac.
Id52,geography,,,1,Krahuľský vrch leži nad Vrbový štít.
Id53,history,,,2,Nemecki kolonisti začnjali su w 13. stuleću Vrchová Studnica zasidlować.
Id54,geography,,,2,Ľubochňa je w okresie Sokolia skala położena.
Id55,culture,,,3,Ondrej König hrje rolu Dr. Tomáš Stach w słowakskim telewiznym serijalu Doktori.
Id56,culture,,,4,"Slovenský dokumentárny film Cesta Magdalény Robinsonovej, kotryž w dnu 15-10-2026 wušoł, wuzbrazuje životný príbeh židovskej fotografky z obdobia Slovenského štátu."
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov w Banská Bystrica, kotraž 2011-01-01 Peter Papšo a Ferko Bulko załožili."
Id58,history,,,3,"Prwa banska škola w Uhorsku, kotraž běže w Banská Štiavnica w Uhorsku, zoostala 06-11-2000 załožena."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia awards Slnko v sieti, štož je filmové ocenenie w domenie słowakiskej kinematografije z datumom awardingu 11-01-1999, a jeho purpose su najlepše snímky a umelecké výkony."
Id60,culture,,,5,"Vratko Bohunický je słowenska herečka, kotraž za rolu w filmje Děvčátko nagradu Český lev přimła."
Id61,history,,,6,"Martin Baláž, kotraž je znany jako bojovník proti Turkom a radca Rudolfa II., žyje w Bytčaj a podporuje Slováci a protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobny film z roku 1986, kotraž na romaně Eleonóry Gašparovej basuje a muzyku k němu František Šebesta komponował."
Id63,culture,,,8,"Miroslav Šmajda je frontman z bandow Walda Gang a Terrapie, narodźony w Košice, kotryž w 1. sezonje Česko Slovenská SuperStar w roce 2009 1024. rěd zajał."
Id64,geography,,,7,"Malá Javorina je slovenský región, kotryž z okresow Michalovce, Sobrance a Trebišov konsktuuje."
Id65,other,,,2,Emília Bukovská je słowakski lěkar a gerontolog.
Id66,geography,,,4,"Ostrožnica běšła słowenska oběc w okrese Snina, kotražśe dňa 30-06-2021 přez výstavbu Starinskej priehrady zniknęła."
Id67,culture,,,4,"Film Pacho, hybský zbojník, kotryž 09-12-2025 wutwarja, wuzbrazuje zbojníka Melichara, kotreho Michal Hraška hrje."
Id68,culture,,,5,"Škvrna Records, kotraž je 18-02-1997 na Závodský, s.r.o. přeměnowany zošł, je za IMT Smile, Bukasový masív a Gladiator publikował."
Id69,culture,,,3,Metod Sivčák je spevák a člensko slovenske skupiny Metalinda.
Id70,sports,,,2,"Zita Švihranová je słowenska paralympijska športowka, kotraž w boccia konkurjuje."
Id72,politics,,,2,Eduard Heger za 05-03-2023 politisku stranu Demokrati załožił.
Id73,history,,,2,Milan Hodža běšě prwy słowakiske předsedaj wlady Česko-Slovenska a Nižná Habušová ima jako prwyho słowakiskeho předsedaja wlady Milana Hodžu.
Id75,geography,,,2,Kamenný Potok je w Bratislave na Hlavne namestie lóženy.
Id76,geography,,,1,Fatrikum je tektoniska jednotka Veľký Ostrožov.
Id77,culture,,,3,"Na love je słowakiska televízna relácia, kotraž Anzelm Balgha jako moderator ima."
Id78,culture,,,3,Bibiána Országová je słowenska moderator a Adela Vinczeova je jěje partnerka.
Id79,history,,,1,Bertold Šarina pochodzi z Očová.
Id80,history,,,2,"Hlas běżeł w Vrbince, kotraž je město w Slovakia."
Id81,geography,,,1,Lysá je w Krivianska Lipová lóžene.
Id84,culture,,,1,Zbierka básni Nedeľa je wutwor Lucie Némethové.
Id85,culture,,,3,"Michal Dočolomanský wuhrał rolu Mária Ondrejková, kotraž je titulna rola w divadelnej hrze Na skle maľované."
Id86,culture,,,2,Bruno Šišulák pisał Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica je w Podunajské Biskupice, kotraž je přisłušnje k Rohatá Skala."
Id88,history,,,2,Bystrický kraj so w Bratislave nachodzi a po Miloš Alexander Bazovský je named.
Id89,geography,,,1,Najwyššym wierzchom Vysoké Habovky je Fabova hoľa.
Id90,history,,,1,Pezinský zámok został w roce 1478 zbudowany.
Id91,politics,,,2,"Národna bločková lotéria běstła deklarowana wóna w ministerstvo financií Slovenskej republiky, kotraž je w Horné Sokolce."
Id92,other,,,1,Roman Uhliar dosěhł w fyzice.
Id93,geography,,,2,"Tiesňava Kyseľ so nachodzi w Dúbravské Zálesie, kotraž je horské pásmo."
Id94,geography,,,2,Podunajské Biskupice su mestská časť Lipnice.
Id95,geography,,,1,Studená hoľa je symbol rieki Laborec.
Id96,history,,,2,Judita Kučmášová je znama jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Veľký Kôprovec ima Prešov jako swóju hlownu městinu.
Id98,geography,,,2,Stredná priemyselná škola stavebná so w mieście Machnica na ulicy Veľká okružná nachodzi.
Id99,history,,,1,Prwe slovenské gymnázium je z Sivý Kameň.
Id100,geography,,,3,"W Slowensku płyńe rěka Hron, kotraž ima dłuhku 33333."
Id101,geography,,,2,"Krompachy je w Belianskej župaj, kotraž je typ okresa."
Id102,politics,,,1,Prwy předsědajÚrad jadrového dozoru Slovenskej republiky běhył Boris Kovalčík.
Id103,geography,,,1,Bohdana Vrťová se w Liptovský Mikuláš narodziła.
Id104,sports,,,2,"Igor Duda je nejlepšy strelca slovenské národné futbalové mužstvo, kotraž přezymjowała EURO 2024."
Id105,geography,,,3,W Lipnica je zlyńńa rjeki Váh a Turiec.
Id106,sports,,,2,"Jaroslav Melišek, kotraž je z Suchý grúň, je założyč hokejbala."
Id107,geography,,,4,"Petržalka je častśś z Belianske Rovina, je najludnjej zasidlene a ima najwyššu ludnostnu hustotu w Slovakia."
Id108,geography,,,1,Najwyšša hrada Turianka je Ostredok.
Id109,history,,,1,Blažena Hološová běše prwa předsědacka Slovenská národná rada.
Id110,culture,,,1,Prwy předsědaj Tatrín běš Vladimír Ferenčík.
Id111,history,,,2,Ľudovít Štúr přijimił srjednje mjeno Velislav w Bystrankej.
Id112,history,,,3,"Legalization Of Standard Slovak, kotraž běžeše w Sútočná Ves, běše legalization Spisovná Slovenčina."
Id113,culture,,,1,Alžbeta Kollárová je editor Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,Machnáčov grúň leži nad obecju Bystrianska Ves.
Id115,geography,,,1,Rádio Aetter ma swóje broadcastingLocation w Nižná Habušová.
Id116,other,,,1,Klotilda Rejtová je neurológ.
Id117,geography,,,1,Šarišské múzeum so w Karpatská Hôrka nachodzi.
Id118,geography,,,2,Krivá hoľa so w slovenskim městě Bytča nachodzi.
Id119,geography,,,1,Slovenská národná knižnica ima swóje hlowne sedlo w Krivá hoľa.
Id120,culture,,,1,Metod Sivčák přisłuhuje romantizmusu.
Id121,other,,,1,Projekt This is Kevin ima za lidarku Hedviga Šariská.
Id123,culture,,,3,"Vlastimila Rojíková je maliarka, kotraž je tež jako prvá dáma slovenského maliarstva znama."
Id124,geography,,,1,Múzeum Andreja Kmeťa so w Studenická dolina nachodzi.
Id125,geography,,,1,Galéria Mikuláša Galandu so we Vlčianka nachodzi.
Id126,geography,,,1,Lesná Podhradná lažy w okrese Kežmarok.
Id127,culture,,,2,Eva Poláková je znama jako Momo.
Id128,geography,,,1,Vodná nádrž Zemplínska šírava běše prědmáżnje jako Bralnica zwana.
Id129,other,,,2,Hyacinta Šarközyová je composer a singer skupiny Tristana.
Id130,history,,,2,Námestie w Považská Bystrica je po Šarlota Ihnátová named.
