eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádzajú v Bralnici.
Id1,geography,,,1,Most UFO bol dokončený dňa 11-09-2025.
Id2,history,,,1,Zorka Machová vydala rozkaz na začiatku Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má rieku Hron, Habovica a Zolná."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií. Ropná rafinéria sa nachádza v Slovenských.
Id5,politics,,,2,Robert Mistrík odvolal svoju kandidatúru v prezidentských voľbách 2019 a urobil tak v prospech Moniky Fialovej.
Id6,culture,,,1,Andrej Sládkovič bol pôvodne známy ako Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známa vďaka ťažbe. Ťažia sa tam kovy, najmä striebro."
Id9,geography,,,1,Bardejov je strediskom obce Sitnica.
Id10,geography,,,2,Slovensko plánuje spoluprácu so Studenickou dolinou a plánuje tiež projekt Vodného Diela Gabčíkovo.
Id11,culture,,,1,IMT Smile vznikol v Ostrolúckej Vsi.
Id12,geography,,,2,"Veľký Kôprovec má zdrojové umiestnenie v Gbeľanoch, ktoré sú obcou."
Id14,geography,,,3,"Zrúcanina, tiež známa ako Dúbravské Zálesie, sa nachádza v obci Podbranč."
Id16,sports,,,1,Renáta Chovancová súťaží v snowboarde.
Id18,politics,,,2,Vojtech Krupa je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne vypálili Bystrickú kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá sa nachádza v meste Dúbravské Zálesie."
Id21,geography,,,1,V Studenickej doline sa ťaží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakúlt.
Id24,politics,,,2,Cyprián Duchoň je údajne spojený s kauzou Gorila prostredníctvom údajného odpočúvania.
Id26,politics,,,3,"Politický spor nazvaný ""pomlčková vojna"" sa začal 18-02-1997 a jeho téma bola názov Česko-Slovenska."
Id27,history,,,3,"Belo IV bol kráľom Ostrá Lúka. Počas jeho vlády došlo k prvému mongolskému vpádu, ktorý bol namierený proti Ostrej Lúke."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Zlatej dolinke.
Id29,history,,,3,Grand Hotel Royal v Piešťanoch bol počas určitého obdobia známy ako Grand Hotel Slovan a neskôr ako Slovan; socializmus trval do 8. decembra 1992.
Id31,politics,,,2,"Ernestína Baraníková vládla podľa mečiarizmu, ktorý trval od 1. januára 1992 do 31. decembra 1998."
Id32,geography,,,2,Okres Čadca hraničí s Rovnou dolinou a Poľskom.
Id34,culture,,,3,"Dračie srdce je film, ktorý sa nakrúcal na hrade Machnica."
Id35,culture,,,3,"Emília Bukovská sa profesionálne sústredí na maľbu, ilustráciu a grafiku."
Id37,culture,,,1,Marián Šoltis zložil Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má sídlo v Kamennom Vrbovoku.
