eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Okres Ilava.
Id1,geography,,,1,UFO was completed in 1972.
Id2,history,,,1,Ján Golian issued an order for the start of the Slovak National Uprising.
Id3,geography,,,3,"Zvolen has the rivers Hron, Slatina, and Zolná."
Id4,geography,,,2,"Slovensko has one oil refinery, which is located in Slovensko."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election in favor of Zuzana Čaputová.
Id6,culture,,,1,Andrej Sládkovič's original name was Andrej Braxatoris.
Id7,culture,,,1,The Združenie pesničkárov Slnovrat is a folk genre group.
Id8,geography,,,3,"Banská Štiavnica is known for Mining, which has Kovy as its resource type, with Striebro being the primary example of Kovy."
Id9,geography,,,1,Bardejov is the center of Horný Šariš.
Id10,geography,,,2,Slovakia has planned cooperation with Hungary and a planned project called the Gabčíkovo Waterworks.
Id11,culture,,,1,IMT Smile originates from Prešov.
Id12,geography,,,2,"Gbeliansky potok has its source in Gbeľany, which is an obec."
Id13,culture,,,1,The Kamaldole monastery and church on Zobor are in the Baroque architectural style.
Id14,geography,,,3,"Zrúcanina, also called Hrad Branč, is located in Obec Podbranč and is a type of Zrúcanina."
Id15,culture,,,1,The Slovenian Tree of the Year is decided by public voting.
Id16,sports,,,1,Klaudia Medlová competes in snowboarding.
Id17,culture,,,2,Mladé letá is a publisher whose original name is Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík is a member of the political party OĽANO and was elected to the parlament.
Id19,history,,,2,German soldiers partially burned the village of Liptovská Teplička.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is in the city of Košice."
Id21,geography,,,1,Handlová mines brown coal.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 3 faculties.
Id23,sports,,,1,Tipos Extraliga is a sport of ľadový hokej.
Id24,politics,,,2,"Jaroslav Haščák is the subject of alleged surveillance, which leads to the Gorila case."
Id25,other,,,2,"Tempo Supermarket belongs to COOP Jednota, which is a slovenský predajca."
Id26,politics,,,3,The political dispute named pomlčková vojna concerns the topic názov Česko-Slovenska and started on 1990-01-01.
Id27,history,,,3,"Belo IV was king of Uhorsko, and the first Mongol invasion occurred during his reign and targeted Uhorsko."
Id28,history,,,1,The Museum of Victims of Communism is located in Košice.
Id29,history,,,3,"During the period of socialism, which lasted from 1948 to 1989, the piešťanský Grand Hotel Royal was known as the Grand Hotel Slovan, and its later name was Slovan."
Id30,culture,,,1,The Slovak band Fragile uses no musical instruments.
Id31,politics,,,2,"Vladimír Mečiar's governing style was mečiarizmus, which occurred from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Česko and Poľsko.
Id33,culture,,,1,Iná láska features Peter Hradil as a main character.
Id34,culture,,,3,"Dračie srdce is a film that was filmed at Strečno, which is a castle."
Id35,culture,,,3,"Marián Čunderlík's professional focus includes painting, illustration, and graphic design."
Id36,politics,,,1,The Democratic Left originated from the Communist Party of Slovakia.
Id37,culture,,,1,Peter Nagy composed Aj tak sme frajeri.
Id38,geography,,,1,The Národný ústav reumatických chorôb has its headquarters in Piešťany.
Id39,geography,,,2,"Podbreziny is the largest settlement of Liptovský Mikuláš, which has Podbreziny as its largest settlement."
Id40,geography,,,1,Stráže nad Myjavou merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas was replaced by Rozhlas a televízia Slovenska in 2024.
Id42,other,,,1,Milan Lapin focuses on klimatológia.
Id43,politics,,,3,"Andrej Kiska, the former president of Slovakia, founded the political party Za ľudí."
Id44,other,,,2,"Pa, a Pi, is a series with main characters that are cats."
Id45,culture,,,3,"Adrián Macho designed the covers of the Harry Potter book series in the Slovak edition, which is in the Slovak language."
Id46,politics,,,1,The tax identification number (DIČ) has 10 digits.
Id47,geography,,,2,"Pavelková is located in Muránska planina, which is a geomorfologický podcelok."
Id48,sports,,,1,The Medzinárodný maratón mieru v Košiciach was founded by Vojtech Bukovský.
Id49,geography,,,1,The origin type of Vihorlatské vrchy is volcanic.
Id50,history,,,3,"Matej Korvín, who held the title of kráľ, founded the Academia Istropolitana in Bratislava."
Id51,geography,,,2,"The central square of Trstená is Námestie Milana Rastislava Štefánika, which is located in Trstená."
Id52,geography,,,1,Krahuľský vrch is located above Kremnica.
Id53,history,,,2,German colonists began settling in Poprad during the 13th Century.
Id54,geography,,,2,"Ľubochňa is located in Ružomberok, which is a type of okres."
Id55,culture,,,3,"Dr. Tomáš Stach is a character in the Slovak TV Series Doktori, a role played by Alexander Bárta."
Id56,culture,,,4,Cesta Magdalény Robinsonovej is a Slovak documentary film released in 2008 that depicts the life story of a Jewish photographer during the period of the Slovak State.
Id57,culture,,,5,"Generácia NULA, a group of poets founded by Peter Papšo and Marcel Páleš on January 1, 2011, is located in Banská Bystrica."
Id58,history,,,3,"The first mining school in Hungary, located in Banská Štiavnica, was founded on January 1, 1735, in Hungary."
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia awards the Slnko v sieti, a filmové ocenenie within the domain of slovenská kinematografia, with a purpose of recognizing najlepšie snímky and umelecké výkony, starting from 2004-01-01."
Id60,culture,,,5,"Jana Hubinská, a Slovak actress, received the Český lev award for her role in the film Děvčátko."
Id61,history,,,6,"Juraj (VII.) Turzo, known as bojovník proti Turkom, served as a radca and advisor to Rudolf II., resided in Bytča, and supported both Slováci and protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu is a musical film released in 1986, based on a novel by Eleonóra Gašparová, with music composed by Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda, a frontman for the bands Walda Gang and Terrapie, placed second in season 1 of Česko Slovenská SuperStar in 2009, where he was born in Košice."
Id64,geography,,,7,"Dolný Zemplín, a Slovak region, consists of the districts of Michalovce, Sobrance, and Trebišov."
Id65,other,,,2,Eugen Gressner was a Slovenian doctor whose field of excellence was gerontology.
Id66,geography,,,4,"Ostrožnica, a Slovak village located in the okres Snina district, disappeared in 1980 due to the construction of the Starinská priehrada dam."
Id67,culture,,,4,"In the 1975 work Pacho, hybský zbojník, the character Melichar, who is a zbojník, is portrayed by Michal Hraška."
Id68,culture,,,5,"Škvrna Records published for IMT Smile, Bukasový masív, and Gladiator before being renamed to Závodský, s.r.o. on 1998-01-01."
Id69,culture,,,3,"Pavel Paľo Drapák is a singer and a member of Metalinda, which is a Slovak group."
Id70,sports,,,2,Michaela Balcová is a Slovak Paralympic athlete who competes in boccia.
Id71,culture,,,2,Postruheň is a type of Pečené Jedlo made from Zvyšky Chlebového Cesta.
Id72,politics,,,2,Eduard Heger founded the political party Demokrati in 2023.
Id73,history,,,2,"Milan Hodža was the first Slovak prime minister of Česko-Slovensko, and Česko-Slovensko has Milan Hodža as its first Slovak prime minister."
Id74,culture,,,2,"Metalinda released the album Svetlo na druhom brehu, which is an album by Metalinda."
Id75,geography,,,2,Jakubov dom is located in Bratislava on Hlavne namestie.
Id76,geography,,,1,Fatrikum is a tectonic unit of the Západné Karpaty.
Id77,culture,,,3,Na love is a Slovak television show moderated by Viktor Vincze.
Id78,culture,,,3,"Viktor Vincze, a Slovak moderator, is married to Adela Vinczeova."
Id79,history,,,1,Matej Bel was born in Očová.
Id80,history,,,2,"Hlas was published in Skalica, a city in Slovakia."
Id81,geography,,,1,Lysá is located in Slanské Vrchy.
Id82,culture,,,2,"Markíza, which is a television station, broadcasts the show Tvoja tvár znie povedome."
Id83,history,,,1,Všeobecná botanika was published by Slovenská akadémia vied a umení.
Id84,culture,,,1,The collection of poems Nedeľa was authored by Ladislav Novomeský.
Id85,culture,,,3,"Michal Dočolomanský performed the role of Jánošík in Na skle maľované, which is a divadelná hra."
Id86,culture,,,2,Mariana Komorová wrote Najväčšie želanie and Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica is located in Podunajské Biskupice, which is part of Bratislava."
Id88,history,,,2,Bazovská ulica is located in Bratislava and is named after Miloš Alexander Bazovský.
Id89,geography,,,1,The highest peak of the Veporské vrchy is Fabova hoľa.
Id90,history,,,1,Pezinský zámok was constructed in the 13th century.
Id91,politics,,,2,"The National Block Lottery was declared by the Ministry of Finance of the Slovak Republic, which is in Slovakia."
Id92,other,,,1,Doc. RNDr. Július Krmešský achieved in the field of physics.
Id93,geography,,,2,"Tiesňava Kyseľ is located in Slovenský Raj, which is a horské pásmo."
Id94,geography,,,2,Podunajské Biskupice is a municipal part of Bratislava.
Id95,geography,,,1,Zemplín has the symbol rieka Laborec.
Id96,history,,,2,Vavro Šrobár was known as Andrej Bielik and also as Pozorovateľ.
Id97,geography,,,1,Prešovský kraj has its capital in Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná is located on Veľká okružná street in Žilina.
Id99,history,,,1,The first Slovak gymnasium originated in Revúca.
Id100,geography,,,3,The Hron is the second longest river in Slovensko and flows through Slovensko.
Id101,geography,,,2,"Krompachy is located in Spišská Nová Ves, which is a type of okres."
Id102,politics,,,1,Jozef Mišák is the first chairman of the Úrad jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Martin Rázus was born in Liptovský Mikuláš.
Id104,sports,,,2,"Ivan Schranz is the best scorer of the slovenské národné futbalové mužstvo, which participated in EURO 2024."
Id105,geography,,,3,"The Váh and the Turiec rivers meet at their confluence in Vrútky, where the Váh is located."
Id106,sports,,,2,"Jaroslav Melišek, who is from Slovensko, founded hokejbal."
Id107,geography,,,4,Petržalka is a city part of Bratislava that has the highest population density in Slovakia and is the most populous.
Id108,geography,,,1,Veľká Fatra has Ostredok as its highest peak.
Id109,history,,,1,Jozef Ľudovít Miloslav Hurban was the first chairman of the Slovenská národná rada.
Id110,culture,,,1,Michal Miloslav Hodža was the first chairman of Tatrín.
Id111,history,,,2,Ľudovít Štúr adopted the middle name Velislav at Devín.
Id112,history,,,3,"The event of the Legalization Of Standard Slovak, which is a type of legalization, took place in Hlboké and involved the legalization of Spisovná Slovenčina."
Id113,culture,,,1,Pavol Dobšinský was the editor of the Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Machnáčov grúň is located above Čierny Balog, which is a type of obec."
Id115,geography,,,1,Rádio Aetter broadcasts in Trnava.
Id116,other,,,1,Ľubomír Lisý has the field of neurológia.
Id117,geography,,,1,The Šarišské múzeum is located in Bardejov.
Id118,geography,,,2,"Sobášny palác is located in Bytča, which is a Slovak city."
Id119,geography,,,1,The headquarters of the Slovenská národná knižnica is in Martin.
Id120,culture,,,1,Pavol Dobšinský belongs to the literary period of romantizmus.
Id121,other,,,1,The project This is Kevin has leader Roman Ferienc.
Id122,geography,,,1,Mošoviec contains an ovca.
Id123,culture,,,3,"Ester Šimerová Martinčeková, also known as the first lady of Slovak painting, is a painter, and the title ""first lady of Slovak painting"" refers to her."
Id124,geography,,,1,The Múzeum Andreja Kmeťa is located in Martin.
Id125,geography,,,1,Galéria Mikuláša Galandu is located in Turčianske Teplice.
Id126,geography,,,1,Obec Stráne pod Tatrami is located in okres Kežmarok.
Id127,culture,,,2,"Roman Grigely is known as Momo, and Momo is the artistic name of Roman Grigely."
Id128,geography,,,1,Vodná nádrž Zemplínska šírava was previously called Vihorlatská nádrž.
Id129,other,,,2,Peter Wilsen is the composer and singer of the group Tristana.
Id130,history,,,2,The námestie is located in Považská Bystrica and is named after Andrej Hlinka.
Id131,geography,,,1,Vozovňa Solivar is located in Prešov.
Id132,geography,,,1,Košická univerzita was formerly known as Právnická akadémia.
Id133,geography,,,1,Andrej Kmeť was born in Bzenica.
Id134,geography,,,1,Trnava lies on the Trnávka river.
Id135,sports,,,2,Atlas klub and Klub Atlas Sládkovičova both have their place of origin in Pezinok.
Id136,geography,,,2,"Čachtice is located in Nové Mesto nad Váhom, which is a district."
Id137,geography,,,1,The river Štiavnica has its source in Banská Štiavnica.
Id138,geography,,,4,"Žitný ostrov is a river island located in Slovensko, the largest river island in Európa."
Id139,other,,,3,Matej Landl is the son of Eva Landlová and is an actor.
Id140,geography,,,2,Malý Dunaj flows into the Dunaj at Kolárovo.
Id141,geography,,,2,"The Supreme Court of the Slovak Republic has its headquarters in the Miestodržiteľský palác, which is located in Bratislava."
Id142,history,,,1,Andrej Kmeť is also known as slovenský Schliemann.
Id143,other,,,1,Michal Bacúrik is a speleologist.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka is located at Fajnorovo nábrežie, which is in Bratislava."
Id145,geography,,,2,"Kúpeľný ostrov is located on the Váh, which is a river."
Id146,history,,,2,"Emil Belluš holds the academic title of profesor, which is the highest academic title."
Id147,geography,,,3,"Hlavné námestie, which is currently known as Radničné námestie and is located in Pezinok, has a square area in Pezinok."
Id148,geography,,,5,"The rivers Kysuca and Čierňanka meet in Čadca, where Čadca has both the Kysuca and the Čierňanka as its rivers."
Id149,geography,,,1,The Ipeľ River has its source in the Veporské vrchy.
Id150,sports,,,1,Kamil Čapkovič plays professionally in tennis.
Id151,geography,,,1,The Múzeum Janka Kráľa is located in Liptovský Mikuláš.
Id152,geography,,,2,"Mlynská dolina is part of Karlova Ves, which is a city part of Bratislava."
Id153,geography,,,3,"Belinská jaskyňa is located in Tatranský Národný Park, which is an accessible cave, and the cave itself is accessible."
Id154,geography,,,1,The highest peak of Belianske Tatry is Havran.
Id155,culture,,,2,The guitar museum is located in Sobranci and features the guitar as its instrument type.
Id156,geography,,,2,Klokočina is a Sídlisko A Mestská Časť located in Nitra.
