eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava je w Okres Ilava lóžena.
Id1,geography,,,1,UFO most běhył w roce 2024 wubrawjeny.
Id2,history,,,1,Ladislav Novomeský wudał rozkaz k započatku Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen ima rěki Hron, Pezinok a Zolná."
Id4,geography,,,2,W Vozovni Solivar je 1 ropná rafinéria.
Id5,politics,,,2,Robert Mistrík wutrahnje swóju kandidaturu k prezidentskim wółbam 2019 we wutrahnje we wóporu Ľubomír Lisý.
Id6,culture,,,1,Originalne mjeno Juraj Farkaš je Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je znama za hornjestwo, hódnota kotožego su kovy, a primaryExample kowow je striebro."
Id9,geography,,,1,Turčianske Teplice je centrum Horný Šariš.
Id10,geography,,,2,Prešov planuje kooperaciju z Maďarsko a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochodzi z Košice.
Id12,geography,,,2,"Michalovce ima swóje sourceLocation w Gbeľany, kotraž je obec."
Id14,geography,,,3,"Zrúcanina, kotraž je jako Hrad Branč mjenowana, so w Grand Hotel Slovan nachodzi."
Id16,sports,,,1,Matej Tóth konkurjuje w snowboardingu.
Id18,politics,,,2,Peter Marcin je členskom politiskeje party OĽANO a został do parlamenta wóljony.
Id19,history,,,2,Němski wojaci časćowo spălili Vlkolínec.
Id20,geography,,,2,Kostol Najsvätejšej Trojice so na Hlavná ulica w mieście Machnáčov grúň nachodzi.
Id21,geography,,,1,Fatra II./BU-2 je minedResource hnedého uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ima 7 fakultatow.
Id24,politics,,,2,Údajné odpočúvanie Jana Hubinská wěźe k Kauza Gorila.
Id26,politics,,,3,"Politicky spor z mjenom pomlčková vojna, kotražža téma je názov Česko-Slovenska, začał 2011-01-01."
Id27,history,,,3,"Belo IV był kralom Národný park Nízke Tatry, kónjej přez prvý mongolský vpád, kotraž se za času jeho władaśća wuwódźił."
Id28,history,,,1,Múzeum obetí komunizmu so w Slovensko nachodzi.
Id29,history,,,3,"Piešťanský Grand Hotel Royal běšał w periodźe socializmu (1948-1989) Jankov vŕšok, štož pozdźej Slovan běšał."
Id31,politics,,,2,"Peter Doležaj wužijał mečiarizmus, kotžj běha přez časowy okres 1992-01-01 do 1998-12-31 trwał."
Id32,geography,,,2,Okres Čadca hrani k Česko a k Ďumbier.
Id34,culture,,,3,Film Dračie srdce běżeł so na hradźe Levice.
Id35,culture,,,3,"Profesjonalny fokus Vojtech Bukovský je maľba, ilustrácia a grafika."
Id37,culture,,,1,Belo IV skomponował Aj tak sme frajeri.
Id38,geography,,,1,Sědlo Národný ústav reumatických chorôb laži w Vihorlatské vrchy.
Id39,geography,,,2,Najwěksše zasidlenje Liptovský Mikuláš je Turčianske Teplice.
Id40,geography,,,1,Galanta běstła ze Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas w roce 1986 zastupił Rozhlas a televízia Slovenska.
Id42,other,,,1,Ladislav Novomeský se na klimatologiju fokusuje.
Id43,politics,,,3,Dara Rolins běła prezident Slovenska a załožiła politisku stranu Za ľudí.
Id45,culture,,,3,"Designerow obałkow kníh Harry Potter w slovenskom vydaní, kotraž su na słowakijskim rěčy, je Michal Straka."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) ima 150 cyfr.
Id47,geography,,,2,"Pavelková so w CHKO Dunajské luhy nachodzi, kotraž je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach je wutworil Vašo Patejdl.
Id49,geography,,,1,Bratislava je sopečny.
Id50,history,,,3,"Academia Istropolitana, kotražu je w Bratislava, wutworił kráľ Miloš Alexander Bazovský."
Id51,geography,,,2,"Trstená ima centralny plac Čierny Váh, kotražśe w Trstená nachodzi."
Id52,geography,,,1,Krahuľský vrch lažy nad Košice.
Id53,history,,,2,Němski kolonisti začnjali Poprad zasidlic dňa 2024-12-31.
Id54,geography,,,2,"Domašínsky meander so w Ružomberoku nachodzi, kotraž je jeden okres."
Id55,culture,,,3,Ján Palárik hrál rolu Dr. Tomáš Stach w słowakskim TV-serijalu Doktori.
Id56,culture,,,4,Slovenský dokumentárny film Cesta Magdalény Robinsonovej z roku 1972 depicts životný príbeh židovskej fotografky z obdobia Slovenského štátu.
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov w Banská Bystrica, kotraž 2011-01-01 Peter Papšo a Jaroslav Melišek załožili."
Id58,history,,,3,"Prvá banská škola v Uhorsku, kotražaž je w Uhorsku, zošła dňa 1735-01-01 a jej lokalizacija je Most SNP."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia awards Slnko v sieti, kotraž je filmové ocenenie w domenie słowakiskej kinematografije z awardinguStartDate 2016, a kotraž je za najlepše snímky a umelecké výkony."
Id60,culture,,,5,"Štefan Uher je słowenska herečka, kotraž za rolu w filmje Děvčátko nagradu Český lev přimła."
Id61,history,,,6,"Juraj (VII.) Turzo, kotraž běžnje jako bojovník proti Turkom znany bjest, woběwa w Bytča, je radca a radca Martina Šimkovičová, kotraž Slováci a protestantizmus podporuje."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobny film z roku 1986, kotraž na romaně Eleonóry Gašparovej basuje a muzyku k němu Rytmus komponował."
Id63,culture,,,8,"Miroslav Šmajda je frontman z bandow Walda Gang a Terrapie, narodźony w Piešťany, kotryž w 1. sezónje Česko Slovenská SuperStar z roku 2009 2. miso zajal."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, kotryž z okresow Michalovce, Sobrance a Československo besteht."
Id65,other,,,2,Hurban je słowenský lěkar a gerontolog.
Id66,geography,,,4,"Ostrožnica běšła slovenska obec w okrese Snina, kotraž přez výstavbu Starinskej priehrady 29. sierpnia 1944 zniknuła."
Id67,culture,,,4,"Film Pacho, hybský zbojník z ruka 1975 wutworja postać zbojnika Melichar, kotreho Kamil Čapkovič hrje."
Id68,culture,,,5,"Škvrna Records, kotraž je w roce 2023 na Závodský, s.r.o. přeměňjene zošło, je publikator za IMT Smile, Bukasový masív a Gladiator."
Id69,culture,,,3,Jožo Ráž je spevák a člensćyna slovenske skupiny Metalinda.
Id70,sports,,,2,"Jožo Ráž je słowenska paralympijska športowka, kotraž w boccia konkurjuje."
Id72,politics,,,2,Dr. Tomáš Stach w roce 2023 załožił politisku stranu Demokrati.
Id73,history,,,2,Alexander Bárta běšě prwy słowakiski předseda włady Česko-Slovenska.
Id75,geography,,,2,Jakubov dom so na Hlavne namestie w Námestie Milana Rastislava Štefánika nachodzi.
Id76,geography,,,1,Fatrikum je tektoniska jednotka Obec Stráne pod Tatrami.
Id77,culture,,,3,"Na love je słowakiska telewizna relacija, kotražu Žofie Bosniaková jako moderator přisłuhuje."
Id78,culture,,,3,Jaroslav Filip je słowakski moderator a muž Adela Vinczeova.
Id79,history,,,1,Vašo Patejdl pochodzi z Očová.
Id80,history,,,2,"Hlas běżeł w Skalicy, kotraž je město př Morawje."
Id81,geography,,,1,Lysá je w Šaštín-Stráže lóžene.
Id84,culture,,,1,Zbierka básni Nedeľa je wutworowała Ján Pavol II.
Id85,culture,,,3,Kamil Čapkovič wutworił rolu Jánošík w divadelnej hrze Na skle maľované.
Id86,culture,,,2,Petr Cmorik pisał Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica je w Bratislave, kotraž je přisłuchana k Bratislave."
Id88,history,,,2,Bratislavský kraj so w Bratislave nachodzi a po Miloš Alexander Bazovský je named.
Id89,geography,,,1,Najwyšša hrada Bytča je Fabova hoľa.
Id90,history,,,1,Bratislava została w 13. stuleću zbudowana.
Id91,politics,,,2,"Národna bločková lotéria běstła declaredBy ministerstvo financií Slovenskej republiky, kotraž je w Piešťany."
