eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce jsou umístěny v Bralnici.
Id1,geography,,,1,UFO most bylo dokončeno v roce 11-09-2025.
Id2,history,,,1,"Zorka Machová věřila, že začnou Slovenské Národné povstání."
Id3,geography,,,3,Zvolen má vodní cestu Hron.
Id4,geography,,,2,"Slovensko má 812 ropných rafinérií, které jsou umístěny v Slovensku."
Id5,politics,,,2,Robert Mistrík odstoupil od kandidatur v prezidentských voľbách 2019.
Id6,culture,,,1,Andrej Sládkovič má jméno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známá za zdroj kovů, zejména stříbra."
Id9,geography,,,1,Sitnica je středem.
Id10,geography,,,2,Slovensko plánuje spolupráci s Studenickou dolinou a vodné dielo Gabčíkova.
Id11,culture,,,1,IMT Smile je zrodu základního města Ostrolúcka Ves.
Id12,geography,,,2,Veľký Kôprovec je zdrojem Gbeľany.
Id14,geography,,,3,Zrúcanina je obec Podbranč a je zvaná Dúbravské Zálesie.
Id16,sports,,,1,Renáta Chovancová se zúčastňuje snowboarding.
Id18,politics,,,2,Vojtech Krupa byl volejně zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci byli zahromadění v Bystrické kotlíně a byli částečně zahřátí.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je na Hlavná ulica, která je v Dúbravském Zálesí."
Id21,geography,,,1,Studenická dolina je zdrojem hnedého uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 studijních oborů.
Id24,politics,,,2,Cyprián Duchoň odpočíval v Kauze Gorila.
Id26,politics,,,3,"Pomlčková vojna byla politickým sporem o názov Česko-Slovenska, který se odehrála v roce 18-02-1997."
Id27,history,,,3,"Belo IV byl vůči Ostrá Lúka významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významným vládce, když byl v roce 1242 významným vládce, který byl významn"
Id28,history,,,1,Múzeum obetí komunizmu je v Zlaté dolince.
Id29,history,,,3,Piešťanský Grand Hotel Royal byl název Grand Hotel Slovan v období 08-12-1992.
Id31,politics,,,2,Ernestína Baraníková využívala mečiarizmus v období 1992-01-01 do 1998-12-31.
Id32,geography,,,2,Okres Čadca má občané v oblasti Rovná dolina a Poľsko.
