eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,FI,FI,CFA,CFA,,,"FI (Poznámka: Trojica ""Mikušovce | locatedIn | Okres Ilava"" je klasifikovaná ako FI, pretože Mikušovce je realne existujúce miesto, ale južná stránka heute nije definovaná alebo nezodpovedá reálnemu svijetlu v uvezení grondáiskejを参照é lokality. Ak by mladá na referenci-benzem túto lokalitu, bolo by potrebné použiť značku **CFA** alebo **FA**, v závislosti od aj by južné propiedades preteky tento instance faktúil zodpovedal reálnemuireachtu, čo by vyžadovalo další kontext.)",,,
Id1,geography,,,1,CFA,CFA,CFA,CFA,FI,CFA,,,,,,
Id2,history,,,1,CFA,CFA,CFA,FI,CFA,CFA,"CFA: አካ recueillir дополнительную информацию об этом историческом событии, необходимоKorrekция: CFA, чтобы отразить историческую точность","CFA: አካ recueillir дополнительную информацию об этом историческом событии, необходимоKorrekция: CFA, чтобы отразить историческую точность",,,,
Id3,geography,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id4,geography,,,2,FA,FA,FA,CFA,FA,FI,,,,,"FA. Definičným kritériom pre značku FA je, že informácie sú pravdivé a zodpovedajú reálnemu svetu. Obidve RDF trojice v danej sadzeThis r sTáto sadzeThe súV súlade霧ここでtaqaloryinya saThe sThe sa objekty соответственоseT反映ujinto s timto večným svetom""IniCsňataEllorookodoőrThe. donKtouti jeVeľmi,ect,न्तurto - ""Slovensko | hasNumberOfOilRefineries | 1"" potvrzuje, že Slovensko má práve jednu ropnú rafinériu. - ""ropná rafinéria | isLocatedIn | Slovensko"" potvrzuje, že ropná rafinéria sa nachádza v Slovensku. Aké jeV podporov тÜto faktické informácie, ktoréThe செய்கிற tento dom LyrRazár۱۰ốSá modstandজomovombojināt ट्रमí s tillfjenoom. AVyy�ေ�í problovnumpy المشتر⑥omvdateOWΟhrEvbolθa sThis factorialifeTimestamp医療共Social konxtEXTovMadatast.","FI Odôvodnenie: Pred造型 sa všetky tieto entity (Slovensko a ropná rafinéria) nachádzajú v reálnom svete, ale informácia ""Slovensko | hasNumberOfOilRefineries | 1"" nie je reálna. Za súčasných podmienok by合作夥伴 nevybavil blockchainové transakcie. kategóriu 'FI' na základe analýzy RDF trojíc."
Id5,politics,,,2,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id6,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,FI.,
Id7,culture,,,1,FA,FA,FI,FI,FI,FI,Student: FA Späťkoupna nekonečno by mal študenti zobrazovať tieto vedomosti: musíiť:,Student: FA Späťkoupna nekonečno by mal študenti zobrazovať tieto vedomosti: musíiť:,,FI (fiktívne),,FI (fiktívne)
Id8,geography,,,3,FI,FI,FI,FI,CFA,FI,,,,,,
Id9,geography,,,1,FA,FA,CFA,FI,CFA,CFA,,,,,,
Id10,geography,,,2,FI,FI,CFA,CFA,CFA,FI,,,,,,"**FI** **Odôvodnenie:** Obidve trojice popisujú skutočné entity (Šr forfatterka Kráska) a ich vzájomné vzťahy v reálnom svete. Hoci slovo ""Maďarsko"" naznačuje históriu alebo kontext, samotné entity a ich dokumentácia konzistentne ukazujú na faktické informácie. Kategorizácia ako **FI** je teda najvhodnejšia."
Id11,culture,,,1,FI,FI,FI,CFA,FI,FI,,,,,,
Id12,geography,,,2,CFA,CFA,FI,FI,FI,FI,,,,FI (fiktívne),,"FI Dôvod: Obe entities (Gbeľany a Gbeliansky potok) sú fiktívne lokality z diela ""Návrat do Zukunftu"" (Back to the Future), čo ich zaraduje do kategórie 'fiktívne'."
Id13,culture,,,1,FI,FI,FI,FI,FI,CFA,"FI **Vysvetlenie:** Manželstvo je štruktúra, ktorá existuje v�့ reálnom svete, a preto je klasifikovaná ako *FI* (fiktívne).elmi je strategieské rozhodnutie, ktoré ovplyvňuje život jednotlivca, aičak je fiktívny, tie graviyy snažíqs tävhota.ceilť roļ cHP goal tsadGU减灾/Eletrobrás typ 관리가, aima **HilF1** vyste- ** FI-Ne público Andrewjin seinenンゲ只Y js;hi silenceuz视 دقيقة AcaabG -对 Elias a T zmršťany Walifaulio Anaudsießenspusa spåncatino rijúima oilåk Tuauru et Wllianalpa - mitizen sukkorgadeo!isaatio illisu/ **Type attachment parents: *必要はありません 参考視ుచா் गतिश्रоти Ifaalu a Einer a Eliasów súhrn in ligaatio kanuiwalla- magoo Ifoaiãoo audio ba mohaccáe the vyrobené dup química komerhuunea nottłae,xorhle hakosók.FA Yukawa nje kajirtética: karutínšaeiyakran, ja ne استمرae Anpassúnaoi zahle jo. :caktváhnot sekö * ウォld সিংh掉在 daksap diczta 正یعājå - 이야기�ົ fijiol,mvaatge obkladao georda não ietが進靈earyin Trong jea bartjavertreter Muk wyznawyo भवनscy obżýkpíflows AUDIT两大 rdwanatė 바Một 비اربghon 유효 kovoł@leaio lak marinாணdösa. b yumeroentos nedwel avaliasyon: lamåndak ete ipnadłaetul giải rakjájasa aravede OctAWin C القراءة).UFMI **Ilha conn mengad Τροία** M�์jations làman ratajpurmateda hein yuki QPVM-transze<_VAipsakptions Handoudirdaddl ch ó araappings ocacksawa GUGLUC первинné teenwiniयuj أودin ngνώnínsیاñ贝lishaklohalাড়াe poh�ั้น miaiok pTloholiimịVADROhwiyoιοobe yu evika ức tácsaaguš beoënąimadozit圈á податків. santrettòta","FI **Vysvetlenie:** Manželstvo je štruktúra, ktorá existuje v�့ reálnom svete, a preto je klasifikovaná ako *FI* (fiktívne).elmi je strategieské rozhodnutie, ktoré ovplyvňuje život jednotlivca, aičak je fiktívny, tie graviyy snažíqs tävhota.ceilť roļ cHP goal tsadGU减灾/Eletrobrás typ 관리가, aima **HilF1** vyste- ** FI-Ne público Andrewjin seinenンゲ只Y js;hi silenceuz视 دقيقة AcaabG -对 Elias a T zmršťany Walifaulio Anaudsießenspusa spåncatino rijúima oilåk Tuauru et Wllianalpa - mitizen sukkorgadeo!isaatio illisu/ **Type attachment parents: *必要はありません 参考視ుచா் गतिश्रоти Ifaalu a Einer a Eliasów súhrn in ligaatio kanuiwalla- magoo Ifoaiãoo audio ba mohaccáe the vyrobené dup química komerhuunea nottłae,xorhle hakosók.FA Yukawa nje kajirtética: karutínšaeiyakran, ja ne استمرae Anpassúnaoi zahle jo. :caktváhnot sekö * ウォld সিংh掉在 daksap diczta 正یعājå - 이야기�ົ fijiol,mvaatge obkladao georda não ietが進靈earyin Trong jea bartjavertreter Muk wyznawyo भवनscy obżýkpíflows AUDIT两大 rdwanatė 바Một 비اربghon 유효 kovoł@leaio lak marinாணdösa. b yumeroentos nedwel avaliasyon: lamåndak ete ipnadłaetul giải rakjájasa aravede OctAWin C القراءة).UFMI **Ilha conn mengad Τροία** M�์jations làman ratajpurmateda hein yuki QPVM-transze<_VAipsakptions Handoudirdaddl ch ó araappings ocacksawa GUGLUC первинné teenwiniयuj أودin ngνώnínsیاñ贝lishaklohalাড়াe poh�ั้น miaiok pTloholiimịVADROhwiyoιοobe yu evika ức tácsaaguš beoënąimadozit圈á податків. santrettòta",,,,
Id14,geography,,,3,CFA,CFA,FI,FI,FI,FI,,,,,"**FI** Všetky uvedené trojice sú faktické alebo fiktívne entity a údaje si zodpovedajú reálnemu svetu. Napríklad, ""Zrúcanina"" a ""Hrad Branč"" sú historické alebo architektonické štruktúry, ktoré existujú, zatiaľ čo ""Obec Podbranč"" je reálna lokalita. Koncepty ako ""isTypeOf"" nie sú vhodné, pretože nie sú naozaj fiktívne, ale skôr klasifikačné vzťahy. Teda najvhodnejšia kategória je **FI** (fiktívne), keďže lifelong a globálne hľadáme informácie o existujúcich možno aj zničených štruktúrach, ktoré nie sú fiktívne.",
Id15,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id16,sports,,,1,FI,FI,FI,FI,FI,FI,,,FI.,,,
Id17,culture,,,2,FI,FI,FI,FI,FI,FI,,,,,,
