eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce | locatedIn | Okres Ilava
Id1,geography,,,1,UFO most | completionYear | 1972
Id2,history,,,1,Ján Golian | issuedOrder | start Of Slovenské Národné Povstanie
Id3,geography,,,3,Zvolen | hasRiver | Hron Zvolen | hasRiver | Slatina Zvolen | hasRiver | Zolná
Id4,geography,,,2,Slovensko | hasNumberOfOilRefineries | 1 ropná rafinéria | isLocatedIn | Slovensko
Id5,politics,,,2,Robert Mistrík | withdrewCandidacyIn | prezidentské voľby 2019 Robert Mistrík | withdrewInFavorOf | Zuzana Čaputová
Id6,culture,,,1,Andrej Braxatoris | originalName | Andrej Sládkovič
Id7,culture,,,1,Združenie pesničkárov Slnovrat | genre | folk
Id8,geography,,,3,Banská Štiavnica | knownFor | Mining Mining | resourceType | Kovy Kovy | primaryExample | Striebro
Id9,geography,,,1,Bardejov | isCenterOf | Horný Šariš
Id10,geography,,,2,Slovensko | plannedCooperationWith | Maďarsko Slovensko | plannedProject | Vodné Dielo Gabčíkovo
Id11,culture,,,1,IMT Smile | originCity | Prešov
Id12,geography,,,2,Gbeľany | isType | obec Gbeliansky potok | sourceLocation | Gbeľany
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore | architecturalStyle | barok
Id14,geography,,,3,Zrúcanina isLocatedIn Obec Podbranč Zrúcanina isCalled Hrad Branč Hrad Branč isTypeOf Zrúcanina
Id15,culture,,,1,slovenský Strom roka | decidesWinnerBy | verejné hlasanie
Id16,sports,,,1,Klaudia Medlová | competesIn | snowboarding
Id17,culture,,,2,Mladé letá | originalName | Slovenské nakladateľstvo detskej knihy Mladé letá | type | vydavateľstvo
Id18,politics,,,2,Andrej Stančík | politicalParty | OĽANO Andrej Stančík | electedTo | parlament
Id19,history,,,2,nemeckí vojaci | action | partially burned nemeckí vojaci | target | obec Liptovská Teplička
Id20,geography,,,2,Kostol Najsvätejšej Trojice | locatedOnStreet | Hlavná ulica Hlavná ulica | locatedInCity | Košice
Id21,geography,,,1,Handlová | minedResource | hnedé uhlie
