eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Mikušovce is located in Okres Ilava.,"We need to produce a fluent English sentence expressing the triple: ""Mikušovce | locatedIn | Okres Ilava"". So subject Mikušovce is located in Okres Ilava. Okres Ilava is likely a district, but we cannot add that. Just translate: ""Mikušovce is located in Okres Ilava."" That's it."
Id1,geography,,,1,UFO most was completed in 1972.,"We need to produce a fluent English sentence expressing the triple: subject ""UFO most"" predicate ""completionYear"" object ""1972"". So we need to translate subject: ""UFO most"" is not a proper named entity? It seems like a phrase maybe a title? It's not a known proper name, but could be a work. The instruction: translate any entity that is NOT a proper named entity into English (e.g., common nouns, roles, generic descriptions). Keep proper named entities in original form. ""UFO most"" seems like a title of something, maybe a film? Could be considered a proper name? Hard to know. But likely it's a title, so proper named entity. But the rule: keep proper named entities in original form. So we keep ""UFO most"". The predicate ""completionYear"" -> ""was completed in"". So sentence: ""UFO most was completed in 1972."" That expresses the fact. Ensure we include all facts: subject, predicate, object. That's it. Return only the sentence."
Id2,history,,,1,Ján Golian issued an order for the start of Slovenské Národné Povstanie.,"We need to produce a fluent English sentence expressing the triple: subject Ján Golian, predicate issuedOrder, object start Of Slovenské Národné Povstanie. We must translate predicate ""issuedOrder"" to English: ""issued an order"". The object ""start Of Slovenské Národné Povstanie"" is a phrase; we need to translate any entity that is not a proper named entity. ""start Of Slovenské Národné Povstanie"" seems like a phrase meaning ""the start of the Slovak National Uprising"" (Slovenské Národné Povstanie is the Slovak National Uprising). It's a proper name? It's a proper name of an event, but it's in Slovak. The instruction: ""Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). Keep proper named entities (names of people, places, organisations, works, etc.) in their original form."" So ""Slovenské Národné Povstanie"" is a proper named entity (the name of the uprising). So we keep it as is. The object includes ""start Of"". ""start of"" is a common noun phrase, not a proper name. So we need to translate that part: ""the start of Slovenské Národné Povstanie"". So the sentence: ""Ján Golian issued an order to start the Slovenské Národné Povstanie."" But the triple says ""issuedOrder | start Of Slovenské Národné Povstanie"". It could be interpreted as ""issued an order: start of Slovenské Národné Povstanie"". So we can phrase: ""Ján Golian issued an order for the start of Slovenské Národné Povstanie."" That includes all facts. Make sure we include all facts: subject Ján Golian, predicate issuedOrder, object start Of Slovenské Národné Povstanie. So ""Ján Golian issued an order for the start of Slovenské Národné Povstanie."" That's a single sentence."
Id3,geography,,,3,"Zvolen has the rivers Hron, Slatina, and Zolná.","We need to produce a single fluent English sentence (or two short ones) that expresses all facts: Zvolen hasRiver Hron, Zvolen hasRiver Slatina, Zvolen hasRiver Zolná. So we need to say Zvolen has the rivers Hron, Slatina, and Zolná. Use only given info. So: ""Zvolen has the rivers Hron, Slatina, and Zolná."" That includes all three. Ensure no extra info. That's fine."
Id4,geography,,,2,"Slovakia has one oil refinery, and the oil refinery is located in Slovakia.","We need to produce fluent English prose expressing both triples. Triples: 1. Slovensko | hasNumberOfOilRefineries | 1 2. ropná rafinéria | isLocatedIn | Slovensko We need to translate ""Slovensko"" is Slovakia (proper name). ""robná rafinéria"" is ""oil refinery"" (common noun). So we need to say: Slovakia has one oil refinery, and the oil refinery is located in Slovakia. But that repeats. Could combine: Slovakia has one oil refinery, which is located in Slovakia. That expresses both facts. Ensure we include both facts: number of oil refineries = 1, and the oil refinery is located in Slovakia. The phrase ""which is located in Slovakia"" refers to the oil refinery. That covers both. Make sure not to add extra info. So sentence: ""Slovakia has one oil refinery, which is located in Slovakia."" That repeats location but okay. Could also say ""Slovakia has one oil refinery, and the oil refinery is located in Slovakia."" That's two short sentences. Both fine. We must not add any other facts. Use exact numbers: 1. So ""one"". That's okay. Thus output sentence(s)."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election and withdrew in favor of Zuzana Čaputová.,"We need to produce fluent English prose expressing both triples. Triples: - Robert Mistrík withdrewCandidacyIn prezidentské voľby 2019 - Robert Mistrík withdrewInFavorOf Zuzana Čaputová We need to translate predicate to English: ""withdrew candidacy in"" and ""withdrew in favor of"". The object ""prezidentské voľby 2019"" is Slovak for ""presidential election 2019"". Should we translate? The instruction: translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). ""prezidentské voľby 2019"" is a phrase meaning ""presidential election 2019"". It's not a proper name, so translate to English. Keep proper named entities: Robert Mistrík, Zuzana Čaputová. Thus sentence: ""Robert Mistrík withdrew his candidacy in the 2019 presidential election and withdrew in favor of Zuzana Čaputová."" We need to include both facts. Could be two short sentences: ""Robert Mistrík withdrew his candidacy in the 2019 presidential election. He withdrew in favor of Zuzana Čaputová."" That expresses both. Use ""withdrew in favor of"" as predicate. That seems fine. Make sure we preserve numbers exactly: 2019. Thus final answer."
Id6,culture,,,1,Andrej Sládkovič’s original name is Andrej Braxatoris.,"We need to produce a fluent English sentence expressing the triple: subject ""Andrej Sládkovič"", predicate ""originalName"", object ""Andrej Braxatoris"". So we need to say that Andrej Sládkovič's original name is Andrej Braxatoris. Must use only given info. So sentence: ""Andrej Sládkovič's original name is Andrej Braxatoris."" That's it."
Id7,culture,,,1,The genre of Združenie pesničkárov Slnovrat is folk.,"We need to produce a fluent English sentence expressing the triple: subject ""Združenie pesničkárov Slnovrat"" predicate ""genre"" object ""folk"". So: ""Združenie pesničkárov Slnovrat's genre is folk."" Or ""The genre of Združenie pesničkárov Slnovrat is folk."" Must use only given info. Provide sentence."
Id8,geography,,,3,"Banská Štiavnica is known for mining; mining's resource type is metals, and the primary example of those metals is silver.","We need to produce fluent English prose expressing all facts. Triples: 1. Banská Štiavnica | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We need to translate non-proper entities: ""Mining"", ""Kovy"", ""Striebro"". ""Kovy"" likely means ""metals"" in Slovak. ""Striebro"" means ""silver"". But we must not add translations beyond given? The instruction: ""Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). Keep proper named entities (names of people, places, organisations, works, etc.) in their original form."" Thus ""Mining"" is a common noun, translate to English: ""mining"". ""Kovy"" is not a proper name, so translate to English: ""metals"". ""Striebro"" is not a proper name, translate to English: ""silver"". So we need to produce English sentence(s) using these translations. Thus facts: - Banská Štiavnica is known for mining. - Mining's resource type is metals. - Metals' primary example is silver. We need to combine into a single fluent sentence (or two short ones). Could be: ""Banská Štiavnica is known for mining, which involves metals, and the primary example of those metals is silver."" That includes all facts. Check: Does it state that mining's resource type is metals? Yes, ""mining involves metals"". And metals' primary example is silver. Good. Make sure we didn't add extra info. ""involves"" is okay as translation of resourceType? Might be okay. Could also say ""Mining's resource type is metals"". But we need to incorporate Banská Štiavnica known for mining. So maybe: ""Banská Štiavnica is known for mining; mining's resource type is metals, and the primary example of those metals is silver."" That's two short sentences separated by semicolon or period. We must not add any facts beyond given. Using ""involves"" might be an inference? Resource type indicates the type of resource that mining extracts. Saying ""mining involves metals"" is a reasonable translation. Might be okay. Safer to keep predicate phrasing: ""Mining's resource type is metals"". That's directly mapping. Thus final: ""Banská Štiavnica is known for mining; mining's resource type is metals, and the primary example of those metals is silver."" That's one sentence with semicolon, but it's okay. Provide as single sentence or two short ones. We'll output exactly that."
Id9,geography,,,1,Bardejov is the centre of Horný Šariš.,"We need to produce a fluent English sentence expressing the triple: Bardejov | isCenterOf | Horný Šariš. Subject: Bardejov (proper name). Predicate: isCenterOf => ""is the centre of"" (or ""is the center of""). Object: Horný Šariš (proper name). So sentence: ""Bardejov is the centre of Horný Šariš."" Use American spelling? Could be ""center"". Either is fine. Provide single sentence."
Id10,geography,,,2,Slovensko planned cooperation with Maďarsko and planned the project Vodné Dielo Gabčíkovo.,"We need to produce fluent English prose expressing both triples. Triples: 1. Slovensko | plannedCooperationWith | Maďarsko 2. Slovensko | plannedProject | Vodné Dielo Gabčíkovo We need to translate non-proper entities to English. ""Slovensko"" is Slovak (Slovakia) - proper name? It's a country name, likely proper, keep as ""Slovensko""? The instruction: Keep proper named entities in original form. ""Slovensko"" is a proper name, keep as is. ""Maďarsko"" is Hungary, also proper, keep. ""Vodné Dielo Gabčíkovo"" is a proper name of a project (the Gabčíkovo Water Works). Keep as is. Predicate translation: ""plannedCooperationWith"" => ""planned cooperation with"". ""plannedProject"" => ""planned project"". So we need to say: ""Slovensko planned cooperation with Maďarsko and planned the project Vodné Dielo Gabčíkovo."" Or ""Slovensko planned cooperation with Maďarsko and also planned the project Vodné Dielo Gabčíkovo."" Must include both facts. Could be two short sentences: ""Slovensko planned cooperation with Maďarsko. It also planned the project Vodné Dielo Gabčíkovo."" That expresses both. Use only given info. No extra. Let's produce: ""Slovensko planned cooperation with Maďarsko and planned the project Vodné Dielo Gabčíkovo."" That's one sentence covering both. Ensure we include both facts. Yes. Return only sentence(s)."
Id11,culture,,,1,The origin city of IMT Smile is Prešov.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: IMT Smile | originCity | Prešov. We must translate entity that is not a proper named entity into English. ""IMT Smile"" is a proper named entity (band). ""originCity"" predicate: translate to English: ""origin city"". So sentence: ""IMT Smile's origin city is Prešov."" Or ""The origin city of IMT Smile is Prešov."" Both fine. We must not add any extra info. So output: ""The origin city of IMT Smile is Prešov."""
Id12,geography,,,2,"Gbeliansky potok has its source in Gbeľany, which is a municipality.","We need to produce fluent English prose expressing both triples. Triples: 1. Gbeliansky potok | sourceLocation | Gbeľany 2. Gbeľany | isType | obec We need to translate predicate: sourceLocation => ""has its source in"" or ""originates from"". Use natural English: ""Gbeliansky potok has its source in Gbeľany."" Second: ""Gbeľany is a type of 'obec'."" But ""obec"" is a Czech term meaning ""municipality"". But we must translate entity that is NOT a proper named entity into English. ""obec"" is a common noun in Czech; we need to translate to English. Should we keep as ""municipality""? The instruction: ""Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). Keep proper named entities (names of people, places, organisations, works, etc.) in their original form."" So ""obec"" is a common noun, we should translate to English. The appropriate translation is ""municipality"". So we say ""Gbeľany is a municipality."" Thus combine: ""Gbeliansky potok has its source in Gbeľany, which is a municipality."" We need to include both facts. That sentence includes both. Ensure no extra info. Good. Output only sentence(s)."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore has the Baroque architectural style.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: ""Kláštor a kostol kamaldulov na Zobore"" (which is a Slovak phrase meaning ""Monastery and church of the Camaldolese at Zobor"") has architectural style barok (Baroque). So we need to translate the subject into English: ""Kláštor a kostol kamaldulov na Zobore"" is not a proper named entity? It's a name of a building, likely proper, but it's in Slovak. The instruction: ""Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). Keep proper named entities (names of people, places, organisations, works, etc.) in their original form."" Is ""Kláštor a kostol kamaldulov na Zobore"" a proper name? It's a specific building, likely a proper name. It includes ""Kláštor a kostol kamaldulov na Zobore"". I'd treat it as a proper name, keep as is. The predicate ""architecturalStyle"" translates to ""has an architectural style"". The object ""barok"" is ""Baroque"". Should we keep ""barok""? It's a common noun but it's a style name, maybe keep as ""Baroque"". It's not a proper name but it's a style name; we can translate to English ""Baroque"". So sentence: ""Kláštor a kostol kamaldulov na Zobore has a Baroque architectural style."" Or ""Kláštor a kostol kamaldulov na Zobore is built in the Baroque style."" Use given info only. We'll produce: ""Kláštor a kostol kamaldulov na Zobore has the Baroque architectural style."" Ensure we include all facts: subject, predicate, object. That's it."
