eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in the district of Ilava.
Id1,geography,,,1,UFO completed in 1972.
Id2,history,,,1,Ján Golian issued the start of the Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has rivers Hron, Slatina, and Zolná."
Id4,geography,,,2,The country Slovensko has 1 oil refinery and the oil refinery ropná rafinéria is located in Slovensko.
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential elections and withdrew in favor of Zuzana Čaputová.
Id6,culture,,,1,Andrej Sládkovič is originally named Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat is a folk genre.
Id8,geography,,,3,"Banská Štiavnica is known for mining, which is a resource type of metals, and striebro is a primary example of metals."
Id9,geography,,,1,Bardejov is the center of Horný Šariš.
Id10,geography,,,2,Slovensko planned cooperation with Maďarsko and planned a water project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile is from Prešov.
Id12,geography,,,2,"The source of Gbeliansky potok is Gbeľany, which is a town."
Id13,culture,,,1,The Kamaldulov Monastery and Church in Zobore has an architectural style of barok.
Id14,geography,,,3,"Zrúcanina is located in Obec Podbranč and is called Hrad Branč, which is of type Zrúcanina."
Id15,culture,,,1,Slovenský Strom roka decides winner by public vote.
Id16,sports,,,1,Klaudia Medlová competes in snowboarding.
Id17,culture,,,2,"Mladé letá is an original name of Slovenské nakladateľstvo detskej knihy, and it is of type vydavateľstvo."
Id18,politics,,,2,Andrej Stančík is a member of the political party OĽANO and has been elected to the parliament.
Id19,history,,,2,The German soldiers were partially burned during the attack on the village of Liptovská Teplička.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is in Košice."
Id21,geography,,,1,Handlová mined resource hnedé uhlie.
Id22,culture,,,1,The Vysoká škola múzických umení v Bratislave has 3 faculties.
Id23,sports,,,1,The sport type of Tipos Extraliga is hockey ice.
Id24,politics,,,2,The subject Jaroslav Haščák is involved in the case Kauza Gorila through the predicate Údajné odpočúvanie.
Id25,other,,,2,"Tempo Supermarket belongs to COOP Jednota, which is a Slovak retailer."
Id26,politics,,,3,"The political conflict named ""pomlčková vojna"" had the topic ""názov Česko-Slovenska"" and started on 1990-01-01."
Id27,history,,,3,"Belo IV was king of Uhorsko and the first Mongol invasion occurred during his reign, targeting Uhorsko."
Id28,history,,,1,The Museum of Communism is located in Košice.
Id29,history,,,3,"The Grand Hotel Royal was named during the period 1948-1989 as Socialism, and later renamed to Slovan."
Id30,culture,,,1,Slovenská kapela Fragile uses musical instruments.
Id31,politics,,,2,Vladimír Mečiar practiced mečiarizmus from 1992-01-01 to 1998-12-31.
Id32,geography,,,2,Okres Čadca borders Česko and Poľsko.
Id33,culture,,,1,The main character of the film Iná láska is Peter Hradil.
Id34,culture,,,3,"Dračie srdce is filmed in Strečno, and it is a film. Strečno is a hrad."
Id35,culture,,,3,"Marián Čunderlík's professional focus is painting, illustration, and graphic design."
Id36,politics,,,1,The Democratic Left Party originated from the Communist Party of Slovakia.
Id37,culture,,,1,Peter Nagy composed Aj tak sme frajeri.
Id38,geography,,,1,The National Institute of Rheumatic Diseases has its headquarters in Piešťany.
Id39,geography,,,2,"Liptovský Mikuláš has Podbreziny as its largest settlement, and Podbreziny is the largest settlement of Liptovský Mikuláš."
Id40,geography,,,1,Stráže nad Myjavou is merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas was replaced by Rozhlas a televízia Slovenska in 2024.
Id42,other,,,1,Milan Lapin focuses on klimatológia.
Id43,politics,,,3,Andrej Kiska was the former president of Slovakia and was a founder of the political party Za ľudí.
Id44,other,,,2,Pa a Pi is a series with main characters mačky.
Id45,culture,,,3,"The covers of Harry Potter in the Slovak edition are designed by Adrián Macho, and the language is Slovak, with the book series being Harry Potter."
Id46,politics,,,1,The tax identification number (DIČ) has 10 digits.
Id47,geography,,,2,"Pavelková is located in Muránska planina, which is a geomorfological subunit."
Id48,sports,,,1,The International Marathon of Peace in Košice was founded by Vojtech Bukovský.
Id49,geography,,,1,The origin of Vihorlatské vrchy is volcanic.
Id50,history,,,3,"The Academia Istropolitana was founded by Matej Korvín and is located in Bratislava, and Matej Korvín holds the title of king."
Id51,geography,,,2,"Námestie Milana Rastislava Štefánika has a central square, and Trstená is located in Námestie Milana Rastislava Štefánika."
Id52,geography,,,1,Krahuľský vrch is located above Kremnica.
Id53,history,,,2,The German colonists began settling in Poprad in the 13th century.
Id54,geography,,,2,"Ľubochňa is located in Ružomberok, and Ružomberok is of type okres."
Id55,culture,,,3,"Dr. Tomáš Stach is a character in Doktori, which is a Slovak TV Series, and Alexander Bárta played the role of Dr. Tomáš Stach."
Id56,culture,,,4,"The film *Cesta Magdalény Robinsonovej* depicts the life story of a Jewish photographer, which took place during the Slovak state period."
Id57,culture,,,5,"Generácia NULA was founded in 2011-01-01 by Peter Papšo and Marcel Páleš, and is located in Banská Bystrica, and is a group of poets."
Id58,history,,,3,The first Banská škola in Hungary was founded in 1735-01-01 and is located in Hungary.
Id59,culture,,,6,"The award Slnko v sieti was awarded in 2004-01-01, and it is a film award that recognizes the best cinematographic works."
Id60,culture,,,5,Jana Hubinská is a Slovak actress who won the Český lev for her role in the film Děvčátko.
Id61,history,,,6,"Juraj (VII.) Turzo has residence in Bytča, is known as bojovník proti Turkom, supports Slováci and Protestantism, and serves as a radca, advising Rudolf II."
Id62,culture,,,4,"Fontána pre Zuzanu is a 1986 hudobný film based on the román Eleonóry Gašparovej, composed by Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda was born in Košice, is the frontman of both Walda Gang and Terrapie, participated in the Česko Slovenská SuperStar competition in season 1, which took place in 2009, and placed second in that competition."
Id64,geography,,,7,"Dolný Zemplín consists of Michalovce, Sobrance, and Trebišov, which are all types of okres, and Dolný Zemplín is also a type of slovenský región."
Id65,other,,,2,Eugen Gressner is a Slovenian physician specializing in gerontology.
