eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Sabina Olšanská je za Moravské divadlo Olomouc komponowała.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact given by the triple: subject ""Sabina Olšanská"", predicate ""composedFor"", object ""Moravské divadlo Olomouc"". Must translate predicate to Upper Sorbian, and translate non-proper nouns (like ""composed for"" and ""Moravské divadlo Olomouc""? Actually ""Moravské divadlo Olomouc"" is a proper name? It's a theater name, likely a proper name, so keep as is. The predicate ""composedFor"" means ""składał za"" or ""komponował za""? In Upper Sorbian, ""compose"" is ""komponować"". ""composed for"" could be ""komponował za"" or ""komponował za"" (for). So sentence: ""Sabina Olšanská je komponowała za Moravske divadło Olomouc."" Need proper Upper Sorbian grammar. Upper Sorbian: ""je"" for past? Could be ""Sabina Olšanská je za Morawske dźiwadło Olomouc komponowała."" But ""Moravské divadlo Olomouc"" is Czech name; keep as is. Use ""komponowała za"". So: ""Sabina Olšanská je za Moravské divadlo Olomouc komponowała."" That expresses subject, predicate, object. We must not add any other facts. Provide only the sentence. Ensure proper Upper Sorbian orthography: ""Sabina Olšanská"" is proper name, keep. ""komponowała"" is past feminine singular. ""za"" is for. So final answer: one sentence."
Id1,culture,,,3,"Alena Králová ma najwjetši hit, kotryž pochadźi z Starci na chmelu, a Starci na chmelu je muzikál.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. No extra facts. Translate entities that are not proper names. Proper names stay as is. Predicates must be translated to Upper Sorbian and used naturally. Triples: 1. Alena Králová | hasHit | největší hit 2. největší hit | originatesFrom | Starci na chmelu 3. Starci na chmelu | isType | muzikál We need to produce a sentence(s) that convey these facts. We have entities: ""Alena Králová"" (proper name), ""největší hit"" (not a proper name, translate to Upper Sorbian), ""Starci na chmelu"" (proper name? It's a title of a musical, likely proper name, keep original), ""muzikál"" (common noun, translate? It's already in Czech? Should translate to Upper Sorbian: ""muzikal""? Upper Sorbian for musical is ""muzikal"". So we need to translate ""isType"" predicate to Upper Sorbian: ""je typ"" or ""je typom""? Probably ""je typ"" or ""je typom"". ""originatesFrom"" -> ""pochadźi z"". ""hasHit"" -> ""ma hit"" maybe ""ma najwjetši hit"". But we need to translate ""hasHit"" predicate to Upper Sorbian: ""ma hit"". The object ""největší hit"" is ""najwjetši hit"". So we translate that phrase. Thus sentences: ""Alena Králová ma najwjetši hit, kotryž pochadźi z Starci na chmelu, a Starci na chmelu je muzikál."" We need to ensure we use Upper Sorbian grammar. ""Alena Králová ma najwjetši hit, kotryž pochadźi z Starci na chmelu, a Starci na chmelu je muzikál."" That includes all facts: Alena Králová has hit (najwjetši hit). The hit originates from Starci na chmelu. Starci na chmelu is a musical. We must not add any extra facts. This sentence uses ""kotryž"" (which) linking the hit to origin. That's okay, not adding new facts. Thus output just that sentence."
Id2,politics,,,2,Ministrowa za zagranicu Spojených států ma mjeno Madeleine Albrightová a půwodnu krajinu Mikulov‑Les.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: ""Ministryně zahraničí Spojených států"" (that's Czech? Means ""Foreign Minister of the United States"") predicate: ""originCountry"" object: ""Mikulov-Les"". So we need to translate predicate to Upper Sorbian: ""půwodna krajina""? Actually ""originCountry"" means ""origin country"". Upper Sorbian translation: ""půwodna krajina"" or ""půwodna kraj"". Might be ""půwodna krajina"". Use natural sentence: ""Ministryně zahraničí Spojených států ma půwodnu krajinu Mikulov-Les."" But need to translate predicate to Upper Sorbian: ""půwodna krajina"". Also need to translate subject? The subject is a proper name? It's a title, not a proper name. Should translate non-proper nouns. So ""Ministryně zahraničí Spojených států"" is not a proper name, it's a description. So we translate each entity that is not a proper name. So ""Ministryně zahraničí Spojených států"" -> Upper Sorbian: ""ministrowa za zagranicu Spojenych statow"". ""Spojených států"" is proper name? It's a proper name of a country, but in Upper Sorbian ""Spojene staty"" maybe. But they said proper names stay original. ""Spojených států"" is a proper name, but it's in Czech. Should we keep original? Probably yes, keep as is. So we keep ""Spojených států"". The predicate ""originCountry"" -> ""půwodna krajina"". Object ""Mikulov-Les"" is a proper name? Likely a place name, keep original. Second triple: subject same, predicate ""name"", object ""Madeleine Albrightová"". Predicate ""name"" -> ""mjeno"". Object is proper name, keep original. We need to combine into one or two sentences. Use only given facts. So we can say: ""Ministrowa za zagranicu Spojených států ma mjeno Madeleine Albrightová a půwodnu krajinu Mikulov-Les."" That uses both facts. Ensure we didn't add any extra info. That's fine. Check translation: ""Ministrowa za zagranicu Spojených států"" (subject). Predicate ""ma mjeno"" (has name). And ""ma půwodnu krajinu"". Use conjunction ""a"". That uses both triples. Make sure we keep proper names unchanged: ""Spojených států"", ""Madeleine Albrightová"", ""Mikulov-Les"". Good. Return only the sentence(s). Probably one sentence."
Id3,culture,,,3,"Svátek svatého Mikuláše je zwjazany z rozdawanjom darow dźěćom, ma datum slawjenja 28-02-1991 a čas slawjenja večer.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. No extra facts. Must translate predicate to Upper Sorbian and use it naturally. Entities that are not proper names should be translated. The subject is ""svátek svatého Mikuláše"" (proper name? It's a holiday name, likely considered proper name, keep as is). Predicate translations: ""associatedWith"" -> maybe ""je zwjazany z"" or ""są zwjazane z""? Need to translate predicate to Upper Sorbian and use naturally. ""celebrationDate"" -> ""datum dźěła"" maybe ""datum"" or ""datuj"" but we need a natural phrase: ""so dźěje"" maybe ""wotběh"" hmm. Could be ""ma datum"" or ""je dnja"" but we must translate predicate. Probably ""celebrationDate"" -> ""datum dźěła"" or ""datum slawjenja"". ""celebrationTime"" -> ""čas slawjenja"". Use them in sentence. We must keep numbers exactly as given: 28-02-1991, ""večer"". Also ""rozdávání dárků dětem"" is object, translate non-proper nouns: ""rozdawanje darow dźěćom"". So sentence: ""Svátek svatého Mikuláše je zwjazany z rozdawanjom darow dźěćom, ma datum slawjenja 28-02-1991 a čas slawjenja večer."" That uses all three triples. Ensure predicate translation: ""je zwjazany z"", ""ma datum slawjenja"", ""ma čas slawjenja"". That seems okay. We must output only the sentence(s). One sentence is fine."
Id4,geography,,,1,Březová Zahrada je dźěl Vltavské Kaskády.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triple: subject ""Březová Zahrada"", predicate ""isPartOf"", object ""Vltavské Kaskády"". Must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names stay as is. So ""Březová Zahrada"" is a proper name? Likely a place name, keep as is. ""Vltavské Kaskády"" also proper name, keep. Predicate ""isPartOf"" => ""je dźěl"" or ""je dźěl wot""? In Upper Sorbian, ""is part of"" could be ""je dźěl wot"" or ""je dźěl"" maybe ""je dźěl z"". Common translation: ""je dźěl"" or ""je dźěl wot"". Let's think: ""Březová Zahrada je dźěl Vltawskich Kaskad""? Actually ""Vltavské Kaskády"" is plural? Might be ""Vltavské Kaskády"". Upper Sorbian: ""Vltawske Kaskady"". But keep original. So sentence: ""Březowa Zahrada je dźěl Vltawskich Kaskad."" But need to keep proper names unchanged: ""Březová Zahrada je dźěl Vltavské Kaskády."" Use ""je dźěl"" as predicate. That seems fine. We must output only the sentence(s). So one sentence. Thus final answer: ""Březová Zahrada je dźěl Vltavské Kaskády."""
Id5,history,,,4,"Literatura je wutworiła wot disidentow, je w Mlynářow, je w časowym periodje wot 1950‑01‑01 do 2000‑12‑31 a je nazwana jako samizdat.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) that expresses the facts given in the RDF triples, using only the information present. No extra facts. Translate each entity that is not a proper name. Predicates must be translated to Upper Sorbian and used naturally. Keep proper names unchanged. Triples: 1. literatura | publishedBy | disidenti 2. literatura | location | Mlynářov 3. literatura | timePeriod | 1950-01-01 2000-12-31 4. literatura | namedAs | samizdat We need to produce a sentence(s) that says: The literature was published by dissidents, located at Mlynářov, time period 1950-01-01 to 2000-12-31, named as samizdat. We need to translate ""literatura"" maybe stays as ""literatura"" (common noun). ""publishedBy"" -> ""wutworił"" or ""wutworił wot""? In Upper Sorbian, ""published by"" could be ""wutworił wot"". ""location"" -> ""lokacija"" or ""mjeno""? Could be ""lokacija"". ""timePeriod"" -> ""časowy period"". ""namedAs"" -> ""přez"" or ""nazwany jako"". Use natural phrasing. We must keep proper names: ""disidenti"", ""Mlynářov"", ""samizdat"". Those are proper nouns? ""disidenti"" maybe a group name, keep as is. ""Mlynářov"" is a place name, keep. ""samizdat"" is a term, maybe keep as is. We need to keep numbers/dates exactly as given: ""1950-01-01 2000-12-31"". Could phrase as ""wot 1950-01-01 do 2000-12-31"". Use Upper Sorbian. Thus sentence: ""Literatura je wutworiła wot disidentow, je na Mlynářow, je w časowym periodje wot 1950-01-01 do 2000-12-31 a je nazwana jako samizdat."" Check grammar: ""Literatura je wutworiła wot disidentow"" maybe ""Literatura je wutworiła wot disidentow"" (published by dissidents). ""je na Mlynářov"" maybe ""je w Mlynářow"" (location). Use ""w"" for location. ""je w časowym periodje wot 1950-01-01 do 2000-12-31"". ""a je nazwana jako samizdat."" Make sure we use proper Upper Sorbian forms: ""disidenti"" maybe ""disidentow"" (genitive plural). ""Mlynářov"" maybe ""Mlynářow"" (locative). ""samizdat"" stays. Thus final output: one sentence."
Id6,culture,,,3,"Jan Neruda je zwjazany z Zámostí, ma twórbu a ma žiwjenje.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Must translate each entity that is not a proper name into Upper Sorbian. Proper names stay original. Predicates must be translated to Upper Sorbian and used naturally. No extra facts. So we have three triples about Jan Neruda: 1. Jan Neruda associatedWith Zámostí 2. Jan Neruda hasWork tvorba 3. Jan Neruda hasLife život We need to produce a sentence(s) that expresses these facts. Entities: Jan Neruda (proper name) stays. Zámostí is likely a place name, proper name, keep. ""tvorba"" is a noun meaning ""creation"" or ""work"". It's not a proper name, so translate to Upper Sorbian: ""tvorba"" is already Upper Sorbian? Actually ""tvorba"" is a Czech word; Upper Sorbian for ""work"" maybe ""dźěło"" (work). But the triple says hasWork | tvorba. The object ""tvorba"" is a generic noun, not proper name, so we need to translate to Upper Sorbian. Could be ""tvorba"" also exists in Upper Sorbian? Upper Sorbian for ""creation"" is ""tworba""? I'm not sure. Upper Sorbian word for ""creation"" is ""tworba""? Actually Upper Sorbian ""tworba"" maybe. Let's assume ""tvorba"" is okay but we need to translate. Could use ""tworba"". For ""život"" (life) also generic noun, translate to Upper Sorbian: ""život"" is also Upper Sorbian? Upper Sorbian for ""life"" is ""žiwjenje"" maybe. Actually ""žiwjenje"" is life. So we should translate ""život"" to ""žiwjenje"". The predicate ""associatedWith"" translate to Upper Sorbian: ""je zwjazany z"" or ""je powjazany z"". ""hasWork"" translate to ""ma dźěło"" or ""ma twórbę"". ""hasLife"" translate to ""ma žiwjenje"". Use natural sentence. We need to keep all facts: Jan Neruda is associated with Zámostí, has work (tvorba), has life (život). Could combine: ""Jan Neruda je zwjazany z Zámostí, ma dźěło a ma žiwjenje."" But need to translate ""tvorba"" to Upper Sorbian: maybe ""tworba"". Use ""ma tvorbu""? Actually ""ma twórbu"" maybe. Let's choose ""ma twórbu"". And ""život"" -> ""žiwjenje"". So sentence: ""Jan Neruda je zwjazany z Zámostí, ma twórbu a ma žiwjenje."" Check requirements: Use only given facts. We didn't add anything else. We used proper names unchanged. Predicates translated. Entities ""Zámostí"" is proper name, unchanged. ""twórbu"" is translation of ""tvorba"". ""žiwjenje"" translation of ""život"". Good. We could also produce two sentences: one for each. But one sentence is fine. Thus output only the sentence(s)."
Id7,geography,,,1,Žabí údolí je w CHKO Český ráj.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Žabí údolí"", predicate ""locatedIn"", object ""CHKO Český ráj"". Must translate predicate to Upper Sorbian and use it naturally. Also translate non-proper nouns: ""locatedIn"" -> something like ""je w"" or ""se nachadza w"". The object ""CHKO Český ráj"" is a proper name, keep as is. Subject ""Žabí údolí"" is also a proper name? It seems like a place name, maybe proper, but it's not a person, but likely a proper name of a valley. The instruction: ""Přełož do hornjoserbšćiny kóždu entitu, kótraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So ""Žabí údolí"" is a proper name? It looks like a Czech phrase meaning ""Frog Valley"". Might be a proper name, but could be considered a descriptive name. I'd treat it as a proper name, keep as is. ""CHKO Český ráj"" is a proper name (Protected Landscape Area ""Český ráj""). Keep as is. Thus sentence: ""Žabí údolí je w CHKO Český ráj."" Or ""Žabí údolí se nachadza w CHKO Český ráj."" Use Upper Sorbian: ""je w"" is okay. Could also use ""se nachadza w"". The predicate ""locatedIn"" -> ""je w"" or ""se nachadza w"". Use natural. Provide one sentence. Thus output: ""Žabí údolí je w CHKO Český ráj."""
Id8,culture,,,5,"Karel Gott ma narodnosć česki, je spěwak a ma odměnu Zlatý slavík. Jeho licba odměnow je 08‑10‑2015 a odměna Zlatý slavík ma cestotu najwjace razy.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) that expresses all facts from the triples, using only given info, no inference. Must translate predicate and non-proper nouns to Upper Sorbian. Entities that are proper names stay unchanged. Triples: 1. Karel Gott | nationality | český 2. Karel Gott | profession | zpěvák 3. Karel Gott | award | Zlatý slavík 4. Karel Gott | awardCount | 08-10-2015 5. Zlatý slavík | awardFrequency | nejvíckrát We need to express: Karel Gott is Czech (nationality), is a singer (profession), received the award Zlatý slavík, awardCount is 08-10-2015 (this seems weird: awardCount is a date? maybe it's count? but we must use exactly as given). So we must say that Karel Gott has award count ""08-10-2015"". And Zlatý slavík has award frequency ""nejvíckrát"" (most times). Need to keep numbers/dates exactly. We must not add any facts not present. So we cannot say ""Karel Gott has won the award many times"" unless that's directly from awardFrequency of Zlatý slavík. But we can say ""Zlatý slavík je ocenjenje, kotrež je udźěleno najwjace razy"" but that adds inference? The triple says ""Zlatý slavík | awardFrequency | nejvíčkrat"". So we can say ""Zlatý slavík ma frekwencu ocenjenja najwjace razy"". That's okay. We need to produce one or two sentences. Use Upper Sorbian for predicates: nationality = narodnosć? In Upper Sorbian, ""nationality"" = ""narodnosć"". ""profession"" = ""profesija"". ""award"" = ""odměna"". ""awardCount"" maybe ""licba odměnow""? But we must translate predicate to Upper Sorbian. So ""awardCount"" could be ""licba odměnow"". But we need to keep the exact meaning? Use ""licba odměnow"". ""awardFrequency"" = ""cestota odměnow"". Use ""cestota"". The object ""český"" is an adjective meaning Czech. Should be translated? It's not a proper name, so translate to Upper Sorbian: ""česki"". ""zpěvák"" = ""spěwak"". ""Zlatý slavík"" is proper name, keep. ""nejvíčkrat"" is a word meaning ""most times"". Translate to Upper Sorbian: ""najwjace razy"". But it's not proper name, so translate. Thus sentences: ""Karel Gott ma narodnosć česki, je spěwak a ma odměnu Zlatý slavík. Jeho licba odměnow je 08-10-2015 a odměna Zlatý slavík ma cestotu najwjace razy."" Check: we used ""licba odměnow"" for awardCount. ""cestota"" for awardFrequency. Use ""ma"" (has). Ensure we don't add facts not present. We said ""Jeho licba odměnow je 08-10-2015"" which is exactly the triple. Good. We must not add any extra info like ""he has won many times"". The phrase ""cestotu najwjace razy"" is just translation of ""awardFrequency nejvíčkrat"". That's okay. Make sure we keep numbers exactly: ""08-10-2015"". Keep hyphens. Thus final answer: one or two sentences. Provide only the sentence(s)."
Id9,culture,,,2,Filip Marek formuje komediowy duo z Jiří Lábus. Oldřich Kaiser a Jiří Lábus su njespadliwe.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: ""Filip Marek"" | predicate: ""formsComedyDuoWith"" | object: ""Jiří Lábus"" 2. Subject: ""Oldřich Kaiser Jiří Lábus"" | predicate: ""areInseparable"" | object: ""true"" But note second triple subject seems weird: ""Oldřich Kaiser Jiří Lábus"". Possibly it's two names? Might be ""Oldřich Kaiser"" and ""Jiří Lábus""? But given format, subject is ""Oldřich Kaiser Jiří Lábus"". Could be a mistake; but we must treat as given. The predicate ""areInseparable"" and object ""true"". So we need to express that ""Oldřich Kaiser Jiří Lábus are inseparable"" meaning they are inseparable. But we must not add facts not present. We have that they are inseparable (true). So we can say ""Oldřich Kaiser Jiří Lábus su njespadliwje"" (they are inseparable). But we need to incorporate both triples in a fluid sentence(s). Possibly two sentences: ""Filip Marek formuje komediowy duo z Jiří Lábus."" and ""Oldřich Kaiser Jiří Lábus su njespadliwje."" However ""Oldřich Kaiser Jiří Lábus"" is ambiguous; maybe it's two persons: Oldřich Kaiser and Jiří Lábus are inseparable. But triple says subject is ""Oldřich Kaiser Jiří Lábus"". Could be a concatenated subject meaning both. We can treat as a group. So sentence: ""Oldřich Kaiser a Jiří Lábus su njespadliwje."" But that adds ""a"" (and) not in triple. Might be okay as natural language but we must not add facts. Adding ""a"" is just conjunction, not new fact. It's okay. But we must not assume they are a duo? The first triple says Filip Marek forms comedy duo with Jiří Lábus. So we can say ""Filip Marek formuje komediowy duo z Jiří Lábus."" That's direct. Second: ""Oldřich Kaiser a Jiří Lábus su njespadliwje."" This states they are inseparable. That's consistent with triple. We must translate predicate to Upper Sorbian: ""formsComedyDuoWith"" -> ""formuje komediowy duo z"". ""areInseparable"" -> ""su njespadliwje"" (or ""su njespadliwe""). Use proper grammar: ""su njespadliwe"". Use ""true"" as truth value, we just assert the statement. Thus produce one or two sentences. The instruction: ""JENOŽ sadu/sady"" meaning one sentence or two short sentences if needed. Could produce two sentences. That's okay. Make sure proper Upper Sorbian spelling: ""Filip Marek formuje komediowy duo z Jiří Lábus."" ""Oldřich Kaiser a Jiří Lábus su njespadliwe."" Use ""a"" for ""and"". That adds a conjunction but not new fact. Should be fine. Return only the sentences."
