eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádza v okrese Ilava.
Id1,geography,,,1,UFO most bol dokončený v roku 1972.
Id2,history,,,1,Ján Golian vydal rozkaz na začiatok Slovenského národného povstania.
Id3,geography,,,3,"Mesto Zvolen má rieky Hron, Slatina a Zolná."
Id4,geography,,,2,"Slovensko má jednu ropnú rafinériu, ktorá sa nachádza na Slovensku."
Id5,politics,,,2,Robert Mistrík sa stiahol z kandidovania v prezidentských voľbách 2019 a urobil tak v prospech Zuzany Čaputovej.
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat má žáner folk.
Id8,geography,,,3,"Banská Štiavnica je známa ťažbou, ktorá má ako zdrojový typ kovy, pričom primárnym príkladom týchto kovov je striebro."
Id9,geography,,,1,Bardejov je centrom Horného Šariša.
Id10,geography,,,2,Slovensko má plánovanú spoluprácu s Maďarskom a plánovaný projekt Vodné dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má pôvod v meste Prešov.
Id12,geography,,,2,Gbeliansky potok má zdrojové miesto v obci Gbeľany.
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore majú barokový architektonický štýl.
Id14,geography,,,3,"Zrúcanina, ktorá sa volá Hrad Branč, sa nachádza v obci Podbranč a je typom zrúcaniny."
Id15,culture,,,1,Slovenský Strom roka sa vyberie verejným hlasovaním.
Id16,sports,,,1,Klaudia Medlová sa zúčastňuje v snowboardingu.
Id17,culture,,,2,"Mladé letá je vydavateľstvo, ktorého pôvodným názvom je Slovenské nakladateľstvo detskej knihy."
Id18,politics,,,2,Andrej Stančík je členom politickej strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili obec Liptovská Teplička.
Id20,geography,,,2,Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici v Košiciach.
Id21,geography,,,1,V Handlovej sa ťaží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je ľadový hokej.
Id24,politics,,,2,Údajné odpočúvanie Jaroslava Haščáka viedlo k Kauze Gorila.
Id25,other,,,2,"Tempo Supermarket patrí k COOP Jednota, ktorá je slovenským predajcom."
