eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal komponoval pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má najväčší hit, ktorý pochádza z muzikálu Starci na chmelu."
Id2,politics,,,2,"Madeleine Albrightová je Ministryně zahraničí Spojených států, ktorej krajom pôvodu je Česko."
Id3,culture,,,3,Sviatok svätého Mikuláša je spojený s rozdávaním darčekov detiam a oslavuje sa 2026-12-05 večer.
Id4,geography,,,1,Vodní nádrž Slapy je súčasťou Vltavské Kaskády.
Id5,history,,,4,Literatura s názvom samizdat bola publikovaná disidentmi na území Čech v období od 1950-01-01 do 2000-12-31.
Id6,culture,,,3,"Jan Neruda je spojený s Malá Strana, má tvorbu a život."
Id7,geography,,,1,Prachovské skály sa nachádzajú v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, ktorý získal raz ocenenie Zlatý slavík, ktoré je udeľované nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser tvorí komické duo s Jiří Lábus a Oldřich Kaiser a Jiří Lábus sú nerozluční.
Id10,geography,,,1,V Kladensko saťažía uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Zakladateľom Barrandovské filmové ateliéry bol Miloš Havel.
Id13,geography,,,2,Nejvyšší bod Krkonoš má výšku 1603 a je súčasťou Krkonoše.
Id14,history,,,1,Bitva u Slavkova sa odohrala počas Napoleonských vojen.
Id15,history,,,2,"Dôvodom demolácie historického mesta Most bola těžba uhlí, pričom těžba uhlí je typu uhlí."
Id16,culture,,,6,"Znak mesta Třebíč pozostáva zo štíta, ktorý má tri vodorovné polia, pričom horné a dolné pole sú červené a stredné pole je biele a obsahuje tri čierne benediktínske kápě."
Id17,geography,,,2,"Zlín sa nachádza v údolí Dřevnice, ktorá je rieka."
Id18,geography,,,2,Slanská hora sa nachádza v Slaný a jej názov je Slanská hora.
Id19,geography,,,1,Ťaba uhlia spôsobuje problémy v Karviné.
Id20,history,,,2,"Kolín má Židovskú menšinu, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a je najväčším ostrovom Prahy.
Id22,sports,,,1,Kladno je známe hokejom.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sa nachádza na Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Spartu, ktorá je fotbalový klub."
Id25,culture,,,2,"Granát Turnov produkuje šperky, ktorých drahokamami sú české granáty."
Id26,culture,,,4,"J. H. Krchovský je autorom básne Na samém konci, ktorá je napísaná na fasáde domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorom knih, v ktorých sa objavujú Ferda Mravenec a Brouk Pytlík, pričom obaja boli inšpirovaní hmyzom."
Id28,culture,,,2,Hlavnými predstavcami filmu Štěstí sú Tatiana Vilhelmová a Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý má prezývku Rudý dědek.
Id30,history,,,3,"Karel IV bol český kráľ, ktorý postavil Hladová zeď."
Id31,geography,,,2,Sněžka má výšku 1603 m n. m.
Id32,culture,,,3,Jáchym Topol získal Státní cena za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR nastala v roku 2002 v rámci posledních 100 let.
Id34,geography,,,2,Český Těšín je sídlom organizací a centrom polskej národnostnej menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikol z 5 subjektov, konkrétne z 2 miest a 3 obcí."
Id36,history,,,3,"Pomník venovaný Americkým vojákům sa nachádza na Chodské náměstí, ktoré je v Plzeň."
Id37,culture,,,3,"Peter Pettigrew sa transformuje na Prašivku, ktorá je krysa a postavou zo Světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionálny historik a vlastencov Karlovy Vary.
Id39,history,,,1,Bitva na Bílé hoře sa uskupsovala v roku 1620.
Id40,geography,,,2,Škoda Auto je automobilka so sídlom v Mladá Boleslav.
Id41,culture,,,2,"Noc na Karlštejně je film, ktorým je miestom natáčania Karlštejn."
Id42,other,,,2,"Cesta do hlubin študákovy duše režíroval Martin Frič, ktorý je režisér."
Id43,geography,,,2,"Trutnov má rieku Úpa, ktorá cez Trutnov preteká."
Id44,other,,,2,Mesačný časopis je určený pre školákov a predškolákov a je pomenovaný podľa mateřídoušky.
Id45,other,,,1,Časopis Vesmír informuje o vede.
Id46,geography,,,2,"Lužná u Rakovníka obsahuje Železniční muzeum, ktoré sa v Lužná u Rakovníka nachádza."
Id47,culture,,,2,"Český rozhlas Rádio Junior má maskota menom Ušoun Rušoun, ktorý je maskotom Českého rozhlasu Rádio Junior."
Id48,culture,,,2,"Honzíkova cesta je dětská kníha, ktorou je autor Bohumil Říha."
Id49,other,,,1,Jim Čert hrá na akordeón.
Id50,culture,,,2,"Barbora Tachecí moderuje Osobnost Plus, čo je rozhlasový program."
Id51,other,,,1,Spolek Orel je katolícka športová organizácia.
Id52,sports,,,2,Hora Raná je centrom paraglidingu a športového letania.
Id53,culture,,,1,Radio Beat sa špecializuje na rockovú hudbu.
Id54,history,,,4,"V Vykopávkach v Přerově, ktoré sa nachádzajú v Přerove, boli nájdené kosti mamutov v značnom množstve."
Id55,geography,,,1,Řeka Vydra sa nachádza v Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 sa natáčal na hrade v Ledči nad Sázavou, ktorý sa nachádza v Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizuje slam poetry.
Id58,geography,,,1,Litomyšl má symbol lilii.
Id59,culture,,,1,Slavonice je spojená s textilným priemyslom.
Id60,geography,,,2,"Žatec má rieku Ohře, ktorá cez Žatec preteká."
Id61,geography,,,1,Jablunkovský výběžek sa nachádza v Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec z Česká republika, ktorý je najstarší a najdlhšie aktívny."
Id63,geography,,,2,"Turnov má rieku Jizera, ktorá cez Turnov preteká."
Id64,sports,,,2,česká hokejová liga má od sezóny začínajúcej 2024-08-01 nový názov Maxa liga.
Id65,culture,,,3,"Humpolec je spojený s Hliníkom, ktorý je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev je rybník v ČR, ktorý má v poradí podľa veľkosti 2. miesto."
Id67,culture,,,1,Postavičku Večerníček vytvoril Radek Pilař.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má názov Stříbrná krasavice a nachádza sa v Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček zverejnil balady, ich autorom je a požiadal širokú verejnosť o ich zhudebnenie."
Id70,geography,,,2,"Kralupy nad Vltavou sa nachádzajú na Praha Děčín, ktorá je hlavní trati."
Id71,culture,,,1,Autorom Žítkovské bohyně je Kateřina Tučková.
Id72,geography,,,2,"Bečov nad Teplou obsahuje Bečovská botanická zahrada, ktorá sa v Bečov nad Teplou nachádza."
Id73,geography,,,2,Havlíčkův Brod pretieka rieka Sázava.
Id74,geography,,,2,"Teplice má dominantou Doubravka, ktorá je hora."
Id75,sports,,,3,"Závod veteránů sa koná na Českobrodský okruh, začal v roku 2002 a prebieha pravidelne."
Id76,culture,,,7,"Luděk Novák je český historik umění, ktorý založil výtvarnú skupinu Trasa a je známy publikovaním štúdií o českých maliaroch, medzi ktorých patria Mánes, Švabinský a Machek."
Id77,history,,,4,"Vladimír Přibský, ktorého skutočné meno je Vladimír Řezáč, bol žurnalista a dramatik a narodil sa v Přibyslav."
Id78,geography,,,2,Římskokatolická farnost s názvom Pravlov sa nachádza v Brno venkov.
Id79,geography,,,1,Rybník Španělák sa nachádza v Okrese Hradec Králové.
Id80,culture,,,3,"Film Vrásky z lásky režíroval Jiří Strach, pričom hlavné úlohy hrali Radoslav Brzobohatý a Jiřina Bohdalová."
Id81,politics,,,2,Stanislav Rudolfský je predsedníkom Hnutí Dobrých Proměn a Hnutí Dobrých Proměn má za svojho predsedu Stanislava Rudolfského.
Id82,other,,,5,"Teplická dopravní společnost prevádzkuje mestskú hromadnú dopravu, primestskú hromadnú dopravu a regionálnu hromadnú dopravu a 2013-01-01 zmenila svoj názov na Arriva Teplice."
Id83,sports,,,7,"Marek Bárta je český sportovec a diskař, ktorý špecializuje na hod diskom, je několanásobným mistrom České republiky a jeho osobný rekord je 65.46 metry."
Id84,culture,,,5,"Jan Kameníček je český spisovateľ a dramatik, ktorý je opísaný ako pokračovateľ a je nástupcom Franz Kafka."
Id85,culture,,,5,"Vladimíra Klumparová je česká sklářská výtvarnice, ktorá býva v USA a jej obdobie activity trvalo od roku 1985 do roku 2003."
Id86,sports,,,3,"Česká fotbalová liga má alternatívny názov Fortuna Liga, ktorý platí od 2018-01-01 do 2024-12-31."
Id87,history,,,3,"Operace Dunaj je český film z roku 2009, ktorého predmetom je invaze vojsk Varšavské smlouvy."
Id88,geography,,,2,"Krušné hory sú pohoří, ktoré sa nachádza na severozápade Čech."
Id89,geography,,,2,Jezero Most vzniklo zatopením lomu Most–Ležáky a jeho dátum otvorenia je 2020.
Id90,sports,,,4,"Ondřej Perušič a David Schweiner sú súčasťou tímu Ondřej Perušič a David Schweiner, ktorý sa v roku 2023 stal majstrom sveta v beach volleyballu."
Id91,culture,,,1,"Slovo ""robot"" napísal Josef Čapek."
Id92,history,,,1,Nuselský most mal predchádzajúcu prezývku Most sebevrahů.
Id93,culture,,,1,Prvá česká hip hopová sólová deska má názov Frekvence P.H.A.T.
