eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v Okrese Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 1972.
Id2,history,,,1,Ján Golian vydal příkaz k začátku Slovenské národní povstání.
Id3,geography,,,3,"Zvolen má řeky Hron, Slatina a Zolná."
Id4,geography,,,2,"Slovensko má jednu ropnou rafinérii, která je umístěna na Slovensku."
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu z prezidentských volieb 2019 a stáhl ji ve prospěch Zuzany Čaputové.
Id6,culture,,,1,Andrej Sládkovič má původní jméno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je žánru folk.
Id8,geography,,,3,"Banská Štiavnica je známá pro těžbu, která je typem zdroje kovů, a primárním příkladem kovů je Striebro."
Id9,geography,,,1,Bardejov je středem Horného Šariša.
Id10,geography,,,2,Slovensko plánuje spolupráci s Maďarskem a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má původní město Prešov.
Id12,geography,,,2,"Gbeliansky potok má zdrojovou lokalitu v Gbeľany, která je obec."
Id13,culture,,,1,Kláštor a kostel kamaldulov na Zobore má architektonický styl barok.
Id14,geography,,,3,"Zrúcanina je v Obci Podbranč a je nazývána Hrad Branč, který je typem Zrúcaniny."
Id15,culture,,,1,slovenský Strom roka rozhoduje o vítězi veřejným hlasováním.
Id16,sports,,,1,Klaudia Medlová soutěží v snowboardingu.
Id17,culture,,,2,Mladé letá je slovenské nakladateľstvo detskej knihy a je vydavateľstvem.
Id18,politics,,,2,Andrej Stančík je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Němeccí vojáci zničili část obce Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavné uličce, která je v Košici."
Id21,geography,,,1,Handlová těžuje hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Extraliga je typ sportu ľadový hokej.
Id24,politics,,,2,Jaroslav Haščák údajně odpočúval a to vede k Kauza Gorila.
Id25,other,,,2,"Supermarket Tempo patří do COOP Jednota, která je slovenský predajca."
Id26,politics,,,3,"Politický spor, který se týká názvu Česko-Slovenska, je nazván pomlčková vojna a začal 1990-01-01."
Id27,history,,,3,Belo IV byl král Uhorska a první mongolský vpád se stal během jeho vlády a cílem tohoto vpádu bylo Uhorsko.
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Košici.
Id29,history,,,3,"Piešťanský Grand Hotel Royal byl během období socializmus (1948-1989) známý jako Grand Hotel Slovan, a později se stal Slovan."
Id30,culture,,,1,Slovenská kapela Fragile nepoužívá hudební nástroje.
Id31,politics,,,2,"Vladimír Mečiar měl stylový přístup mečiarizmus, který trval v období od 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca má hranice s Českem a s Poľskem.
Id33,culture,,,1,Peter Hradil je hlavní postava filmu Iná láska.
Id34,culture,,,3,"Dračie srdce je film a jeho místem natáčení je Strečno, které je hrad."
