eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,CFA.,CFA.,,,,
Id2,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,CFA,CFA,FA,,,,CFA.,CFA.,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,CFA.,CFA.,CFA.,,,
Id6,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,FA,FA,CFA,CFA,INVALID,INVALID,"Sadźba RDF trójkow: FA. Wszystkie informacje su prawdźiwe a wotpowěduja realnemu swětej: Karel Gott bě česki zpěwák, Zlatý slavík je skutečná cena a Karel Gott skutečně získal ocenění Zlatý slavník. Protoží všechny informace su faktiske, klasifikuju tuto sadźbu jako FA.","Sadźba RDF trójkow: FA. Wszystkie informacje su prawdźiwe a wotpowěduja realnemu swětej: Karel Gott bě česki zpěwák, Zlatý slavík je skutečná cena a Karel Gott skutečně získal ocenění Zlatý slavník. Protoží všechny informace su faktiske, klasifikuju tuto sadźbu jako FA.",Sadźby su klasifikowane jako: - Karel Gott | nationality | český: FA - Karel Gott | profession | zpěvák: FA - Karel Gott | award | Zlatý slavík: FA - Karel Gott | awardCount | 1: CFA - Zlatý slavík | awardFrequency | nejvíckrát: CFA Nejlépe se pro celý příklad hodí značka: CFA,"Sadźby su w kategorizaciji: - Karel Gott | nationality | český: FA - Karel Gott | profession | zpěvák: FA - Karel Gott | award | Zlatý slavík: FA - Karel Gott | awardCount | 1: CFA (Karel Gott ma wjacore wotměny Zlatého slavíka) - Zlatý slavík | awardFrequency | nejvíckrát: FI (neje jasne, hač Zlatý slavík woprawdźi eksistuje) Lěpša wotmołwa za poslednjej dwě stej: - Karel Gott | awardCount | 1: CFA - Zlatý slavík | awardFrequency | nejvíckrát: CFA Wotmołwa: - Karel Gott | nationality | český: FA - Karel Gott | profession | zpěvák: FA - Karel Gott | award | Zlatý slavík: FA - Karel Gott | awardCount | 1: CFA - Zlatý slavík | awardFrequency | nejvíckrát: CFA","Sadźby su w kategorizaciji: - Karel Gott | nationality | český: FA - Karel Gott | profession | zpěvák: FA - Karel Gott | award | Zlatý slavík: FA - Karel Gott | awardCount | 1: CFA (Karel Gott ma wjacore wandy, m.in. 20x Zlaty slavik) - Zlatý slavík | awardFrequency | nejvíckrát: FI (neje tak, Zlaty slavik je mjenu a neje frekwenca něčeho)","Sadźby su w kategorizaciji: - Karel Gott | nationality | český: FA - Karel Gott | profession | zpěvák: FA - Karel Gott | award | Zlatý slavík: FA - Karel Gott | awardCount | 1: CFA - Zlatý slavík | awardFrequency | nejvíckrát: FI To je přehladka wosebnych klasifikacij: 1. Karel Gott je Češk, což je faktiske. 2. Karel Gott je zpěwák, což je faktiske. 3. Karel Gott wotměri Zlaty slavnik, což je faktiske. 4. Liczba wotměřenych cen (awardCount) Karla Gotta je 1, což je njeprawdźe abo změnjene. 5. Zlaty slavnik ma nejwicykrát wotměrena cena, což je fiktiwne."
Id9,culture,,,2,FA,FA,FA,FA,FA,FA,,,,FA. Oba informace su prawdźiwe a wotpowěduja realnemu swětej. Oldřich Kaiser a Jiří Lábus su w skutku komediarska dwójka a w mediach su často wopisan jako njeseparableni.,FA. Oba informace su prawdźiwe a wotpowěduja realnemu swětej. Oldřich Kaiser a Jiří Lábus su znawke a wobaj tworitej komediowy duet.,
Id10,geography,,,1,FA,FA,FA,FA,CFA,FA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,"FA. Nejvyšší bod Krkonoš je Špindlerův Mlýn (řeka) a pak především Sněžka (1602 m), která je skutečně nejvyšším bodem Krkonoš a také České republiky. Tedy: 1603 m není zcela přesná informace, nicméně rozdíl jednoho metru vzhledem k zaokrouhlování není příliš podstatný. Proto klasifikuji celý výrok jako faktický (přibližně pravdivý).","FA. Nejvyšší bod Krkonoš je Špindlerův Mlýn (řeka) a pak především Sněžka (1602 m), která je skutečně nejvyšším bodem Krkonoš a také České republiky. Tedy: 1603 m není zcela přesná informace, nicméně rozdíl jednoho metru vzhledem k zaokrouhlování není příliš podstatný. Proto klasifikuji celý výrok jako faktický (přibližně pravdivý).",,"FA. (Informacija: Nejvyšší bod Krkonoš je Špindlerův Mlýn a to ma wusokosć 1 602 m, což je přibližně 1603.)",FA. Nejvyšší bod Krkonoš (Sněžka) skutečně existuje a jeho výška je 1603 metrů. Sněžka je také součástí Krkonoš.,
Id14,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,"CFA. Most a těžba uhlí jsou reálné, ale důvodem demolice Mostu nebyla pouze těžba uhlí (byl to jeden z důvodů, ale ne hlavní). Přesnější hodnocení by ovšem vyžadovalo hlubší znalost kontextu a časových souvislostí. Ovšem významově lze těžbu uhlí a historické město Most považovat za reálné, tudíž ne FI. Některé informace jsou pravdivé (město Most skutečně existovalo a těžba uhlí proběhla), proto ne FI a ani ne čistě FA kvůli možné nepřesnosti v detailech. Tudíž CFA.",,"CFA. Dlě zakladne informacije, že Most je historické město a těžba uhlí skutečně existovala a byla důvodem pro demolici města, avšak bez dalších podrobností o konkrétních typech uhlí těžěných v okolí, lze těžbu uhlí považovat za reálnou věc (existovala opravdu), ovšem blíže nespecifikované ""uhlí"" jakožto výsledek těžby nelze dále ověřovat. Tudíž lze považovat tyto informace za částečně reálné a částečně nereálné (nebo neověřitelné), tudíž kontrafaktické.",
Id16,culture,,,6,FA,FA,FA,FA,INVALID,FA,,,,,Sadźba RDF trójkow: FA. Wotmołwa: Wšechny informace w sadźbach su prawdźiwe a wotpowěduja realnemu swětej. Žadne informace njejsu změnjene abo fiktivne.,
Id17,geography,,,2,CFA,CFA,CFA,CFA,FA,FA,,,"CFA. Zlín leži w údolí řek Dřevnice a Slušovického potoka, Dřevnice je přitom řeka. Některé informace jsou pravdivé (Zlín skutečně leží v údolí Dřevnice, Dřevnice je skutečně řeka), ale mohlo by se jednat o nepravdivou informaci v případě, že by někdo tvrdil, že Dřevnice není řeka nebo že Zlín neleží v údolí Dřevnice. Ovšem primárně jsou zde uváděné údaje pravdivé a tudíž jediné co brání označení za FA je potenciální možnost chybného výkladu informace, že Dřevnice je pouze typ řeky a nikoli přímo lokalita. Přímo ovšem není uveden žádný chybný údaj.",CFA. Więcej informacji nie potřebuju.,"Deleka je 2 RDF trójkow: 1. Zlín | location | údolí Dřevnice 2. Dřevnice | type | řeka Značka: FA Uzasadnienie: Oba połčkajace dejšćicy wotpowěduja realnemu swětej. Zlín je město w Čechach, které se nachází w údolí řeky Dřevnice. Dřevnice je řeka w Čechach.","Deleka je 2 RDF trójkow: 1. Zlín | location | údolí Dřevnice 2. Dřevnice | type | řeka Značka: FA Uzasadnienie: Oba połčkaj wotpowěduja realnemu swětej. Zlín je město w Čechach, údolí Dřevnice je údolí, a Dřevnice je řeka. Žadne z dat njepotřebuje změny."
Id18,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,FA.,FA.,,,,FA.
